feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs0_segments0_flightNumber,4287.0,0.0,5.473001480102539,98.0,777.8724975585938,70.0,0.0
legs0_num_transfers_rank,1.0,131.0,217.9404296875,0.0,22699.044921875,0.0,0.0
price_per_duration_rank,4153.0,1.0,5.27852201461792,108.0,709.6347045898438,78.0,1.0
total_num_transfers_rank,92.0,80.0,115.8716049194336,1.0,21478.919921875,1.0,1.0
price_from_median_zscore,4111.0,2.0,6.451217174530029,59.0,906.48046875,61.0,2.0
total_is_min_transfers,18.0,104.0,110.13648223876953,2.0,19836.90625,2.0,2.0
price_minus_fee_rank,4063.0,3.0,5.18214225769043,111.0,701.6024169921875,79.0,3.0
total_num_transfers,1.0,130.0,55.1473388671875,3.0,1824.4403076171875,27.0,3.0
legs0_weighted_mean_cabin,31.0,97.0,36.520233154296875,4.0,14286.8173828125,3.0,3.0
legs0_mean_cabin,5.0,121.0,17.62919807434082,8.0,11855.271484375,4.0,4.0
price_percentile,3973.0,4.0,7.174394607543945,41.0,1545.322265625,32.0,4.0
both_legs_carrier_all_same,70.0,85.0,13.058184623718262,10.0,7630.6328125,5.0,5.0
miniRules0_monetaryAmount,105.0,75.0,35.344791412353516,5.0,7411.28515625,6.0,5.0
legs1_segments0_flightNumber,3814.0,5.0,5.504136085510254,96.0,851.6602172851562,64.0,5.0
companyID,3774.0,6.0,5.650661468505859,86.0,603.0421752929688,91.0,6.0
legs1_segments0_marketingCarrier_code,10.0,113.0,27.10515785217285,6.0,2907.2099609375,15.0,6.0
legs1_segments1_duration,9.0,114.0,19.310012817382812,7.0,361.00640869140625,113.0,7.0
legs0_main_carrier,85.0,82.0,11.757183074951172,16.0,6985.0712890625,7.0,7.0
price_per_fee_rank,3745.0,7.0,5.097814559936523,114.0,693.380615234375,81.0,7.0
legs0_segments1_arrivalTo_airport_iata,1.0,132.0,12.853187561035156,11.0,6820.21728515625,8.0,8.0
totalPrice_rank,3676.0,8.0,6.0100626945495605,74.0,1212.7093505859375,42.0,8.0
price_per_duration,3539.0,9.0,5.528373718261719,95.0,775.0059204101562,71.0,9.0
pricingInfo_isAccessTP,418.0,50.0,8.885664939880371,22.0,4702.7177734375,9.0,9.0
legs1_segments1_seatsAvailable,2.0,125.0,14.700727462768555,9.0,1927.140869140625,24.0,9.0
days_before_departure,3194.0,10.0,5.566479682922363,92.0,538.490966796875,97.0,10.0
legs1_segments0_departureFrom_airport_iata,551.0,43.0,7.811676025390625,31.0,4545.6044921875,10.0,10.0
has_access_tp,79.0,83.0,6.855929374694824,46.0,3775.846923828125,11.0,11.0
price_per_fee,2888.0,11.0,8.011234283447266,26.0,1073.2855224609375,47.0,11.0
legs1_departureAt_hour,2581.0,12.0,7.2341814041137695,40.0,1527.6221923828125,33.0,12.0
legs0_segments0_baggageAllowance_quantity,55.0,89.0,12.61619758605957,12.0,2075.189208984375,22.0,12.0
legs0_departureAt_day_period,125.0,69.0,7.75177526473999,33.0,3506.858642578125,12.0,12.0
legs0_segments0_operatingCarrier_code_in_ff,102.0,76.0,6.575657844543457,57.0,3095.909912109375,13.0,13.0
isVip,241.0,63.0,12.447463989257812,13.0,907.6040649414062,60.0,13.0
legs1_arrivalAt_hour,2550.0,13.0,6.93433141708374,45.0,1028.2802734375,49.0,13.0
price_per_tax,2520.0,14.0,5.412961483001709,104.0,685.8565673828125,83.0,14.0
miniRules1_monetaryAmount,120.0,71.0,12.268250465393066,14.0,2048.491455078125,23.0,14.0
total_weighted_mean_cabin,89.0,81.0,6.2622551918029785,65.0,2978.48876953125,14.0,14.0
baggage_total_rank,738.0,35.0,12.09950065612793,15.0,1917.1298828125,25.0,15.0
legs0_arrivalAt_hour,2510.0,15.0,6.654856204986572,51.0,1114.2579345703125,45.0,15.0
legs0_segments0_marketingCarrier_code,16.0,105.0,7.578652381896973,34.0,2900.533203125,16.0,16.0
legs0_departureAt_hour,2496.0,16.0,7.152576923370361,42.0,1802.175537109375,28.0,16.0
baggage_total,157.0,67.0,10.522249221801758,17.0,1363.374755859375,35.0,17.0
duration_ratio,2357.0,17.0,5.877622604370117,78.0,933.5414428710938,55.0,17.0
total_fees_rank,296.0,60.0,9.198287963867188,20.0,2806.1875,17.0,17.0
nationality,46.0,94.0,7.85906457901001,29.0,2685.087158203125,18.0,18.0
legs0_segments0_seatsAvailable,2169.0,18.0,4.775404453277588,120.0,409.5377502441406,110.0,18.0
legs0_segments0_baggageAllowance_weightMeasurementType,1.0,127.0,10.4508056640625,18.0,1010.7005004882812,52.0,18.0
is_max_duration_cabin_same,24.0,99.0,6.056416034698486,71.0,2395.49658203125,19.0,19.0
price_minus_fee,2036.0,19.0,5.68311882019043,83.0,831.890380859375,65.0,19.0
legs0_segments0_cabinClass,12.0,110.0,9.630125999450684,19.0,1776.828125,29.0,19.0
legs0_departureAt_business_time,380.0,54.0,7.5061516761779785,35.0,2365.097412109375,20.0,20.0
legs1_segments0_seatsAvailable,1968.0,20.0,4.68810510635376,124.0,491.7236328125,103.0,20.0
legs0_segments1_baggageAllowance_quantity,3.0,124.0,8.95212459564209,21.0,444.9949645996094,109.0,21.0
legs1_max_duration_cabin,5.0,119.0,7.876006126403809,28.0,2358.85498046875,21.0,21.0
log_price,1882.0,21.0,5.868387699127197,80.0,740.1194458007812,75.0,21.0
corporateTariffCode,1761.0,22.0,5.9452314376831055,75.0,922.5517578125,57.0,22.0
days_between_departure_arrival,1658.0,23.0,8.372787475585938,24.0,1269.7857666015625,39.0,23.0
legs0_segments0_arrivalTo_airport_iata,525.0,44.0,8.549722671508789,23.0,1767.3033447265625,30.0,23.0
tax_rate,1542.0,24.0,6.217511177062988,66.0,902.2189331054688,62.0,24.0
taxes,1319.0,25.0,6.303590774536133,63.0,798.0084228515625,68.0,25.0
legs1_segments0_operatingCarrier_code,108.0,74.0,8.304490089416504,25.0,951.5328979492188,54.0,25.0
total_duration_rank,1185.0,26.0,5.929263114929199,76.0,1265.4056396484375,40.0,26.0
legs0_arrivalAt_day_period,98.0,79.0,6.729499816894531,49.0,1833.7269287109375,26.0,26.0
legs0_segments1_duration,13.0,108.0,7.929046154022217,27.0,247.20419311523438,118.0,27.0
unmatched_duration_rank,1047.0,27.0,5.639611721038818,88.0,676.3502197265625,85.0,27.0
legs1_departureAt_weekday,1045.0,28.0,6.040389537811279,72.0,522.429931640625,101.0,28.0
legs1_arrivalAt_weekday,966.0,29.0,5.555510997772217,94.0,676.0637817382812,86.0,29.0
legs0_departureAt_weekday,893.0,30.0,5.652599334716797,85.0,697.4270629882812,80.0,30.0
legs1_segments0_baggageAllowance_quantity,73.0,84.0,7.836121559143066,30.0,910.298583984375,59.0,30.0
legs0_arrivalAt_weekday,879.0,31.0,5.803000450134277,81.0,626.4750366210938,90.0,31.0
legs1_weighted_mean_cabin,5.0,120.0,7.759589195251465,32.0,1626.2412109375,31.0,31.0
legs0_segments0_aircraft_code,822.0,32.0,5.713294506072998,82.0,1106.7928466796875,46.0,32.0
legs1_segments0_duration_rank,784.0,33.0,5.1114959716796875,113.0,523.4485473632812,100.0,33.0
legs0_segments0_duration_rank,750.0,34.0,5.295904159545898,107.0,669.6378784179688,87.0,34.0
total_fees,99.0,78.0,7.410311222076416,38.0,1428.102783203125,34.0,34.0
legs1_arrivalAt_day_period,114.0,73.0,7.481581211090088,36.0,1264.37060546875,41.0,36.0
legs1_segments0_operatingCarrier_code_in_ff,54.0,90.0,5.364078044891357,105.0,1326.1571044921875,36.0,36.0
legs1_duration_rank,730.0,36.0,5.638588905334473,89.0,971.0169677734375,53.0,36.0
legs1_segments0_arrivalTo_airport_city_iata,101.0,77.0,7.444415092468262,37.0,1055.968017578125,48.0,37.0
legs1_segments0_aircraft_code,723.0,37.0,5.440091609954834,101.0,665.2052001953125,88.0,37.0
legs1_departureAt_business_time,389.0,53.0,6.081774711608887,69.0,1301.4036865234375,37.0,37.0
unmatched_duration,695.0,38.0,5.242828369140625,109.0,489.13690185546875,106.0,38.0
legs0_segments0_departureFrom_airport_iata,377.0,55.0,6.433591842651367,60.0,1270.3519287109375,38.0,38.0
legs0_arrivalAt_is_weekend,22.0,101.0,7.254028797149658,39.0,564.2518920898438,95.0,39.0
legs0_duration_rank,690.0,39.0,6.0580267906188965,70.0,1026.9019775390625,50.0,39.0
legs1_matched_duration_sum_rank,618.0,40.0,5.5011725425720215,97.0,724.011962890625,76.0,40.0
total_duration,584.0,41.0,6.592220783233643,55.0,899.2159423828125,63.0,41.0
legs0_matched_duration_sum_rank,575.0,42.0,5.450817108154297,100.0,565.4959716796875,94.0,42.0
legs1_main_carrier,48.0,93.0,7.08220911026001,44.0,1123.65673828125,43.0,43.0
legs1_segments1_aircraft_code,22.0,102.0,7.147193908691406,43.0,146.39356994628906,125.0,43.0
legs1_duration,313.0,57.0,6.595679759979248,54.0,1120.751220703125,44.0,44.0
sex,487.0,45.0,4.59406042098999,126.0,321.9078369140625,115.0,45.0
totalPrice,486.0,46.0,6.720927715301514,50.0,596.4146728515625,92.0,46.0
all_matched_duration_sum,432.0,47.0,5.586782932281494,90.0,756.3248901367188,73.0,47.0
searchRoute,301.0,59.0,6.847334861755371,47.0,740.8155517578125,74.0,47.0
is_cheapest,37.0,96.0,6.735813617706299,48.0,197.7535400390625,120.0,48.0
legs1_arrivalAt_business_time,430.0,48.0,5.004748344421387,115.0,490.9302062988281,104.0,48.0
legs1_segments0_duration,422.0,49.0,6.614597797393799,52.0,657.2124633789062,89.0,49.0
legs0_arrivalAt_business_time,404.0,51.0,5.669885635375977,84.0,559.9016723632812,96.0,51.0
legs1_segments0_arrivalTo_airport_iata,310.0,58.0,6.010406494140625,73.0,1012.164794921875,51.0,51.0
legs0_segments0_duration,400.0,52.0,5.416445732116699,103.0,579.2206420898438,93.0,52.0
