feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs0_mean_cabin,3.0,120.0,38.53024673461914,3.0,11765.4716796875,0.0,0.0
companyID,2866.0,0.0,4.853184700012207,78.0,332.3583984375,93.0,0.0
legs0_segments0_baggageAllowance_quantity,68.0,79.0,101.34024047851562,0.0,6423.1845703125,4.0,0.0
baggage_total,56.0,84.0,49.138919830322266,1.0,4025.160400390625,5.0,1.0
total_num_transfers_rank,73.0,76.0,41.43923568725586,2.0,9766.75390625,1.0,1.0
legs1_segments0_flightNumber,2812.0,1.0,5.112757682800293,62.0,571.24853515625,46.0,1.0
legs0_segments0_flightNumber,2793.0,2.0,4.847433090209961,79.0,478.25323486328125,62.0,2.0
total_is_min_transfers,11.0,106.0,38.43943405151367,4.0,8949.65234375,2.0,2.0
price_minus_fee_rank,2736.0,3.0,4.541338920593262,95.0,461.1212463378906,65.0,3.0
legs0_weighted_mean_cabin,17.0,100.0,19.141319274902344,7.0,7985.50732421875,3.0,3.0
price_from_median_zscore,2724.0,4.0,4.914264678955078,71.0,540.5457763671875,54.0,4.0
miniRules0_monetaryAmount,103.0,66.0,28.365446090698242,5.0,4020.98974609375,6.0,5.0
price_per_duration_rank,2698.0,5.0,4.642289638519287,91.0,395.34637451171875,74.0,5.0
total_num_transfers,3.0,121.0,23.444612503051758,6.0,1312.7901611328125,23.0,6.0
price_per_fee_rank,2551.0,6.0,4.454388618469238,102.0,381.2328796386719,77.0,6.0
legs1_main_carrier,89.0,72.0,10.700923919677734,14.0,3799.217041015625,7.0,7.0
price_percentile,2532.0,7.0,7.747574806213379,21.0,1105.174560546875,27.0,7.0
totalPrice_rank,2427.0,8.0,5.691647052764893,47.0,574.7312622070312,45.0,8.0
legs1_mean_cabin,1.0,129.0,4.150352478027344,110.0,3383.091064453125,8.0,8.0
legs0_max_duration_cabin,6.0,114.0,18.462989807128906,8.0,3147.669921875,9.0,8.0
both_legs_carrier_all_same,30.0,91.0,16.429866790771484,9.0,2700.1025390625,10.0,9.0
days_before_departure,2308.0,9.0,4.727808475494385,84.0,280.9581298828125,104.0,9.0
legs1_segments0_baggageAllowance_quantity,40.0,90.0,14.894368171691895,10.0,1110.8994140625,26.0,10.0
price_per_duration,2303.0,10.0,5.591431140899658,51.0,668.0712280273438,38.0,10.0
legs1_segments0_marketingCarrier_code,8.0,110.0,9.291449546813965,18.0,2673.726318359375,11.0,11.0
baggage_total_rank,563.0,33.0,13.342159271240234,11.0,1651.9031982421875,20.0,11.0
legs1_departureAt_hour,2039.0,11.0,6.547665119171143,30.0,830.9095458984375,35.0,11.0
legs0_segments0_marketingCarrier_code,10.0,107.0,8.526636123657227,20.0,2254.7236328125,12.0,12.0
has_baggage,6.0,113.0,13.05007266998291,12.0,237.5234832763672,111.0,12.0
legs1_arrivalAt_hour,1886.0,12.0,5.418697357177734,56.0,552.7019653320312,52.0,12.0
legs0_segments1_arrivalTo_airport_city_iata,5.0,117.0,6.273040771484375,33.0,2062.992431640625,13.0,13.0
miniRules1_monetaryAmount,92.0,69.0,11.14175796508789,13.0,1854.1431884765625,16.0,13.0
legs0_arrivalAt_hour,1799.0,13.0,5.507307529449463,54.0,549.6936645507812,53.0,13.0
price_per_tax,1798.0,14.0,4.732027530670166,83.0,420.78045654296875,68.0,14.0
legs1_weighted_mean_cabin,2.0,123.0,6.913468360900879,27.0,2038.4453125,14.0,14.0
has_access_tp,61.0,82.0,5.745664119720459,45.0,1941.6536865234375,15.0,15.0
price_per_fee,1767.0,15.0,7.30513334274292,24.0,607.9503173828125,43.0,15.0
total_fees,92.0,70.0,10.273481369018555,15.0,1525.2664794921875,21.0,15.0
isVip,211.0,59.0,9.752082824707031,16.0,605.1494140625,44.0,16.0
legs0_departureAt_hour,1746.0,16.0,5.940673351287842,40.0,1154.2958984375,25.0,16.0
total_fees_rank,226.0,58.0,9.434377670288086,17.0,1044.3323974609375,28.0,17.0
legs0_departureAt_business_time,262.0,49.0,7.682995319366455,22.0,1830.5137939453125,17.0,17.0
duration_ratio,1703.0,17.0,4.6484293937683105,90.0,468.84136962890625,64.0,17.0
legs0_segments0_seatsAvailable,1597.0,18.0,4.30045747756958,107.0,271.20379638671875,106.0,18.0
legs0_departureAt_day_period,72.0,77.0,8.803739547729492,19.0,1729.78076171875,18.0,18.0
legs1_segments0_seatsAvailable,1378.0,19.0,4.377267360687256,104.0,258.0302429199219,109.0,19.0
pricingInfo_isAccessTP,321.0,46.0,6.450845718383789,31.0,1679.374267578125,19.0,19.0
price_minus_fee,1273.0,20.0,5.301047325134277,59.0,565.9969482421875,48.0,20.0
log_price,1253.0,21.0,5.303065776824951,58.0,337.01739501953125,89.0,21.0
legs0_main_carrier,61.0,83.0,6.0048346519470215,39.0,1386.26806640625,22.0,22.0
days_between_departure_arrival,1202.0,22.0,7.245420455932617,25.0,688.18896484375,37.0,22.0
legs1_segments0_marketingCarrier_code_in_ff,1.0,126.0,7.413137912750244,23.0,265.0360412597656,107.0,23.0
corporateTariffCode,1087.0,23.0,4.946836471557617,69.0,386.9949645996094,76.0,23.0
tax_rate,1084.0,24.0,6.091669082641602,35.0,566.6666870117188,47.0,24.0
