feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0.0,0.0,1.0,1.0,0.5,1.0,0.0
total_num_transfers_rank,1.0,1.0,0.0,0.0,0.5,1.0,0.0
price_per_duration_rank,4.0,0.0,0.0,2.0,1.5,4.0,0.0
price_from_median_zscore,0.0,1.0,4.0,6.0,2.75,6.0,0.0
legs0_num_transfers_rank,3.0,2.0,3.0,3.0,2.75,3.0,2.0
legs0_segments0_flightNumber,6.0,4.0,1.0,1.0,3.0,6.0,1.0
price_percentile,1.0,2.0,5.0,7.0,3.75,7.0,1.0
legs0_mean_cabin,4.0,2.0,8.0,2.0,4.0,8.0,2.0
price_per_duration,2.0,5.0,2.0,8.0,4.25,8.0,2.0
companyID,3.0,3.0,9.0,4.0,4.75,9.0,3.0
price_minus_fee_rank,11.0,6.0,3.0,3.0,5.75,11.0,3.0
legs0_max_duration_cabin,12.0,5.0,3.0,6.0,6.5,12.0,3.0
price_per_fee_rank,9.0,7.0,7.0,5.0,7.0,9.0,5.0
days_before_departure,5.0,8.0,8.0,10.0,7.75,10.0,5.0
legs0_segments0_baggageAllowance_quantity,9.0,12.0,9.0,1.0,7.75,12.0,1.0
totalPrice_rank,13.0,9.0,6.0,9.0,9.25,13.0,6.0
has_access_tp,6.0,6.0,9.0,17.0,9.5,17.0,6.0
both_legs_carrier_all_same,10.0,4.0,8.0,18.0,10.0,18.0,4.0
pricingInfo_isAccessTP,5.0,8.0,10.0,19.0,10.5,19.0,5.0
legs0_arrivalAt_hour,10.0,11.0,10.0,12.0,10.75,12.0,10.0
legs0_departureAt_hour,8.0,10.0,12.0,14.0,11.0,14.0,8.0
price_per_tax,7.0,12.0,11.0,15.0,11.25,15.0,7.0
legs1_weighted_mean_cabin,9.0,11.0,26.0,4.0,12.5,26.0,4.0
baggage_total,16.0,23.0,11.0,5.0,13.75,23.0,5.0
price_per_fee,12.0,13.0,13.0,17.0,13.75,17.0,12.0
total_weighted_mean_cabin,8.0,7.0,15.0,31.0,15.25,31.0,7.0
duration_ratio,19.0,14.0,14.0,16.0,15.75,19.0,14.0
legs1_segments0_flightNumber,28.0,20.0,15.0,0.0,15.75,28.0,0.0
legs0_segments0_cabinClass,14.0,17.0,7.0,28.0,16.5,28.0,7.0
log_price,14.0,15.0,18.0,20.0,16.75,20.0,14.0
legs0_segments0_seatsAvailable,18.0,16.0,16.0,18.0,17.0,18.0,16.0
legs1_segments0_baggageAllowance_quantity,23.0,17.0,15.0,13.0,17.0,23.0,13.0
legs0_segments0_marketingCarrier_code,28.0,13.0,13.0,15.0,17.25,28.0,13.0
legs1_departureAt_hour,25.0,19.0,17.0,11.0,18.0,25.0,11.0
price_minus_fee,16.0,17.0,20.0,23.0,19.0,23.0,16.0
legs1_arrivalAt_hour,31.0,18.0,19.0,13.0,20.25,31.0,13.0
has_baggage,7.0,22.0,16.0,36.0,20.25,36.0,7.0
isVip,18.0,24.0,21.0,22.0,21.25,24.0,18.0
corporateTariffCode,23.0,21.0,21.0,22.0,21.75,23.0,21.0
legs0_segments0_operatingCarrier_code_in_ff,11.0,30.0,12.0,35.0,22.0,35.0,11.0
total_duration,20.0,8.0,19.0,41.0,22.0,41.0,8.0
baggage_total_rank,43.0,12.0,28.0,7.0,22.5,43.0,7.0
taxes,15.0,22.0,26.0,28.0,22.75,28.0,15.0
total_fees,20.0,29.0,35.0,11.0,23.75,35.0,11.0
legs1_max_duration_cabin,14.0,34.0,32.0,15.0,23.75,34.0,14.0
legs1_main_carrier,38.0,24.0,27.0,7.0,24.0,38.0,7.0
total_duration_rank,27.0,24.0,23.0,25.0,24.75,27.0,23.0
legs0_segments0_aircraft_code,24.0,25.0,28.0,30.0,26.75,30.0,24.0
legs1_segments0_operatingCarrier_code,39.0,21.0,24.0,23.0,26.75,39.0,21.0
legs0_segments0_duration_rank,27.0,23.0,25.0,33.0,27.0,33.0,23.0
unmatched_duration_rank,26.0,27.0,29.0,26.0,27.0,29.0,26.0
days_between_departure_arrival,37.0,28.0,24.0,21.0,27.5,37.0,21.0
tax_rate,33.0,26.0,27.0,24.0,27.5,33.0,24.0
miniRules1_monetaryAmount,19.0,15.0,51.0,26.0,27.75,51.0,15.0
legs1_departureAt_day_period,33.0,14.0,23.0,42.0,28.0,42.0,14.0
legs1_segments0_seatsAvailable,44.0,30.0,22.0,19.0,28.75,44.0,19.0
legs1_arrivalAt_day_period,30.0,27.0,44.0,17.0,29.5,44.0,17.0
is_popular_route,34.0,19.0,21.0,44.0,29.5,44.0,19.0
legs0_departureAt_weekday,34.0,29.0,30.0,32.0,31.25,34.0,29.0
legs0_duration,22.0,41.0,27.0,35.0,31.25,41.0,22.0
miniRules0_statusInfos,12.0,54.0,29.0,30.0,31.25,54.0,12.0
searchRoute,17.0,35.0,40.0,34.0,31.5,40.0,17.0
legs1_duration,26.0,18.0,22.0,62.0,32.0,62.0,18.0
unmatched_duration,22.0,32.0,35.0,40.0,32.25,40.0,22.0
legs0_arrivalAt_weekday,36.0,31.0,32.0,34.0,33.25,36.0,31.0
total_fees_rank,46.0,46.0,17.0,27.0,34.0,46.0,17.0
legs0_main_carrier,32.0,37.0,47.0,23.0,34.75,47.0,23.0
legs0_departureAt_business_time,59.0,50.0,20.0,14.0,35.75,59.0,14.0
legs0_duration_rank,38.0,34.0,34.0,39.0,36.25,39.0,34.0
legs0_segments0_duration,21.0,38.0,44.0,44.0,36.75,44.0,21.0
legs0_weighted_mean_cabin,22.0,118.0,6.0,3.0,37.25,118.0,3.0
legs1_mean_cabin,3.0,3.0,138.0,5.0,37.25,138.0,3.0
legs1_segments0_aircraft_code,48.0,37.0,31.0,36.0,38.0,48.0,31.0
legs0_matched_duration_sum_rank,42.0,39.0,36.0,35.0,38.0,42.0,35.0
legs1_segments0_duration_rank,55.0,33.0,33.0,31.0,38.0,55.0,31.0
has_fees,2.0,106.0,24.0,21.0,38.25,106.0,2.0
legs1_departureAt_business_time,42.0,38.0,30.0,45.0,38.75,45.0,30.0
is_cheapest,30.0,16.0,32.0,79.0,39.25,79.0,16.0
legs0_segments0_departureFrom_airport_iata,31.0,40.0,46.0,43.0,40.0,46.0,31.0
legs0_segments0_operatingCarrier_code,28.0,37.0,28.0,68.0,40.25,68.0,28.0
legs1_segments0_departureFrom_airport_iata,52.0,39.0,38.0,32.0,40.25,52.0,32.0
legs0_departureAt_day_period,68.0,52.0,31.0,12.0,40.75,68.0,12.0
legs1_segments0_duration,47.0,43.0,35.0,38.0,40.75,47.0,35.0
legs0_segments0_arrivalTo_airport_iata,39.0,41.0,47.0,37.0,41.0,47.0,37.0
legs1_segments0_arrivalTo_airport_iata,56.0,48.0,34.0,33.0,42.75,56.0,33.0
totalPrice,29.0,52.0,50.0,45.0,44.0,52.0,29.0
miniRules0_monetaryAmount,39.0,66.0,61.0,12.0,44.5,66.0,12.0
miniRules1_statusInfos,15.0,22.0,65.0,80.0,45.5,80.0,15.0
legs1_departureAt_weekday,67.0,47.0,42.0,27.0,45.75,67.0,27.0
legs1_arrivalAt_weekday,70.0,48.0,38.0,29.0,46.25,70.0,29.0
isAccess3D,21.0,40.0,59.0,65.0,46.25,65.0,21.0
legs1_duration_rank,64.0,45.0,39.0,38.0,46.5,64.0,38.0
legs1_segments0_cabinClass,56.0,10.0,82.0,41.0,47.25,82.0,10.0
legs1_segments0_arrivalTo_airport_city_iata,49.0,57.0,33.0,52.0,47.75,57.0,33.0
legs1_segments0_marketingCarrier_code,86.0,18.0,89.0,6.0,49.75,89.0,6.0
all_matched_duration_sum,58.0,47.0,53.0,46.0,51.0,58.0,46.0
legs0_matched_duration_sum,45.0,52.0,54.0,57.0,52.0,57.0,45.0
legs0_arrivalAt_business_time,62.0,51.0,50.0,48.0,52.75,62.0,48.0
sex,65.0,49.0,49.0,49.0,53.0,65.0,49.0
legs1_matched_duration_sum_rank,70.0,56.0,45.0,42.0,53.25,70.0,42.0
legs0_segments0_arrivalTo_airport_city_iata,35.0,44.0,59.0,77.0,53.75,77.0,35.0
n_ff_programs,56.0,57.0,56.0,51.0,55.0,57.0,51.0
legs1_segments1_flightNumber,74.0,27.0,90.0,29.0,55.0,90.0,27.0
legs0_arrivalAt_day_period,64.0,77.0,58.0,27.0,56.5,77.0,27.0
nationality,44.0,50.0,66.0,80.0,60.0,80.0,44.0
legs1_arrivalAt_business_time,71.0,69.0,58.0,43.0,60.25,71.0,43.0
is_legs0_legs1_cabin_same,71.0,59.0,57.0,56.0,60.75,71.0,56.0
legs1_num_transfers_rank,20.0,135.0,2.0,87.0,61.0,135.0,2.0
legs1_matched_duration_sum,79.0,63.0,62.0,55.0,64.75,79.0,55.0
legs0_arrivalAt_is_weekend,52.0,102.0,30.0,76.0,65.0,102.0,30.0
legs0_segments1_duration,41.0,83.0,91.0,50.0,66.25,91.0,41.0
legs1_segments0_operatingCarrier_code_in_ff,53.0,109.0,25.0,80.0,66.75,109.0,25.0
legs0_segments1_arrivalTo_airport_city_iata,61.0,98.0,103.0,11.0,68.25,103.0,11.0
legs0_segments1_duration_rank,72.0,93.0,99.0,24.0,72.0,99.0,24.0
legs0_segments0_baggageAllowance_weightMeasurementType,17.0,137.0,17.0,119.0,72.5,137.0,17.0
legs0_segments1_flightNumber,40.0,86.0,82.0,91.0,74.75,91.0,40.0
legs0_segments1_baggageAllowance_quantity,46.0,109.0,54.0,92.0,75.25,109.0,46.0
has_frequentFlyer,84.0,56.0,87.0,78.0,76.25,87.0,56.0
legs1_arrivalAt_is_weekend,65.0,64.0,105.0,73.0,76.75,105.0,64.0
legs1_segments1_baggageAllowance_quantity,121.0,49.0,48.0,115.0,83.25,121.0,48.0
legs1_segments0_baggageAllowance_weightMeasurementType,124.0,66.0,18.0,127.0,83.75,127.0,18.0
legs0_departureAt_is_weekend,116.0,58.0,93.0,71.0,84.5,116.0,58.0
legs1_segments1_aircraft_code,96.0,63.0,95.0,98.0,88.0,98.0,63.0
legs0_segments1_aircraft_code,60.0,88.0,84.0,126.0,89.5,126.0,60.0
legs1_segments1_arrivalTo_airport_iata,93.0,107.0,25.0,133.0,89.5,133.0,25.0
legs0_segments0_marketingCarrier_code_in_ff,60.0,80.0,115.0,109.0,91.0,115.0,60.0
legs0_segments1_arrivalTo_airport_iata,68.0,77.0,100.0,124.0,92.25,124.0,68.0
legs1_segments0_marketingCarrier_code_in_ff,47.0,78.0,138.0,110.0,93.25,138.0,47.0
legs1_segments1_duration_rank,99.0,82.0,94.0,104.0,94.75,104.0,82.0
legs1_departureAt_is_weekend,78.0,110.0,107.0,86.0,95.25,110.0,78.0
legs1_segments1_duration,83.0,90.0,106.0,117.0,99.0,117.0,83.0
legs0_segments1_seatsAvailable,69.0,104.0,116.0,119.0,102.0,119.0,69.0
is_max_duration_cabin_same,145.0,123.0,69.0,77.0,103.5,145.0,69.0
legs1_segments1_seatsAvailable,95.0,103.0,118.0,127.0,110.75,127.0,95.0
legs0_is_min_transfers,2.0,4.0,0.0,9999.0,2501.25,9999.0,0.0
total_num_transfers,24.0,126.0,9999.0,9.0,2539.5,9999.0,9.0
legs1_is_min_transfers,8.0,147.0,6.0,9999.0,2540.0,9999.0,6.0
miniRules0_percentage,80.0,127.0,61.0,9999.0,2566.75,9999.0,61.0
legs0_segments1_marketingCarrier_code,55.0,125.0,125.0,9999.0,2576.0,9999.0,55.0
legs0_segments1_departureFrom_airport_iata,45.0,118.0,143.0,9999.0,2576.25,9999.0,45.0
legs1_segments1_departureFrom_airport_iata,68.0,127.0,122.0,9999.0,2579.0,9999.0,68.0
legs1_segments1_operatingCarrier_code,64.0,121.0,145.0,9999.0,2582.25,9999.0,64.0
legs0_segments1_marketingCarrier_code_in_ff,87.0,95.0,149.0,9999.0,2582.5,9999.0,87.0
legs1_segments2_baggageAllowance_quantity,160.0,151.0,33.0,9999.0,2585.75,9999.0,33.0
legs0_segments1_operatingCarrier_code,92.0,119.0,135.0,9999.0,2586.25,9999.0,92.0
miniRules1_percentage,148.0,121.0,78.0,9999.0,2586.5,9999.0,78.0
legs0_segments1_cabinClass,54.0,154.0,143.0,9999.0,2587.5,9999.0,54.0
legs1_segments1_arrivalTo_airport_city_iata,100.0,116.0,142.0,9999.0,2589.25,9999.0,100.0
legs0_segments1_operatingCarrier_code_in_ff,125.0,116.0,138.0,9999.0,2594.5,9999.0,116.0
legs0_segments2_flightNumber,119.0,141.0,123.0,9999.0,2595.5,9999.0,119.0
legs1_segments1_operatingCarrier_code_in_ff,132.0,115.0,147.0,9999.0,2598.25,9999.0,115.0
legs1_segments1_cabinClass,144.0,146.0,139.0,9999.0,2607.0,9999.0,139.0
legs1_segments1_marketingCarrier_code_in_ff,116.0,21.0,9999.0,9999.0,5033.75,9999.0,21.0
both_legs_direct,13.0,9999.0,155.0,9999.0,5041.5,9999.0,13.0
legs1_segments1_marketingCarrier_code,100.0,129.0,9999.0,9999.0,5056.75,9999.0,100.0
legs0_segments1_baggageAllowance_weightMeasurementType,74.0,156.0,9999.0,9999.0,5057.0,9999.0,74.0
legs0_segments2_aircraft_code,130.0,9999.0,130.0,9999.0,5064.5,9999.0,130.0
legs1_segments2_duration_rank,131.0,151.0,9999.0,9999.0,5070.0,9999.0,131.0
legs1_segments2_duration,131.0,152.0,9999.0,9999.0,5070.25,9999.0,131.0
legs0_segments2_baggageAllowance_quantity,137.0,150.0,9999.0,9999.0,5071.25,9999.0,137.0
legs1_segments2_seatsAvailable,177.0,9999.0,140.0,9999.0,5078.75,9999.0,140.0
legs1_segments2_operatingCarrier_code_in_ff,9999.0,9999.0,29.0,9999.0,7506.5,9999.0,29.0
legs1_segments2_departureFrom_airport_iata,9999.0,9999.0,83.0,9999.0,7520.0,9999.0,83.0
legs0_segments2_marketingCarrier_code,133.0,9999.0,9999.0,9999.0,7532.5,9999.0,133.0
legs0_segments2_cabinClass,134.0,9999.0,9999.0,9999.0,7532.75,9999.0,134.0
legs0_segments2_duration,136.0,9999.0,9999.0,9999.0,7533.25,9999.0,136.0
legs0_segments2_arrivalTo_airport_iata,140.0,9999.0,9999.0,9999.0,7534.25,9999.0,140.0
legs0_segments2_duration_rank,143.0,9999.0,9999.0,9999.0,7535.0,9999.0,143.0
legs0_segments2_arrivalTo_airport_city_iata,144.0,9999.0,9999.0,9999.0,7535.25,9999.0,144.0
legs0_segments2_operatingCarrier_code,144.0,9999.0,9999.0,9999.0,7535.25,9999.0,144.0
legs0_segments2_seatsAvailable,147.0,9999.0,9999.0,9999.0,7536.0,9999.0,147.0
legs0_segments2_departureFrom_airport_iata,157.0,9999.0,9999.0,9999.0,7538.5,9999.0,157.0
legs0_is_direct,159.0,9999.0,9999.0,9999.0,7539.0,9999.0,159.0
legs0_segments2_baggageAllowance_weightMeasurementType,161.0,9999.0,9999.0,9999.0,7539.5,9999.0,161.0
legs1_segments2_baggageAllowance_weightMeasurementType,163.0,9999.0,9999.0,9999.0,7540.0,9999.0,163.0
legs1_segments2_flightNumber,164.0,9999.0,9999.0,9999.0,7540.25,9999.0,164.0
legs1_segments2_marketingCarrier_code,169.0,9999.0,9999.0,9999.0,7541.5,9999.0,169.0
legs1_segments2_aircraft_code,170.0,9999.0,9999.0,9999.0,7541.75,9999.0,170.0
legs0_segments2_marketingCarrier_code_in_ff,170.0,9999.0,9999.0,9999.0,7541.75,9999.0,170.0
legs0_segments2_operatingCarrier_code_in_ff,176.0,9999.0,9999.0,9999.0,7543.25,9999.0,176.0
legs1_segments1_baggageAllowance_weightMeasurementType,176.0,9999.0,9999.0,9999.0,7543.25,9999.0,176.0
legs1_segments3_flightNumber,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_duration,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_weightMeasurementType,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_cabinClass,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_duration_rank,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_baggageAllowance_quantity,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_departureFrom_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_marketingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs1_segments3_arrivalTo_airport_iata,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_seatsAvailable,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code_in_ff,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
legs0_segments3_operatingCarrier_code,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
