feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_duration_rank,10263.0,0.0,3.8921477794647217,98.0,574.4038696289062,88.0,0.0
total_num_transfers_rank,141.0,93.0,321.3355407714844,0.0,36062.81640625,2.0,0.0
legs0_is_min_transfers,6.0,144.0,22.555702209472656,4.0,37525.91796875,0.0,0.0
legs0_segments0_flightNumber,9407.0,1.0,4.074885845184326,86.0,694.0870971679688,73.0,1.0
total_is_min_transfers,24.0,123.0,302.2166442871094,1.0,36337.609375,1.0,1.0
legs1_num_transfers_rank,21.0,124.0,62.47786331176758,2.0,20630.365234375,4.0,2.0
price_per_duration,8958.0,2.0,4.1224751472473145,80.0,655.6224975585938,78.0,2.0
legs0_num_transfers_rank,24.0,122.0,21.896970748901367,5.0,27252.865234375,3.0,3.0
legs0_max_duration_cabin,16.0,128.0,36.06972122192383,3.0,16534.751953125,5.0,3.0
price_minus_fee_rank,8803.0,3.0,3.865955114364624,100.0,548.846435546875,94.0,3.0
price_from_median_zscore,8636.0,4.0,5.095592021942139,41.0,851.222412109375,53.0,4.0
price_percentile,8574.0,5.0,5.082194805145264,42.0,971.6913452148438,43.0,5.0
legs1_is_min_transfers,5.0,148.0,11.2532958984375,12.0,15355.6845703125,6.0,6.0
totalPrice_rank,8462.0,6.0,4.241527557373047,75.0,755.070556640625,63.0,6.0
legs0_weighted_mean_cabin,44.0,113.0,18.54670524597168,6.0,13300.91796875,7.0,6.0
price_per_fee_rank,8356.0,7.0,3.8762686252593994,99.0,505.7179870605469,100.0,7.0
legs0_segments0_cabinClass,43.0,114.0,13.841111183166504,7.0,5292.0107421875,11.0,7.0
legs0_mean_cabin,8.0,139.0,11.898442268371582,10.0,10825.283203125,8.0,8.0
both_legs_carrier_all_same,164.0,92.0,13.82581901550293,8.0,4879.9697265625,13.0,8.0
days_before_departure,7669.0,8.0,4.087278842926025,83.0,493.3087463378906,102.0,8.0
companyID,7433.0,9.0,4.309799671173096,72.0,481.9172058105469,104.0,9.0
legs0_segments0_baggageAllowance_quantity,213.0,85.0,13.547988891601562,9.0,4647.4267578125,14.0,9.0
has_access_tp,130.0,96.0,9.658259391784668,19.0,10163.806640625,9.0,9.0
legs0_arrivalAt_hour,6435.0,10.0,4.507627487182617,66.0,810.5413208007812,55.0,10.0
pricingInfo_isAccessTP,693.0,63.0,10.771175384521484,14.0,7879.8486328125,10.0,10.0
price_per_tax,6375.0,11.0,3.7568109035491943,107.0,475.81304931640625,106.0,11.0
baggage_total,348.0,73.0,11.308085441589355,11.0,1599.766845703125,22.0,11.0
legs0_departureAt_hour,6188.0,12.0,4.73859167098999,59.0,1158.8297119140625,36.0,12.0
legs0_segments0_operatingCarrier_code_in_ff,255.0,80.0,5.662737846374512,31.0,5050.4560546875,12.0,12.0
