feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
total_is_min_transfers,25.0,130.0,792.226806640625,0.0,76052.5546875,0.0,0.0
price_per_duration_rank,12557.0,0.0,4.507511615753174,105.0,897.692626953125,85.0,0.0
total_num_transfers_rank,150.0,100.0,782.7205810546875,1.0,75634.8125,1.0,1.0
price_from_median_zscore,10977.0,1.0,5.219799041748047,68.0,1023.7035522460938,73.0,1.0
legs0_num_transfers_rank,58.0,111.0,57.13829040527344,2.0,6049.666015625,11.0,2.0
legs0_mean_cabin,18.0,136.0,12.129290580749512,9.0,17543.779296875,2.0,2.0
price_percentile,10688.0,2.0,6.842187404632568,31.0,2101.55126953125,35.0,2.0
companyID,10503.0,3.0,5.391171932220459,63.0,1047.3033447265625,72.0,3.0
legs1_mean_cabin,16.0,138.0,49.1058349609375,3.0,14982.7177734375,3.0,3.0
legs0_is_min_transfers,13.0,140.0,14.908832550048828,6.0,14541.0576171875,4.0,4.0
legs0_segments0_flightNumber,10311.0,4.0,4.921512603759766,83.0,1662.0618896484375,45.0,4.0
both_legs_carrier_all_same,195.0,95.0,22.968461990356445,4.0,8412.849609375,9.0,4.0
legs0_max_duration_cabin,11.0,143.0,18.751649856567383,5.0,12000.3916015625,5.0,5.0
price_per_duration,10207.0,5.0,5.182810306549072,70.0,1050.2491455078125,71.0,5.0
price_minus_fee_rank,10178.0,6.0,4.702720642089844,92.0,837.2863159179688,92.0,6.0
has_access_tp,173.0,97.0,9.915818214416504,14.0,10317.44140625,6.0,6.0
price_per_fee_rank,9803.0,7.0,4.509213924407959,104.0,835.2216186523438,93.0,7.0
total_weighted_mean_cabin,177.0,96.0,14.644845962524414,7.0,9708.923828125,7.0,7.0
days_before_departure,9607.0,8.0,4.681634426116943,94.0,720.8873901367188,100.0,8.0
total_duration,2169.0,36.0,13.955161094665527,8.0,3974.55517578125,19.0,8.0
pricingInfo_isAccessTP,1019.0,60.0,11.69566822052002,10.0,8982.044921875,8.0,8.0
totalPrice_rank,9572.0,9.0,5.433956623077393,62.0,1297.080078125,58.0,9.0
legs1_segments0_cabinClass,52.0,117.0,9.670844078063965,15.0,6835.54248046875,10.0,10.0
legs0_departureAt_hour,8092.0,10.0,5.539328098297119,59.0,1544.4559326171875,49.0,10.0
legs1_weighted_mean_cabin,21.0,132.0,11.015767097473145,11.0,5227.8056640625,13.0,11.0
legs0_arrivalAt_hour,7929.0,11.0,5.179281234741211,71.0,1158.374267578125,65.0,11.0
legs0_segments0_baggageAllowance_quantity,500.0,74.0,9.651058197021484,16.0,5832.3486328125,12.0,12.0
price_per_tax,7738.0,12.0,4.53939151763916,101.0,595.4486083984375,108.0,12.0
baggage_total_rank,1533.0,42.0,10.267877578735352,12.0,3779.803955078125,20.0,12.0
legs0_segments0_marketingCarrier_code,141.0,101.0,9.91901683807373,13.0,2701.33154296875,26.0,13.0
price_per_fee,7185.0,13.0,7.384006977081299,25.0,2168.368896484375,32.0,13.0
legs1_departureAt_day_period,199.0,94.0,5.440779209136963,61.0,5079.87109375,14.0,14.0
duration_ratio,5768.0,14.0,4.650856018066406,96.0,1094.970947265625,68.0,14.0
log_price,5713.0,15.0,5.123769283294678,75.0,1114.368408203125,67.0,15.0
