feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,16836.0,0.0,9.65783405303955,38.0,2706.589599609375,85.0,0.0
total_is_min_transfers,39.0,150.0,3449.467041015625,0.0,183276.59375,0.0,0.0
price_percentile,16688.0,1.0,14.095934867858887,23.0,3972.125,51.0,1.0
total_num_transfers_rank,258.0,108.0,2209.317626953125,1.0,149617.265625,1.0,1.0
legs0_is_min_transfers,34.0,152.0,33.397823333740234,6.0,69081.1171875,2.0,2.0
has_fees,9.0,169.0,119.8873291015625,2.0,30075.90234375,7.0,2.0
price_per_duration,15785.0,2.0,8.874462127685547,42.0,3305.26123046875,66.0,2.0
legs0_num_transfers_rank,239.0,111.0,88.11872863769531,3.0,51086.6796875,4.0,3.0
legs1_mean_cabin,20.0,161.0,5.930656433105469,106.0,63627.0625,3.0,3.0
companyID,14415.0,3.0,6.844812393188477,79.0,2080.472900390625,103.0,3.0
price_per_duration_rank,14133.0,4.0,5.924318313598633,107.0,2110.53173828125,101.0,4.0
legs0_mean_cabin,55.0,139.0,56.03889083862305,4.0,20452.2890625,10.0,4.0
pricingInfo_isAccessTP,1316.0,73.0,40.782264709472656,5.0,33994.52734375,5.0,5.0
days_before_departure,13941.0,5.0,5.520002365112305,113.0,1416.2647705078125,127.0,5.0
has_access_tp,236.0,113.0,23.654916763305664,11.0,30436.57421875,6.0,6.0
legs0_segments0_flightNumber,13442.0,6.0,6.8694376945495605,76.0,2526.729736328125,96.0,6.0
has_baggage,108.0,131.0,33.27252960205078,7.0,11277.8212890625,18.0,7.0
price_per_tax,12160.0,7.0,5.493683338165283,115.0,1503.98388671875,124.0,7.0
legs1_is_min_transfers,20.0,162.0,9.218819618225098,40.0,29339.255859375,8.0,8.0
total_weighted_mean_cabin,396.0,101.0,32.96615982055664,8.0,11951.82421875,17.0,8.0
legs0_departureAt_hour,11982.0,8.0,7.070102691650391,72.0,3059.03515625,72.0,8.0
legs1_weighted_mean_cabin,31.0,153.0,6.965673446655273,73.0,28331.73828125,9.0,9.0
legs0_segments0_baggageAllowance_quantity,1557.0,63.0,31.363187789916992,9.0,13385.6611328125,15.0,9.0
price_per_fee_rank,11499.0,9.0,5.339991092681885,120.0,1893.20947265625,109.0,9.0
legs0_arrivalAt_hour,11428.0,10.0,7.199590682983398,69.0,2552.635009765625,94.0,10.0
both_legs_carrier_all_same,238.0,112.0,25.926990509033203,10.0,17265.3515625,13.0,10.0
legs0_segments0_operatingCarrier_code_in_ff,266.0,107.0,7.655152320861816,58.0,20317.6484375,11.0,11.0
