feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,min_rank_xxlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0
total_num_transfers_rank,0.0,1.0,1.0,0.0,1.0,0.6,1.0,0.0
legs0_num_transfers_rank,2.0,2.0,2.0,2.0,0.0,1.6,2.0,0.0
price_from_median_zscore,0.0,2.0,1.0,5.0,3.0,2.2,5.0,0.0
price_percentile,2.0,0.0,2.0,3.0,6.0,2.6,6.0,0.0
price_per_duration_rank,11.0,3.0,0.0,0.0,1.0,3.0,11.0,0.0
price_per_duration,1.0,1.0,3.0,2.0,9.0,3.2,9.0,1.0
legs0_segments0_flightNumber,5.0,5.0,5.0,1.0,0.0,3.2,5.0,0.0
companyID,4.0,4.0,4.0,8.0,8.0,5.6,8.0,4.0
has_access_tp,2.0,4.0,8.0,8.0,11.0,6.6,11.0,2.0
pricingInfo_isAccessTP,3.0,6.0,6.0,9.0,9.0,6.6,9.0,3.0
days_before_departure,3.0,6.0,8.0,9.0,10.0,7.2,10.0,3.0
legs0_mean_cabin,13.0,5.0,5.0,10.0,4.0,7.4,13.0,4.0
price_minus_fee_rank,17.0,9.0,6.0,4.0,2.0,7.6,17.0,2.0
legs0_segments0_baggageAllowance_quantity,8.0,7.0,10.0,12.0,3.0,8.0,12.0,3.0
price_per_fee_rank,15.0,10.0,7.0,7.0,5.0,8.8,15.0,5.0
price_per_fee,7.0,7.0,12.0,13.0,11.0,10.0,13.0,7.0
price_per_tax,6.0,11.0,13.0,11.0,12.0,10.6,13.0,6.0
legs0_weighted_mean_cabin,7.0,9.0,32.0,3.0,3.0,10.8,32.0,3.0
total_weighted_mean_cabin,5.0,11.0,6.0,15.0,17.0,10.8,17.0,5.0
legs0_departureAt_hour,9.0,8.0,11.0,12.0,15.0,11.0,15.0,8.0
legs0_arrivalAt_hour,10.0,12.0,10.0,10.0,13.0,11.0,13.0,10.0
totalPrice_rank,21.0,13.0,9.0,6.0,7.0,11.2,21.0,6.0
both_legs_carrier_all_same,40.0,13.0,5.0,7.0,5.0,14.0,40.0,5.0
log_price,8.0,14.0,14.0,16.0,20.0,14.4,20.0,8.0
price_minus_fee,12.0,15.0,16.0,18.0,22.0,16.6,22.0,12.0
legs0_segments0_seatsAvailable,16.0,20.0,17.0,15.0,18.0,17.2,20.0,15.0
miniRules1_monetaryAmount,6.0,20.0,18.0,28.0,17.0,17.8,28.0,6.0
legs1_segments0_baggageAllowance_quantity,29.0,35.0,4.0,11.0,13.0,18.4,35.0,4.0
duration_ratio,33.0,18.0,15.0,14.0,16.0,19.2,33.0,14.0
legs1_segments0_flightNumber,38.0,26.0,18.0,17.0,4.0,20.6,38.0,4.0
baggage_total,37.0,17.0,20.0,19.0,10.0,20.6,37.0,10.0
legs1_weighted_mean_cabin,32.0,6.0,8.0,35.0,22.0,20.6,35.0,6.0
taxes,14.0,17.0,22.0,26.0,25.0,20.8,26.0,14.0
legs0_segments0_operatingCarrier_code_in_ff,16.0,13.0,16.0,12.0,49.0,21.2,49.0,12.0
corporateTariffCode,25.0,22.0,20.0,20.0,21.0,21.6,25.0,20.0
legs1_main_carrier,26.0,22.0,21.0,20.0,20.0,21.8,26.0,20.0
isVip,42.0,15.0,22.0,17.0,15.0,22.2,42.0,15.0
legs1_departureAt_hour,31.0,30.0,19.0,19.0,14.0,22.6,31.0,14.0
total_duration,20.0,23.0,12.0,21.0,42.0,23.6,42.0,12.0
total_duration_rank,23.0,23.0,23.0,25.0,26.0,24.0,26.0,23.0
