feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_percentile,13372.0,0.0,14.582818984985352,18.0,3542.43212890625,53.0,0.0
total_is_min_transfers,28.0,146.0,3850.753662109375,0.0,158591.734375,0.0,0.0
price_per_duration,13297.0,1.0,8.346522331237793,46.0,2875.0234375,68.0,1.0
total_num_transfers_rank,241.0,104.0,1873.01171875,1.0,115939.15625,1.0,1.0
price_from_median_zscore,13189.0,2.0,9.278797149658203,38.0,2636.8583984375,74.0,2.0
legs0_num_transfers_rank,212.0,106.0,78.87646484375,2.0,43949.89453125,2.0,2.0
legs0_is_min_transfers,40.0,141.0,21.13758087158203,14.0,42097.171875,3.0,3.0
price_per_duration_rank,12208.0,3.0,5.927114963531494,106.0,2249.38330078125,91.0,3.0
has_baggage,71.0,130.0,46.51591491699219,3.0,10919.7177734375,18.0,3.0
companyID,11312.0,4.0,6.712932586669922,87.0,1927.5931396484375,99.0,4.0
has_access_tp,173.0,112.0,22.855831146240234,12.0,37807.625,4.0,4.0
has_fees,17.0,157.0,39.09446716308594,4.0,13554.939453125,12.0,4.0
legs0_mean_cabin,41.0,140.0,36.075775146484375,5.0,34022.08984375,5.0,5.0
legs0_segments0_flightNumber,11305.0,5.0,6.718531608581543,85.0,2331.85888671875,87.0,5.0
legs1_weighted_mean_cabin,19.0,155.0,7.706230640411377,54.0,28327.99609375,6.0,6.0
pricingInfo_isAccessTP,1090.0,70.0,35.91214370727539,6.0,26798.517578125,7.0,6.0
days_before_departure,10629.0,6.0,5.630640983581543,117.0,1425.019287109375,121.0,6.0
legs0_segments0_baggageAllowance_quantity,1107.0,69.0,29.462316513061523,7.0,11257.0458984375,16.0,7.0
price_per_fee,9838.0,7.0,11.077832221984863,27.0,3821.26806640625,49.0,7.0
legs1_mean_cabin,24.0,150.0,7.524941921234131,60.0,23718.373046875,8.0,8.0
both_legs_direct,5.0,168.0,27.710834503173828,8.0,1166.830810546875,131.0,8.0
legs0_departureAt_hour,9777.0,8.0,7.17012882232666,69.0,2620.30078125,75.0,8.0
legs0_max_duration_cabin,94.0,122.0,6.427664279937744,94.0,21265.037109375,9.0,9.0
price_minus_fee_rank,9760.0,9.0,5.543370723724365,123.0,1633.4200439453125,111.0,9.0
legs0_weighted_mean_cabin,134.0,117.0,26.66114044189453,9.0,7036.08984375,23.0,9.0
legs1_is_min_transfers,17.0,158.0,6.2530927658081055,100.0,20648.466796875,10.0,10.0
legs0_segments0_cabinClass,199.0,109.0,25.827377319335938,10.0,10564.0361328125,19.0,10.0
price_per_fee_rank,9542.0,10.0,5.495837688446045,124.0,2361.439697265625,86.0,10.0
total_weighted_mean_cabin,290.0,101.0,24.10675048828125,11.0,13757.1953125,11.0,11.0
price_per_tax,9430.0,11.0,5.791980266571045,111.0,1463.8538818359375,118.0,11.0
legs0_arrivalAt_hour,9340.0,12.0,6.978450298309326,75.0,2307.42724609375,89.0,12.0
both_legs_carrier_all_same,202.0,108.0,22.59377098083496,13.0,11728.51953125,14.0,13.0
legs0_segments0_operatingCarrier_code_in_ff,207.0,107.0,8.630905151367188,43.0,11862.4423828125,13.0,13.0
totalPrice_rank,8873.0,13.0,7.009884834289551,72.0,2617.906494140625,76.0,13.0
log_price,8194.0,14.0,6.130699634552002,102.0,2455.76318359375,82.0,14.0
legs1_num_transfers_rank,93.0,123.0,6.984102725982666,74.0,11409.1435546875,15.0,15.0
price_minus_fee,6681.0,15.0,5.998478889465332,104.0,2123.899169921875,97.0,15.0
isVip,691.0,80.0,16.806676864624023,15.0,4981.69189453125,37.0,15.0
searchRoute,6257.0,16.0,6.665028095245361,89.0,1381.225830078125,122.0,16.0
legs0_segments0_baggageAllowance_weightMeasurementType,27.0,147.0,15.096259117126465,16.0,1258.0679931640625,126.0,16.0
miniRules1_percentage,17.0,156.0,8.329106330871582,48.0,10949.3583984375,17.0,17.0
baggage_total,917.0,77.0,14.694836616516113,17.0,5475.794921875,36.0,17.0
taxes,6114.0,17.0,6.68251895904541,88.0,2541.584228515625,79.0,17.0
duration_ratio,5646.0,18.0,6.278531551361084,99.0,3074.77587890625,63.0,18.0
legs0_segments1_cabinClass,72.0,129.0,14.437992095947266,19.0,6307.92333984375,29.0,19.0
unmatched_duration,5454.0,19.0,7.5093207359313965,61.0,3443.983154296875,54.0,19.0
legs0_segments0_seatsAvailable,5382.0,20.0,5.221498012542725,133.0,1576.3153076171875,114.0,20.0
miniRules1_monetaryAmount,1453.0,55.0,13.810713768005371,20.0,6965.244140625,24.0,20.0
legs1_max_duration_cabin,26.0,148.0,10.074405670166016,33.0,10507.01171875,20.0,20.0
total_fees,1441.0,56.0,12.77169418334961,21.0,3956.573974609375,43.0,21.0
legs0_segments0_duration,5302.0,21.0,7.619258403778076,57.0,1833.7298583984375,102.0,21.0
isAccess3D,479.0,89.0,9.994178771972656,34.0,8378.9130859375,21.0,21.0
legs1_main_carrier,664.0,81.0,11.730430603027344,22.0,4728.765625,40.0,22.0
corporateTariffCode,5164.0,22.0,8.859223365783691,40.0,6665.36572265625,25.0,22.0
legs1_segments0_cabinClass,35.0,144.0,7.239238262176514,67.0,7307.60400390625,22.0,22.0
total_duration,5069.0,23.0,7.594277858734131,58.0,1777.4342041015625,105.0,23.0
total_duration_rank,3867.0,29.0,11.418052673339844,23.0,3044.33642578125,64.0,23.0
legs0_duration,4831.0,24.0,10.461775779724121,29.0,6421.61767578125,28.0,24.0
legs0_main_carrier,1565.0,52.0,11.32461166381836,24.0,3795.739990234375,50.0,24.0
unmatched_duration_rank,4033.0,28.0,11.171696662902832,25.0,3543.5146484375,52.0,25.0
legs0_segments0_aircraft_code,4745.0,25.0,5.9853620529174805,105.0,1516.632080078125,115.0,25.0
legs1_segments1_cabinClass,16.0,160.0,6.852295398712158,79.0,6643.3642578125,26.0,26.0
legs1_segments0_marketingCarrier_code,90.0,124.0,11.146417617797852,26.0,3946.7763671875,44.0,26.0
legs1_segments0_flightNumber,4142.0,26.0,6.311604022979736,98.0,3120.880615234375,61.0,26.0
legs1_departureAt_day_period,167.0,113.0,7.894163608551025,50.0,6534.208984375,27.0,27.0
legs0_segments0_duration_rank,4048.0,27.0,6.1530375480651855,101.0,1635.4505615234375,110.0,27.0
legs0_segments0_marketingCarrier_code,370.0,95.0,10.896739959716797,28.0,3143.540283203125,60.0,28.0
nationality,368.0,96.0,6.957987308502197,76.0,6282.91259765625,30.0,30.0
legs1_departureAt_hour,3830.0,30.0,9.019875526428223,39.0,6235.4521484375,32.0,30.0
is_max_duration_cabin_same,20.0,153.0,10.369616508483887,30.0,1165.20751953125,132.0,30.0
baggage_total_rank,1946.0,45.0,10.350181579589844,31.0,3337.072998046875,56.0,31.0
tax_rate,3732.0,31.0,7.376840591430664,65.0,3252.2138671875,57.0,31.0
