feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
total_is_min_transfers,31.0,132.0,552.4981079101562,0.0,43158.80078125,1.0,0.0
price_from_median_zscore,10201.0,0.0,5.711579322814941,32.0,1090.1683349609375,64.0,0.0
total_num_transfers_rank,154.0,98.0,515.3619384765625,1.0,50287.67578125,0.0,0.0
price_per_duration,9322.0,1.0,4.5765204429626465,49.0,1596.578125,38.0,1.0
legs0_num_transfers_rank,45.0,121.0,48.880523681640625,2.0,5779.84228515625,4.0,2.0
price_percentile,9182.0,2.0,6.043288707733154,26.0,1080.7010498046875,65.0,2.0
has_access_tp,127.0,100.0,9.652048110961914,16.0,8732.322265625,2.0,2.0
both_legs_direct,1.0,163.0,46.234619140625,3.0,3469.528564453125,9.0,3.0
days_before_departure,8244.0,3.0,2.856949806213379,129.0,354.1888427734375,135.0,3.0
pricingInfo_isAccessTP,818.0,62.0,10.412134170532227,12.0,7767.828125,3.0,3.0
companyID,7623.0,4.0,3.93915057182312,66.0,634.562255859375,103.0,4.0
has_baggage,44.0,124.0,17.879175186157227,4.0,2062.384765625,25.0,4.0
miniRules1_statusInfos,371.0,79.0,16.962987899780273,5.0,1748.9617919921875,33.0,5.0
total_weighted_mean_cabin,204.0,95.0,12.943140029907227,10.0,5774.15771484375,5.0,5.0
legs0_segments0_flightNumber,7358.0,5.0,3.6116020679473877,75.0,996.2213134765625,72.0,5.0
legs1_segments1_marketingCarrier_code_in_ff,4.0,158.0,15.090749740600586,6.0,536.0261840820312,114.0,6.0
miniRules1_monetaryAmount,804.0,63.0,10.541522979736328,11.0,3915.16845703125,6.0,6.0
price_per_tax,7044.0,6.0,3.031804323196411,121.0,506.1316223144531,118.0,6.0
price_per_fee,6467.0,7.0,5.999284744262695,27.0,1507.850341796875,41.0,7.0
legs0_weighted_mean_cabin,101.0,108.0,13.623924255371094,9.0,3701.91796875,7.0,7.0
legs0_segments0_baggageAllowance_weightMeasurementType,76.0,115.0,14.307480812072754,7.0,496.09967041015625,120.0,7.0
nationality,206.0,94.0,8.458690643310547,19.0,3497.196533203125,8.0,8.0
legs0_segments0_baggageAllowance_quantity,972.0,54.0,14.173433303833008,8.0,3114.334716796875,10.0,8.0
log_price,6254.0,8.0,3.262237548828125,105.0,768.1614379882812,88.0,8.0
legs0_departureAt_hour,6160.0,9.0,3.3414082527160645,94.0,972.565673828125,74.0,9.0
legs0_arrivalAt_hour,6062.0,10.0,3.4314262866973877,89.0,906.474609375,79.0,10.0
legs1_segments1_operatingCarrier_code,44.0,125.0,3.9493408203125,65.0,3008.310791015625,11.0,11.0
price_per_duration_rank,5893.0,11.0,3.607128858566284,77.0,844.4968872070312,84.0,11.0
price_minus_fee,4824.0,12.0,3.344568967819214,92.0,997.5599365234375,71.0,12.0
isAccess3D,353.0,81.0,3.2493720054626465,106.0,2987.201171875,12.0,12.0
legs0_max_duration_cabin,41.0,127.0,9.082220077514648,18.0,2916.60107421875,13.0,13.0
legs0_mean_cabin,11.0,145.0,10.165915489196777,13.0,2397.145751953125,20.0,13.0
searchRoute,4713.0,13.0,3.453868865966797,88.0,546.6157836914062,112.0,13.0
taxes,4328.0,14.0,4.1747283935546875,54.0,688.130615234375,98.0,14.0
legs1_segments1_marketingCarrier_code,45.0,122.0,9.751542091369629,14.0,377.7460021972656,132.0,14.0
is_popular_route,67.0,116.0,4.11588191986084,57.0,2745.060791015625,14.0,14.0
legs1_segments0_marketingCarrier_code,49.0,119.0,4.743487358093262,47.0,2690.20751953125,15.0,15.0
has_fees,9.0,147.0,9.65985107421875,15.0,2092.065185546875,24.0,15.0
price_per_fee_rank,4305.0,15.0,3.344559669494629,93.0,657.0663452148438,102.0,15.0
legs0_segments0_operatingCarrier_code_in_ff,153.0,99.0,2.9649417400360107,123.0,2659.625244140625,16.0,16.0
legs0_segments0_seatsAvailable,4296.0,16.0,2.8380632400512695,132.0,710.2960205078125,96.0,16.0
miniRules0_statusInfos,125.0,101.0,9.253334045410156,17.0,1001.399169921875,70.0,17.0
price_minus_fee_rank,4127.0,17.0,3.264214038848877,102.0,868.4452514648438,80.0,17.0
legs1_segments1_operatingCarrier_code_in_ff,15.0,139.0,4.994051933288574,44.0,2545.61474609375,17.0,17.0
legs0_segments0_duration,3963.0,18.0,3.738215923309326,71.0,578.9558715820312,109.0,18.0
legs0_duration,3303.0,22.0,5.745607852935791,30.0,2525.7431640625,18.0,18.0
legs0_segments1_departureFrom_airport_iata,313.0,85.0,4.7945356369018555,46.0,2488.7919921875,19.0,19.0
unmatched_duration,3902.0,19.0,3.669353723526001,73.0,718.1416015625,95.0,19.0
total_duration,3725.0,20.0,4.0862860679626465,58.0,746.3853149414062,92.0,20.0
is_cheapest,164.0,97.0,8.250039100646973,20.0,1453.564453125,42.0,20.0
is_max_duration_cabin_same,15.0,140.0,7.927724838256836,21.0,1291.0057373046875,50.0,21.0
totalPrice_rank,3549.0,21.0,4.1298298835754395,55.0,1007.3037719726562,68.0,21.0
legs1_segments0_operatingCarrier_code,249.0,92.0,4.8480634689331055,45.0,2312.566162109375,21.0,21.0
legs1_segments2_baggageAllowance_quantity,3.0,160.0,5.319477081298828,40.0,2253.6572265625,22.0,22.0
total_num_transfers,25.0,135.0,7.424260139465332,22.0,1251.0528564453125,54.0,22.0
legs0_segments0_departureFrom_airport_iata,3276.0,23.0,3.2308995723724365,108.0,565.7918701171875,110.0,23.0
total_duration_rank,1617.0,36.0,7.007817268371582,23.0,1312.2540283203125,47.0,23.0
legs1_matched_duration_sum_rank,123.0,102.0,4.041417598724365,60.0,2175.616943359375,23.0,23.0
legs1_arrivalAt_day_period,102.0,106.0,6.963169097900391,24.0,2006.740234375,28.0,24.0
legs0_segments0_aircraft_code,3202.0,24.0,3.460952043533325,86.0,620.73388671875,104.0,24.0
legs0_segments0_cabinClass,106.0,105.0,6.840874671936035,25.0,863.7069702148438,81.0,25.0
corporateTariffCode,2835.0,25.0,3.987353563308716,61.0,1308.1700439453125,48.0,25.0
legs0_departureAt_weekday,2747.0,26.0,2.73397159576416,137.0,444.57391357421875,123.0,26.0
legs1_main_carrier,309.0,86.0,4.526487827301025,51.0,2057.572998046875,26.0,26.0
legs0_segments1_marketingCarrier_code_in_ff,33.0,129.0,3.046081066131592,120.0,2027.4495849609375,27.0,27.0
legs0_arrivalAt_weekday,2744.0,27.0,2.867528200149536,128.0,351.8078308105469,136.0,27.0
legs0_main_carrier,1223.0,41.0,5.882811069488525,28.0,1601.931884765625,37.0,28.0
tax_rate,2691.0,28.0,3.822868824005127,68.0,1140.19091796875,62.0,28.0
legs1_segments0_baggageAllowance_quantity,171.0,96.0,3.2753689289093018,99.0,1982.292236328125,29.0,29.0
legs0_segments0_marketingCarrier_code,295.0,90.0,5.81362771987915,29.0,1609.12548828125,36.0,29.0
legs0_segments0_arrivalTo_airport_city_iata,2493.0,29.0,3.6084375381469727,76.0,554.9378662109375,111.0,29.0
legs0_segments0_arrivalTo_airport_iata,2147.0,30.0,3.642831325531006,74.0,767.379150390625,89.0,30.0
legs0_segments0_operatingCarrier_code,845.0,59.0,5.109277725219727,43.0,1929.789306640625,30.0,30.0
unmatched_duration_rank,1896.0,32.0,5.734433174133301,31.0,1274.23095703125,52.0,31.0
legs1_departureAt_hour,1577.0,39.0,3.7599432468414307,69.0,1857.6070556640625,31.0,31.0
legs0_segments1_flightNumber,2128.0,31.0,3.273892641067505,100.0,1004.2326049804688,69.0,31.0
legs1_weighted_mean_cabin,15.0,141.0,2.4715771675109863,145.0,1800.898681640625,32.0,32.0
duration_ratio,1861.0,33.0,3.314277410507202,96.0,764.6343994140625,90.0,33.0
legs0_duration_rank,1399.0,40.0,5.699363708496094,33.0,800.4425659179688,87.0,33.0
legs0_segments1_marketingCarrier_code,438.0,73.0,5.329577922821045,39.0,1736.212158203125,34.0,34.0
miniRules1_percentage,7.0,153.0,5.661728858947754,34.0,361.78173828125,134.0,34.0
legs0_segments1_duration,1747.0,34.0,3.591402292251587,80.0,670.0104370117188,99.0,34.0
legs0_segments0_duration_rank,1730.0,35.0,3.297194004058838,97.0,950.4209594726562,76.0,35.0
legs0_segments1_baggageAllowance_quantity,303.0,87.0,5.488033771514893,35.0,1238.849365234375,57.0,35.0
total_fees,826.0,60.0,5.36680269241333,36.0,1612.9197998046875,35.0,35.0
legs1_arrivalAt_hour,1603.0,37.0,3.868765354156494,67.0,1367.9583740234375,44.0,37.0
baggage_total,648.0,68.0,5.366718292236328,37.0,1283.7357177734375,51.0,37.0
miniRules0_percentage,7.0,152.0,5.351276874542236,38.0,437.6407775878906,125.0,38.0
legs1_segments0_flightNumber,1603.0,38.0,3.5098390579223633,82.0,1014.809814453125,66.0,38.0
legs1_segments1_duration_rank,38.0,128.0,2.081024646759033,155.0,1535.92822265625,39.0,39.0
both_legs_carrier_all_same,90.0,111.0,4.128220558166504,56.0,1523.651611328125,40.0,40.0
miniRules0_monetaryAmount,822.0,61.0,5.2035908699035645,41.0,1355.423828125,46.0,41.0
totalPrice,1214.0,42.0,3.230634927749634,109.0,821.5633544921875,85.0,42.0
isVip,366.0,80.0,5.122939586639404,42.0,1240.0465087890625,56.0,42.0
legs0_matched_duration_sum,1200.0,43.0,3.0919852256774902,113.0,540.4468383789062,113.0,43.0
legs1_segments0_aircraft_code,735.0,65.0,3.2484776973724365,107.0,1379.9979248046875,43.0,43.0
legs0_segments1_arrivalTo_airport_city_iata,1179.0,44.0,2.761187791824341,136.0,421.2782287597656,128.0,44.0
