feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_num_transfers_rank,1.0,1.0,1.0,0.0,0.75,1.0,0.0
price_per_duration_rank,4.0,0.0,0.0,3.0,1.75,4.0,0.0
price_from_median_zscore,0.0,1.0,5.0,4.0,2.5,5.0,0.0
price_per_duration,2.0,2.0,2.0,8.0,3.5,8.0,2.0
legs0_segments0_flightNumber,6.0,7.0,1.0,1.0,3.75,7.0,1.0
price_percentile,1.0,3.0,6.0,6.0,4.0,6.0,1.0
price_minus_fee_rank,11.0,4.0,3.0,2.0,5.0,11.0,2.0
companyID,3.0,5.0,8.0,5.0,5.25,8.0,3.0
legs0_mean_cabin,7.0,5.0,7.0,3.0,5.5,7.0,3.0
legs0_max_duration_cabin,8.0,5.0,7.0,3.0,5.75,8.0,3.0
price_per_fee_rank,10.0,6.0,4.0,7.0,6.75,10.0,4.0
legs1_mean_cabin,2.0,2.0,11.0,15.0,7.5,15.0,2.0
both_legs_carrier_all_same,10.0,7.0,10.0,5.0,8.0,10.0,5.0
days_before_departure,5.0,8.0,9.0,10.0,8.0,10.0,5.0
legs0_weighted_mean_cabin,12.0,15.0,4.0,2.0,8.25,15.0,2.0
has_access_tp,4.0,6.0,8.0,16.0,8.5,16.0,4.0
totalPrice_rank,12.0,9.0,7.0,9.0,9.25,12.0,7.0
pricingInfo_isAccessTP,6.0,11.0,9.0,13.0,9.75,13.0,6.0
legs0_arrivalAt_hour,8.0,10.0,10.0,14.0,10.5,14.0,8.0
legs0_departureAt_hour,9.0,11.0,11.0,11.0,10.5,11.0,9.0
price_per_tax,7.0,12.0,12.0,17.0,12.0,17.0,7.0
total_weighted_mean_cabin,9.0,7.0,15.0,20.0,12.75,20.0,7.0
legs1_max_duration_cabin,9.0,11.0,25.0,6.0,12.75,25.0,6.0
legs0_segments0_baggageAllowance_quantity,10.0,17.0,25.0,1.0,13.25,25.0,1.0
price_per_fee,13.0,13.0,13.0,15.0,13.5,15.0,13.0
leg0_view_diff_mean,15.0,15.0,14.0,19.0,15.75,19.0,14.0
legs0_segments0_seatsAvailable,19.0,16.0,15.0,18.0,17.0,19.0,15.0
all_view_diff_mean,17.0,14.0,17.0,21.0,17.25,21.0,14.0
baggage_total,24.0,19.0,17.0,12.0,18.0,24.0,12.0
log_price,14.0,17.0,20.0,23.0,18.5,23.0,14.0
duration_ratio,21.0,18.0,16.0,20.0,18.75,21.0,16.0
legs1_segments0_flightNumber,37.0,23.0,18.0,0.0,19.5,37.0,0.0
isVip,21.0,23.0,19.0,19.0,20.5,23.0,19.0
legs1_segments0_baggageAllowance_quantity,32.0,15.0,16.0,20.0,20.75,32.0,15.0
price_minus_fee,16.0,19.0,24.0,26.0,21.25,26.0,16.0
legs1_departureAt_hour,35.0,20.0,19.0,12.0,21.5,35.0,12.0
total_fees,19.0,47.0,15.0,8.0,22.25,47.0,8.0
legs1_arrivalAt_hour,34.0,21.0,21.0,13.0,22.25,34.0,13.0
corporateTariffCode,24.0,22.0,23.0,27.0,24.0,27.0,22.0
legs1_segments0_marketingCarrier_code,30.0,28.0,32.0,7.0,24.25,32.0,7.0
baggage_total_rank,48.0,17.0,23.0,10.0,24.5,48.0,10.0
legs1_main_carrier,43.0,24.0,27.0,5.0,24.75,43.0,5.0
legs0_main_carrier,33.0,29.0,26.0,13.0,25.25,33.0,13.0
total_duration_rank,30.0,26.0,27.0,28.0,27.75,30.0,26.0
legs0_segments0_aircraft_code,24.0,27.0,29.0,31.0,27.75,31.0,24.0
leg1_view_norm,32.0,27.0,35.0,18.0,28.0,35.0,18.0
total_duration,20.0,13.0,35.0,46.0,28.5,46.0,13.0
unmatched_duration_rank,29.0,25.0,31.0,30.0,28.75,31.0,25.0
taxes,18.0,31.0,34.0,35.0,29.5,35.0,18.0
legs0_segments0_key_view_count,26.0,44.0,11.0,38.0,29.75,44.0,11.0
legs0_segments0_cabinClass,13.0,27.0,13.0,67.0,30.0,67.0,13.0
legs1_segments0_key_view_count,41.0,26.0,20.0,35.0,30.5,41.0,20.0
legs1_segments0_cabinClass,16.0,13.0,77.0,16.0,30.5,77.0,13.0
all_flight_view_count_rank,48.0,24.0,26.0,25.0,30.75,48.0,24.0
legs0_segments0_operatingCarrier_code_in_ff,37.0,33.0,14.0,42.0,31.5,42.0,14.0
days_between_departure_arrival,43.0,32.0,28.0,24.0,31.75,43.0,24.0
leg1_view_diff_mean,57.0,34.0,22.0,16.0,32.25,57.0,16.0
legs1_segments0_seatsAvailable,54.0,29.0,25.0,22.0,32.5,54.0,22.0
tax_rate,41.0,30.0,32.0,29.0,33.0,41.0,29.0
legs0_segments0_duration_rank,33.0,28.0,30.0,44.0,33.75,44.0,28.0
leg0_view_norm,44.0,21.0,33.0,37.0,33.75,44.0,21.0
legs0_departureAt_weekday,36.0,33.0,33.0,34.0,34.0,36.0,33.0
legs1_departureAt_day_period,50.0,18.0,26.0,44.0,34.5,50.0,18.0
legs0_segments0_operatingCarrier_code,28.0,30.0,34.0,47.0,34.75,47.0,28.0
leg0_flight_view_count,25.0,18.0,18.0,78.0,34.75,78.0,18.0
unmatched_duration,23.0,36.0,38.0,43.0,35.0,43.0,23.0
legs0_departureAt_day_period,59.0,35.0,22.0,24.0,35.0,59.0,22.0
legs1_duration,25.0,20.0,32.0,64.0,35.25,64.0,20.0
total_fees_rank,45.0,47.0,16.0,34.0,35.5,47.0,16.0
miniRules1_monetaryAmount,15.0,31.0,81.0,17.0,36.0,81.0,15.0
legs0_duration,22.0,55.0,28.0,41.0,36.5,55.0,22.0
legs0_duration_rank,38.0,37.0,36.0,38.0,37.25,38.0,36.0
legs1_arrivalAt_day_period,31.0,46.0,50.0,22.0,37.25,50.0,22.0
leg1_flight_view_count,65.0,37.0,30.0,22.0,38.5,65.0,22.0
legs0_arrivalAt_weekday,39.0,35.0,37.0,45.0,39.0,45.0,35.0
legs0_departureAt_business_time,63.0,53.0,23.0,19.0,39.5,63.0,19.0
legs0_segments0_duration,28.0,44.0,49.0,49.0,42.5,49.0,28.0
all_flight_view_count,27.0,53.0,58.0,32.0,42.5,58.0,27.0
searchRoute,22.0,45.0,43.0,60.0,42.5,60.0,22.0
all_view_norm,45.0,54.0,43.0,29.0,42.75,54.0,29.0
legs0_matched_duration_sum_rank,50.0,41.0,39.0,41.0,42.75,50.0,39.0
legs1_segments0_aircraft_code,60.0,38.0,35.0,39.0,43.0,60.0,35.0
has_baggage,14.0,14.0,20.0,127.0,43.75,127.0,14.0
legs1_segments0_operatingCarrier_code,47.0,22.0,18.0,102.0,47.25,102.0,18.0
legs0_segments0_marketingCarrier_code,27.0,71.0,70.0,25.0,48.25,71.0,25.0
isAccess3D,19.0,60.0,42.0,74.0,48.75,74.0,19.0
legs0_segments0_arrivalTo_airport_city_iata,42.0,42.0,73.0,39.0,49.0,73.0,39.0
total_num_transfers,16.0,6.0,166.0,9.0,49.25,166.0,6.0
leg0_flight_view_count_rank,51.0,39.0,44.0,63.0,49.25,63.0,39.0
legs1_segments0_duration,61.0,50.0,56.0,31.0,49.5,61.0,31.0
legs1_segments0_duration_rank,80.0,43.0,40.0,36.0,49.75,80.0,36.0
totalPrice,26.0,56.0,61.0,57.0,50.0,61.0,26.0
legs1_segments0_operatingCarrier_code_in_ff,89.0,20.0,51.0,40.0,50.0,89.0,20.0
legs0_segments0_arrivalTo_airport_iata,44.0,58.0,59.0,44.0,51.25,59.0,44.0
legs0_segments0_key_view_count_rank,52.0,42.0,46.0,68.0,52.0,68.0,42.0
legs1_duration_rank,78.0,48.0,42.0,40.0,52.0,78.0,40.0
legs0_arrivalAt_day_period,60.0,43.0,70.0,36.0,52.25,70.0,36.0
legs1_departureAt_weekday,83.0,49.0,45.0,32.0,52.25,83.0,32.0
all_matched_duration_sum,47.0,51.0,62.0,50.0,52.5,62.0,47.0
miniRules1_statusInfos,17.0,39.0,52.0,103.0,52.75,103.0,17.0
legs1_segments0_arrivalTo_airport_city_iata,65.0,52.0,33.0,63.0,53.25,65.0,33.0
