feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs1_is_min_transfers,3.0,166.0,552.7001342773438,0.0,15513.9912109375,5.0,0.0
price_per_duration_rank,8673.0,0.0,3.9541356563568115,119.0,613.878662109375,94.0,0.0
total_is_min_transfers,24.0,135.0,492.0400695800781,1.0,39643.87109375,0.0,0.0
legs0_segments0_flightNumber,7960.0,1.0,4.071082592010498,106.0,772.9866333007812,75.0,1.0
total_num_transfers_rank,127.0,108.0,278.3240051269531,2.0,36105.1171875,1.0,1.0
price_per_duration,7742.0,2.0,4.622441291809082,75.0,860.0841064453125,64.0,2.0
legs0_is_min_transfers,6.0,159.0,49.68137741088867,3.0,32289.0859375,2.0,2.0
price_minus_fee_rank,7680.0,3.0,4.078269958496094,105.0,533.3671264648438,106.0,3.0
legs0_num_transfers_rank,19.0,141.0,40.03154373168945,5.0,32173.201171875,3.0,3.0
legs0_weighted_mean_cabin,52.0,127.0,44.75486373901367,4.0,17666.05078125,4.0,4.0
price_per_fee_rank,7297.0,4.0,3.996049165725708,116.0,528.0131225585938,108.0,4.0
price_from_median_zscore,7285.0,5.0,5.3128132820129395,49.0,782.0718383789062,73.0,5.0
legs1_num_transfers_rank,16.0,143.0,38.21685028076172,6.0,14661.1279296875,6.0,6.0
price_percentile,7264.0,6.0,5.934710502624512,37.0,1119.307373046875,48.0,6.0
legs0_max_duration_cabin,9.0,154.0,35.051876068115234,7.0,8266.50390625,10.0,7.0
totalPrice_rank,7160.0,7.0,4.608572006225586,79.0,910.0651245117188,60.0,7.0
legs0_mean_cabin,9.0,155.0,19.62022590637207,8.0,10593.2060546875,7.0,7.0
companyID,6609.0,8.0,4.489725589752197,83.0,527.7933349609375,109.0,8.0
has_access_tp,97.0,113.0,12.7739896774292,12.0,10162.73046875,8.0,8.0
pricingInfo_isAccessTP,624.0,69.0,10.489734649658203,14.0,8693.8134765625,9.0,9.0
days_before_departure,6592.0,9.0,4.11039400100708,103.0,469.2638854980469,114.0,9.0
legs0_segments1_departureFrom_airport_iata,6.0,160.0,14.15938663482666,9.0,885.3984985351562,61.0,9.0
legs0_arrivalAt_hour,5910.0,10.0,4.227718830108643,97.0,844.6923217773438,66.0,10.0
both_legs_carrier_all_same,128.0,107.0,14.103939056396484,10.0,4354.07861328125,12.0,10.0
legs0_departureAt_hour,5592.0,11.0,4.620868682861328,76.0,1144.7603759765625,47.0,11.0
legs0_segments0_key_view_count,934.0,52.0,12.915933609008789,11.0,2603.276123046875,17.0,11.0
legs1_mean_cabin,2.0,169.0,2.5366649627685547,160.0,6607.4990234375,11.0,11.0
price_per_tax,5482.0,12.0,4.224686622619629,98.0,461.774169921875,116.0,12.0
legs0_segments0_cabinClass,35.0,131.0,10.83326530456543,13.0,4298.30908203125,13.0,13.0
price_per_fee,5044.0,13.0,5.800851821899414,39.0,801.9002075195312,71.0,13.0
leg0_view_diff_mean,5015.0,14.0,4.60401725769043,80.0,734.29736328125,80.0,14.0
legs0_segments0_operatingCarrier_code_in_ff,250.0,93.0,4.480426788330078,85.0,3177.013671875,14.0,14.0
legs0_segments0_seatsAvailable,4703.0,15.0,3.4783220291137695,140.0,410.9185485839844,127.0,15.0
