feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_duration_rank,11112.0,0.0,4.616084098815918,116.0,781.3795776367188,114.0,0.0
total_is_min_transfers,26.0,146.0,1256.656494140625,0.0,84581.5390625,0.0,0.0
total_num_transfers_rank,140.0,113.0,657.8199462890625,1.0,71635.875,1.0,1.0
price_from_median_zscore,10375.0,1.0,5.2978668212890625,85.0,1017.158935546875,94.0,1.0
legs1_mean_cabin,14.0,155.0,63.117286682128906,4.0,36446.1328125,2.0,2.0
price_per_duration,10002.0,2.0,5.478006839752197,77.0,1084.1204833984375,90.0,2.0
legs0_num_transfers_rank,37.0,139.0,214.9659881591797,2.0,23979.3046875,4.0,2.0
price_percentile,9802.0,3.0,6.823530673980713,40.0,2426.278564453125,37.0,3.0
legs0_is_min_transfers,6.0,169.0,89.11412811279297,3.0,25521.234375,3.0,3.0
price_minus_fee_rank,9444.0,4.0,4.8348612785339355,101.0,847.77734375,110.0,4.0
legs0_max_duration_cabin,10.0,158.0,37.57483673095703,5.0,11526.578125,8.0,5.0
legs0_mean_cabin,33.0,143.0,15.72519588470459,12.0,19536.033203125,5.0,5.0
companyID,9355.0,5.0,5.443621635437012,78.0,1034.357421875,93.0,5.0
price_per_fee_rank,9354.0,6.0,4.424229145050049,123.0,781.3209838867188,115.0,6.0
total_num_transfers,7.0,166.0,30.309383392333984,6.0,169.2934112548828,150.0,6.0
has_access_tp,150.0,111.0,18.43202781677246,10.0,14188.0380859375,6.0,6.0
legs0_segments0_flightNumber,9207.0,7.0,5.0496625900268555,92.0,1240.5244140625,79.0,7.0
both_legs_carrier_all_same,147.0,112.0,21.073759078979492,9.0,11808.4443359375,7.0,7.0
total_weighted_mean_cabin,123.0,118.0,22.498010635375977,7.0,9455.0859375,9.0,7.0
days_before_departure,8773.0,8.0,4.714171886444092,110.0,739.06396484375,119.0,8.0
has_fees,8.0,161.0,21.174396514892578,8.0,9284.1806640625,10.0,8.0
totalPrice_rank,8675.0,9.0,5.678834438323975,68.0,1183.804443359375,82.0,9.0
legs0_arrivalAt_hour,7713.0,10.0,5.163190841674805,87.0,1084.9598388671875,89.0,10.0
legs0_departureAt_hour,7522.0,11.0,5.481579780578613,76.0,1575.88818359375,61.0,11.0
pricingInfo_isAccessTP,930.0,68.0,10.804304122924805,16.0,8893.0849609375,11.0,11.0
legs1_max_duration_cabin,21.0,150.0,16.966304779052734,11.0,8075.58203125,12.0,11.0
price_per_tax,7042.0,12.0,4.632452964782715,115.0,616.0614624023438,128.0,12.0
legs1_segments0_cabinClass,41.0,135.0,13.259346008300781,14.0,7841.9970703125,13.0,13.0
price_per_fee,6621.0,13.0,7.765639781951904,30.0,1745.5360107421875,56.0,13.0
total_duration,1859.0,40.0,15.063690185546875,13.0,4904.09619140625,16.0,13.0
all_view_diff_mean,5971.0,14.0,5.530714988708496,74.0,2230.794677734375,40.0,14.0
has_baggage,36.0,141.0,6.824386119842529,39.0,7178.75439453125,14.0,14.0
legs1_segments0_baggageAllowance_quantity,189.0,108.0,11.580385208129883,15.0,3880.810791015625,19.0,15.0
legs0_weighted_mean_cabin,9.0,160.0,7.441525936126709,32.0,5554.31005859375,15.0,15.0
leg0_view_diff_mean,5798.0,15.0,5.336791038513184,82.0,1511.73779296875,64.0,15.0
legs0_segments0_seatsAvailable,5482.0,16.0,4.091631889343262,137.0,652.0699462890625,124.0,16.0
legs0_segments0_baggageAllowance_quantity,461.0,89.0,8.737081527709961,22.0,4675.1748046875,17.0,17.0
baggage_total_rank,1213.0,51.0,10.788591384887695,17.0,3780.718017578125,21.0,17.0
log_price,5243.0,17.0,5.358868598937988,81.0,1089.659423828125,88.0,17.0
duration_ratio,4846.0,18.0,4.824025630950928,103.0,1107.162353515625,87.0,18.0
leg0_flight_view_count,1002.0,63.0,10.788166999816895,18.0,2627.0244140625,34.0,18.0
legs1_departureAt_day_period,248.0,102.0,4.807392120361328,104.0,4312.84326171875,18.0,18.0
baggage_total,448.0,91.0,9.889853477478027,19.0,3639.448974609375,23.0,19.0
price_minus_fee,4573.0,19.0,5.778080940246582,64.0,1279.0772705078125,76.0,19.0
legs1_duration,756.0,73.0,9.72219467163086,20.0,1739.17333984375,57.0,20.0
legs1_departureAt_hour,3795.0,20.0,6.574387550354004,45.0,3343.2958984375,25.0,20.0
legs1_segments0_operatingCarrier_code_in_ff,53.0,133.0,5.720818519592285,67.0,3794.734130859375,20.0,20.0
leg0_view_norm,601.0,84.0,9.539000511169434,21.0,1991.572998046875,45.0,21.0
legs1_arrivalAt_hour,3749.0,21.0,5.333735466003418,84.0,1477.2652587890625,67.0,21.0
corporateTariffCode,3655.0,22.0,5.963027477264404,60.0,2403.14697265625,38.0,22.0
legs1_segments0_operatingCarrier_code,282.0,98.0,7.43232536315918,33.0,3767.37939453125,22.0,22.0
legs1_segments0_flightNumber,3627.0,23.0,4.959883213043213,96.0,1534.115234375,63.0,23.0
isVip,687.0,77.0,8.587606430053711,23.0,1815.8060302734375,53.0,23.0
all_flight_view_count_rank,3213.0,24.0,4.638028621673584,114.0,495.34332275390625,137.0,24.0
legs1_main_carrier,337.0,95.0,8.554667472839355,24.0,3505.803466796875,24.0,24.0
unmatched_duration_rank,3017.0,25.0,6.512178421020508,50.0,1715.70947265625,58.0,25.0
legs0_segments1_marketingCarrier_code_in_ff,7.0,164.0,8.417960166931152,25.0,3301.40673828125,26.0,25.0
legs1_segments0_key_view_count,1040.0,60.0,8.101401329040527,26.0,2003.82763671875,43.0,26.0
total_duration_rank,2984.0,26.0,7.005669116973877,38.0,1941.06201171875,49.0,26.0
legs0_segments0_cabinClass,39.0,138.0,6.809051513671875,41.0,3178.018798828125,27.0,27.0
leg1_view_norm,518.0,86.0,7.839541912078857,27.0,1962.04541015625,47.0,27.0
legs0_segments0_aircraft_code,2946.0,27.0,4.600376605987549,117.0,869.7442016601562,109.0,27.0
legs1_segments0_marketingCarrier_code,67.0,128.0,7.806293487548828,28.0,2038.501220703125,41.0,28.0
legs0_segments0_duration_rank,2821.0,28.0,4.2509589195251465,131.0,609.4345703125,130.0,28.0
legs1_segments2_cabinClass,35.0,142.0,5.335728168487549,83.0,3046.509765625,28.0,28.0
legs0_main_carrier,454.0,90.0,7.775448799133301,29.0,1932.6781005859375,50.0,29.0
legs1_segments0_seatsAvailable,2613.0,29.0,3.9422736167907715,140.0,487.8150634765625,139.0,29.0
legs1_segments1_key_view_count,54.0,132.0,7.25065279006958,34.0,3027.05908203125,29.0,29.0
tax_rate,2601.0,30.0,5.796863555908203,63.0,1219.6763916015625,80.0,30.0
legs0_segments0_operatingCarrier_code,396.0,92.0,5.583700656890869,73.0,2908.61767578125,30.0,30.0
taxes,2539.0,31.0,5.676952838897705,69.0,1007.6473999023438,96.0,31.0
miniRules1_monetaryAmount,625.0,81.0,5.743083953857422,66.0,2832.219482421875,31.0,31.0
legs1_segments1_marketingCarrier_code_in_ff,3.0,172.0,7.731531620025635,31.0,1874.9473876953125,52.0,31.0
legs1_segments2_arrivalTo_airport_iata,1.0,178.0,2.2601318359375,161.0,2679.87646484375,32.0,32.0
days_between_departure_arrival,2519.0,32.0,6.51607084274292,49.0,1955.98828125,48.0,32.0
