feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,14870.0,0.0,9.609766960144043,40.0,3437.025390625,77.0,0.0
total_is_min_transfers,35.0,168.0,4917.609375,0.0,202252.5625,0.0,0.0
total_num_transfers_rank,223.0,127.0,2021.463623046875,1.0,157544.84375,1.0,1.0
price_percentile,14144.0,1.0,15.637763023376465,20.0,4138.10546875,59.0,1.0
price_per_duration,14043.0,2.0,9.965563774108887,39.0,3770.14404296875,63.0,2.0
legs0_num_transfers_rank,209.0,129.0,261.3856506347656,2.0,49549.7578125,3.0,2.0
legs1_mean_cabin,21.0,178.0,6.067589282989502,119.0,68836.5703125,2.0,2.0
has_fees,22.0,177.0,153.98199462890625,3.0,37893.078125,7.0,3.0
companyID,11943.0,3.0,7.043671131134033,82.0,2216.822021484375,111.0,3.0
price_per_duration_rank,11855.0,4.0,5.957154750823975,123.0,2493.0,102.0,4.0
has_access_tp,209.0,128.0,55.604270935058594,6.0,44106.3359375,4.0,4.0
legs1_is_min_transfers,17.0,181.0,61.65003204345703,4.0,5700.91064453125,40.0,4.0
legs0_is_min_transfers,36.0,167.0,57.08900833129883,5.0,39110.71484375,5.0,5.0
days_before_departure,11749.0,5.0,5.418793678283691,138.0,1257.5572509765625,149.0,5.0
pricingInfo_isAccessTP,1144.0,81.0,39.102210998535156,8.0,38584.703125,6.0,6.0
legs0_segments0_flightNumber,11019.0,6.0,6.600462913513184,101.0,2432.01318359375,103.0,6.0
legs0_mean_cabin,44.0,161.0,42.53411865234375,7.0,19068.69140625,12.0,7.0
price_per_tax,10575.0,7.0,5.554798603057861,134.0,1505.162841796875,136.0,7.0
legs0_max_duration_cabin,113.0,140.0,16.39443016052246,18.0,24985.576171875,8.0,8.0
legs0_arrivalAt_hour,10518.0,8.0,7.22838830947876,78.0,2496.327880859375,101.0,8.0
legs1_max_duration_cabin,30.0,172.0,6.986002445220947,84.0,24518.71875,9.0,9.0
total_weighted_mean_cabin,347.0,118.0,34.4713249206543,9.0,19255.8046875,11.0,9.0
legs0_departureAt_hour,10463.0,9.0,7.07241153717041,81.0,3403.463134765625,79.0,9.0
price_per_fee_rank,9682.0,10.0,5.567309379577637,133.0,2087.429931640625,117.0,10.0
both_legs_carrier_all_same,178.0,132.0,26.061569213867188,11.0,21052.345703125,10.0,10.0
legs0_segments0_baggageAllowance_quantity,1425.0,70.0,33.048492431640625,10.0,15442.8759765625,15.0,10.0
price_minus_fee_rank,9614.0,11.0,5.50887393951416,136.0,1564.464599609375,133.0,11.0
legs0_weighted_mean_cabin,183.0,131.0,24.406410217285156,12.0,11817.158203125,18.0,12.0
totalPrice_rank,8717.0,12.0,7.8844428062438965,67.0,2844.697021484375,92.0,12.0
miniRules0_statusInfos,228.0,126.0,23.990930557250977,13.0,3092.374755859375,84.0,13.0
price_per_fee,8569.0,13.0,15.201345443725586,23.0,4825.1376953125,51.0,13.0
legs0_segments0_cabinClass,170.0,133.0,15.378982543945312,22.0,17990.830078125,13.0,13.0
has_baggage,59.0,153.0,21.054969787597656,14.0,6793.29248046875,31.0,14.0
log_price,8417.0,14.0,6.201394557952881,115.0,7457.05126953125,27.0,14.0
miniRules1_percentage,13.0,184.0,4.493154525756836,162.0,17339.05078125,14.0,14.0
leg0_view_diff_mean,6210.0,15.0,6.709702014923096,98.0,2044.991455078125,120.0,15.0
miniRules1_monetaryAmount,1527.0,66.0,18.22415542602539,15.0,11945.3740234375,17.0,15.0
legs1_segments0_cabinClass,40.0,162.0,6.096583366394043,116.0,14482.5078125,16.0,16.0
price_minus_fee,6012.0,16.0,6.7563018798828125,95.0,3032.51171875,85.0,16.0
total_num_transfers,50.0,158.0,17.910621643066406,16.0,2260.522216796875,109.0,16.0
miniRules1_statusInfos,644.0,98.0,17.563095092773438,17.0,3650.2724609375,71.0,17.0
all_view_diff_mean,5871.0,17.0,6.791616916656494,93.0,2408.900634765625,106.0,17.0
taxes,5826.0,18.0,7.5379204750061035,72.0,2296.126708984375,108.0,18.0
total_fees,1459.0,68.0,15.94333553314209,19.0,6259.4140625,38.0,19.0
legs0_segments0_seatsAvailable,5815.0,19.0,5.058610916137695,151.0,6271.78759765625,36.0,19.0
isAccess3D,707.0,94.0,7.757028102874756,69.0,10334.40625,19.0,19.0
legs1_weighted_mean_cabin,36.0,166.0,4.724287986755371,156.0,10091.318359375,20.0,20.0
total_duration,5071.0,20.0,7.085076332092285,80.0,2304.485107421875,107.0,20.0
miniRules0_percentage,30.0,170.0,5.079043388366699,150.0,9756.1650390625,21.0,21.0
duration_ratio,5040.0,21.0,6.863718509674072,89.0,3510.46142578125,76.0,21.0
isVip,790.0,92.0,15.582282066345215,21.0,4460.85986328125,54.0,21.0
searchRoute,5000.0,22.0,6.773431301116943,94.0,1528.832275390625,134.0,22.0
legs0_duration,4375.0,31.0,13.230619430541992,26.0,9717.4189453125,22.0,22.0
legs1_num_transfers_rank,85.0,147.0,8.271349906921387,61.0,9399.1650390625,23.0,23.0
unmatched_duration,4989.0,23.0,7.860910415649414,68.0,3411.6904296875,78.0,23.0
corporateTariffCode,4777.0,25.0,10.656401634216309,35.0,9374.8212890625,24.0,24.0
baggage_total,977.0,88.0,15.056827545166016,24.0,6720.81982421875,33.0,24.0
legs0_segments0_aircraft_code,4885.0,24.0,6.083252429962158,118.0,2080.949951171875,118.0,24.0
leg0_flight_view_count,4464.0,30.0,14.704782485961914,25.0,3937.487548828125,60.0,25.0
legs1_duration,1428.0,69.0,7.318447113037109,77.0,9323.3779296875,25.0,25.0
legs0_segments0_key_view_count,4751.0,26.0,8.751642227172852,54.0,2427.808349609375,104.0,26.0
totalPrice,1772.0,58.0,6.52547550201416,104.0,8815.390625,26.0,26.0
legs0_segments0_marketingCarrier_code,384.0,115.0,13.138604164123535,27.0,7084.72900390625,29.0,27.0
all_flight_view_count,4714.0,27.0,10.555368423461914,36.0,3579.359375,74.0,27.0
legs0_segments0_baggageAllowance_weightMeasurementType,77.0,148.0,12.986527442932129,28.0,6198.84716796875,39.0,28.0
legs0_segments0_duration,4709.0,28.0,8.636091232299805,55.0,2096.38134765625,116.0,28.0
