feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs1_segments0_flightNumber,3414.0,0.0,4.19415807723999,90.0,510.413330078125,51.0,0.0
total_is_min_transfers,12.0,124.0,83.71128845214844,0.0,10789.2138671875,1.0,0.0
total_num_transfers_rank,44.0,104.0,51.072200775146484,2.0,11883.1962890625,0.0,0.0
legs0_segments0_flightNumber,3396.0,1.0,4.263877868652344,86.0,418.71978759765625,63.0,1.0
legs0_segments0_baggageAllowance_quantity,80.0,93.0,69.47261047363281,1.0,5071.08740234375,4.0,1.0
price_minus_fee_rank,3365.0,2.0,3.9643917083740234,109.0,363.4527893066406,78.0,2.0
legs0_weighted_mean_cabin,30.0,110.0,16.435277938842773,9.0,7982.541015625,2.0,2.0
price_per_duration_rank,3146.0,3.0,4.190126895904541,91.0,349.1770935058594,83.0,3.0
legs0_max_duration_cabin,9.0,129.0,41.2392578125,3.0,4075.463623046875,6.0,3.0
legs0_mean_cabin,6.0,134.0,9.497061729431152,17.0,5274.32080078125,3.0,3.0
price_from_median_zscore,2940.0,4.0,4.51674222946167,67.0,462.35302734375,57.0,4.0
legs0_segments1_arrivalTo_airport_city_iata,2.0,145.0,33.395111083984375,4.0,440.0628967285156,60.0,4.0
both_legs_carrier_all_same,22.0,115.0,25.657426834106445,5.0,1486.74267578125,14.0,5.0
legs1_main_carrier,77.0,96.0,12.537261962890625,14.0,4491.18017578125,5.0,5.0
companyID,2918.0,5.0,4.55837345123291,65.0,328.5440673828125,89.0,5.0
price_percentile,2911.0,6.0,6.540602207183838,33.0,1002.779296875,27.0,6.0
legs1_max_duration_cabin,6.0,133.0,17.746232986450195,6.0,2326.82470703125,8.0,6.0
legs1_segments0_marketingCarrier_code,17.0,118.0,6.6973114013671875,27.0,2648.06787109375,7.0,7.0
miniRules0_monetaryAmount,85.0,90.0,16.82465171813965,7.0,1834.772216796875,11.0,7.0
price_per_fee_rank,2761.0,7.0,4.221512794494629,87.0,371.962890625,75.0,7.0
price_per_duration,2723.0,8.0,4.7119364738464355,59.0,513.18994140625,50.0,8.0
total_fees,91.0,85.0,16.48062515258789,8.0,1837.713134765625,10.0,8.0
totalPrice_rank,2612.0,9.0,4.38072395324707,81.0,432.9130554199219,61.0,9.0
total_num_transfers,2.0,144.0,15.615913391113281,11.0,2122.82421875,9.0,9.0
baggage_total_rank,608.0,37.0,15.980584144592285,10.0,1699.1097412109375,12.0,10.0
days_before_departure,2380.0,10.0,4.06259298324585,99.0,289.19415283203125,100.0,10.0
legs0_departureAt_hour,2233.0,11.0,4.996212482452393,51.0,832.3570556640625,33.0,11.0
baggage_total,84.0,91.0,13.574681282043457,12.0,1295.859130859375,21.0,12.0
legs1_departureAt_hour,2158.0,12.0,4.762749195098877,58.0,700.9879760742188,37.0,12.0
pricingInfo_isAccessTP,318.0,53.0,5.9731059074401855,36.0,1635.71142578125,13.0,13.0
legs0_main_carrier,33.0,109.0,13.100171089172363,13.0,1283.7716064453125,23.0,13.0
legs1_arrivalAt_hour,2097.0,13.0,6.681391716003418,28.0,669.158203125,38.0,13.0
legs0_arrivalAt_hour,2090.0,14.0,4.475959777832031,69.0,477.7825622558594,55.0,14.0
price_per_fee,2064.0,15.0,5.490230083465576,42.0,490.7432556152344,53.0,15.0
legs1_mean_cabin,1.0,149.0,10.303080558776855,15.0,1469.24072265625,15.0,15.0
legs1_segments0_cabinClass,20.0,116.0,9.618148803710938,16.0,1038.8250732421875,26.0,16.0
leg1_view_diff_mean,1924.0,16.0,4.896063804626465,55.0,487.3780822753906,54.0,16.0
has_access_tp,59.0,101.0,6.677539825439453,29.0,1463.8458251953125,16.0,16.0
miniRules1_monetaryAmount,100.0,82.0,9.453795433044434,18.0,1447.87890625,17.0,17.0
price_per_tax,1915.0,17.0,4.460005760192871,71.0,366.35943603515625,76.0,17.0
leg1_view_norm,79.0,94.0,7.184420585632324,23.0,1438.717529296875,18.0,18.0
legs0_segments0_seatsAvailable,1913.0,18.0,3.4371612071990967,125.0,210.33029174804688,118.0,18.0
