feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
price_from_median_zscore,0.0,2.0,0.0,0.0,0.5,2.0,0.0
price_percentile,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total_is_min_transfers,0.0,0.0,2.0,3.0,1.25,3.0,0.0
legs0_is_min_transfers,3.0,0.0,0.0,5.0,2.0,5.0,0.0
legs0_num_transfers_rank,2.0,2.0,4.0,1.0,2.25,4.0,1.0
total_num_transfers_rank,1.0,1.0,3.0,4.0,2.25,4.0,1.0
price_per_duration_rank,7.0,0.0,2.0,2.0,2.75,7.0,0.0
legs1_num_transfers_rank,7.0,4.0,1.0,0.0,3.0,7.0,0.0
price_per_duration,2.0,3.0,4.0,9.0,4.5,9.0,2.0
legs1_is_min_transfers,6.0,5.0,0.0,8.0,4.75,8.0,0.0
totalPrice_rank,11.0,4.0,3.0,7.0,6.25,11.0,3.0
legs0_segments0_flightNumber,6.0,5.0,9.0,6.0,6.5,9.0,5.0
legs0_arrivalAt_hour,4.0,7.0,6.0,10.0,6.75,10.0,4.0
price_per_fee_rank,13.0,6.0,5.0,5.0,7.25,13.0,5.0
price_per_tax,3.0,10.0,10.0,8.0,7.75,10.0,3.0
price_minus_fee_rank,12.0,8.0,8.0,4.0,8.0,12.0,4.0
legs0_mean_cabin,13.0,9.0,9.0,2.0,8.25,13.0,2.0
legs0_departureAt_hour,5.0,9.0,7.0,12.0,8.25,12.0,5.0
price_per_fee,8.0,12.0,12.0,11.0,10.75,12.0,8.0
legs0_weighted_mean_cabin,22.0,12.0,6.0,9.0,12.25,22.0,6.0
free_exchange,4.0,13.0,25.0,7.0,12.25,25.0,4.0
days_before_departure,9.0,13.0,11.0,18.0,12.75,18.0,9.0
group_size,14.0,11.0,13.0,15.0,13.25,15.0,11.0
legs0_segments0_baggageAllowance_quantity,18.0,26.0,14.0,0.0,14.5,26.0,0.0
legs0_max_duration_cabin,14.0,22.0,10.0,15.0,15.25,22.0,10.0
leg0_view_diff_mean,20.0,15.0,14.0,13.0,15.5,20.0,13.0
baggage_total_rank,35.0,11.0,13.0,3.0,15.5,35.0,3.0
companyID_loo_mean_legs0_departureAt_hour,16.0,17.0,17.0,14.0,16.0,17.0,14.0
