feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,3684.0,0.0,22.71491241455078,22.0,2856.972412109375,36.0,0.0
legs0_is_min_transfers,12.0,173.0,353.4305725097656,5.0,47578.796875,0.0,0.0
legs1_is_min_transfers,21.0,167.0,545.8992919921875,0.0,45858.078125,2.0,0.0
price_percentile,3418.0,1.0,13.243526458740234,48.0,1612.0045166015625,63.0,1.0
legs1_num_transfers_rank,33.0,154.0,514.2295532226562,1.0,47152.75390625,1.0,1.0
total_is_min_transfers,78.0,132.0,470.3659362792969,2.0,45326.421875,3.0,2.0
price_per_duration_rank,3283.0,2.0,9.497995376586914,112.0,1060.2513427734375,92.0,2.0
totalPrice_rank,3187.0,3.0,12.099873542785645,57.0,1379.3994140625,72.0,3.0
total_num_transfers_rank,148.0,115.0,383.1372375488281,3.0,42210.5703125,4.0,3.0
legs0_num_transfers_rank,30.0,156.0,379.2013244628906,4.0,41434.91015625,5.0,4.0
price_per_duration,2990.0,4.0,10.714192390441895,75.0,1293.815673828125,78.0,4.0
price_per_fee_rank,2911.0,5.0,8.610974311828613,153.0,738.2913818359375,128.0,5.0
legs1_segments1_departureFrom_airport_iata,1.0,202.0,186.32763671875,6.0,10119.9384765625,11.0,6.0
legs0_weighted_mean_cabin,62.0,140.0,110.52727508544922,9.0,23916.802734375,6.0,6.0
legs0_arrivalAt_hour,2794.0,6.0,11.276775360107422,67.0,1787.63720703125,55.0,6.0
is_popular_route,2.0,197.0,171.4827880859375,7.0,2317.310546875,44.0,7.0
legs0_departureAt_hour,2762.0,7.0,11.227907180786133,69.0,2126.004638671875,48.0,7.0
legs0_segments0_cabinClass,70.0,137.0,138.43930053710938,8.0,22306.20703125,7.0,7.0
total_num_transfers,2.0,198.0,60.38142013549805,10.0,21296.66796875,8.0,8.0
price_minus_fee_rank,2749.0,8.0,9.50765323638916,110.0,744.2408447265625,126.0,8.0
legs0_mean_cabin,31.0,155.0,57.1900520324707,11.0,18882.330078125,9.0,9.0
legs0_segments0_flightNumber,2597.0,9.0,9.791754722595215,102.0,951.7857055664062,105.0,9.0
legs0_max_duration_cabin,28.0,159.0,55.02914810180664,12.0,18316.240234375,10.0,10.0
price_per_tax,2490.0,10.0,9.531037330627441,108.0,702.629638671875,136.0,10.0
days_before_departure,2475.0,11.0,8.861443519592285,149.0,634.2357177734375,150.0,11.0
has_access_tp,226.0,103.0,26.376916885375977,15.0,9009.201171875,12.0,12.0
price_per_fee,2408.0,12.0,11.600349426269531,62.0,1311.19287109375,76.0,12.0
group_size,2315.0,13.0,9.021170616149902,143.0,668.4078369140625,140.0,13.0
pricingInfo_isAccessTP,373.0,83.0,23.351652145385742,20.0,8155.85595703125,13.0,13.0
baggage_total_rank,609.0,59.0,50.814491271972656,13.0,7085.98193359375,15.0,13.0
leg0_view_diff_mean,2294.0,14.0,9.462858200073242,114.0,722.01904296875,133.0,14.0
legs0_segments0_baggageAllowance_quantity,194.0,107.0,43.92462158203125,14.0,6790.49853515625,16.0,14.0
legs1_departureAt_day_period,244.0,97.0,19.342134475708008,27.0,7264.91748046875,14.0,14.0
all_view_diff_mean,2085.0,15.0,9.157483100891113,131.0,778.1846923828125,120.0,15.0
duration_ratio,2038.0,16.0,9.367683410644531,117.0,1122.21630859375,88.0,16.0
total_duration,1066.0,44.0,25.315279006958008,16.0,3329.528076171875,29.0,16.0
companyID_loo_mean_legs0_departureAt_hour,1886.0,17.0,10.133606910705566,88.0,945.2971801757812,106.0,17.0
legs0_segments0_key_view_count,453.0,74.0,24.642433166503906,17.0,5136.3642578125,21.0,17.0
legs0_segments0_operatingCarrier_code_in_ff,107.0,124.0,12.421417236328125,53.0,5962.07666015625,17.0,17.0
total_fees,403.0,79.0,24.631874084472656,18.0,3188.314208984375,31.0,18.0
companyID_loo_mean_taxes,1848.0,18.0,9.193464279174805,127.0,650.299560546875,145.0,18.0
