feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_duration_rank,8347.0,0.0,8.017265319824219,161.0,1507.31103515625,114.0,0.0
legs0_is_min_transfers,25.0,178.0,1131.6339111328125,0.0,74544.2734375,4.0,0.0
total_is_min_transfers,106.0,142.0,940.5087890625,1.0,81478.671875,0.0,0.0
price_percentile,8309.0,1.0,11.580979347229004,57.0,2891.3583984375,70.0,1.0
total_num_transfers_rank,207.0,126.0,711.1692504882812,3.0,81064.109375,1.0,1.0
legs0_num_transfers,1.0,204.0,128.9976806640625,8.0,77684.5,2.0,2.0
legs0_num_transfers_rank,77.0,153.0,816.6890869140625,2.0,67528.640625,5.0,2.0
price_from_median_zscore,7532.0,2.0,13.38059139251709,44.0,2812.69580078125,74.0,2.0
price_per_duration,6953.0,3.0,10.052153587341309,85.0,2548.870361328125,80.0,3.0
both_legs_direct,1.0,203.0,136.48146057128906,7.0,75157.9296875,3.0,3.0
legs1_num_transfers_rank,34.0,169.0,461.0782165527344,4.0,52073.1796875,7.0,4.0
totalPrice_rank,6936.0,4.0,10.556987762451172,70.0,1892.2374267578125,96.0,4.0
legs1_is_min_transfers,28.0,174.0,423.97882080078125,5.0,48016.82421875,8.0,5.0
legs0_segments0_flightNumber,6803.0,5.0,8.26494026184082,141.0,1532.5838623046875,113.0,5.0
price_per_fee_rank,6606.0,6.0,7.557829856872559,174.0,1082.83935546875,148.0,6.0
legs1_num_transfers,2.0,200.0,275.5032653808594,6.0,53363.859375,6.0,6.0
legs0_arrivalAt_hour,6425.0,7.0,8.890416145324707,116.0,2001.4283447265625,94.0,7.0
price_minus_fee_rank,6367.0,8.0,9.289020538330078,101.0,1451.360107421875,119.0,8.0
total_num_transfers,12.0,188.0,51.21672058105469,9.0,15364.0234375,17.0,9.0
legs0_mean_cabin,46.0,163.0,25.59783363342285,20.0,21425.732421875,9.0,9.0
legs0_departureAt_hour,6112.0,9.0,9.16204833984375,106.0,2733.318603515625,76.0,9.0
pricingInfo_isAccessTP,626.0,97.0,28.276161193847656,19.0,21292.12109375,10.0,10.0
legs0_segments1_cabinClass,4.0,195.0,44.889217376708984,10.0,20407.197265625,11.0,10.0
price_per_tax,6060.0,10.0,8.29738712310791,138.0,865.3965454101562,167.0,10.0
group_size,5934.0,11.0,7.448649883270264,182.0,692.848388671875,176.0,11.0
baggage_total_rank,1049.0,72.0,44.190528869628906,11.0,12189.662109375,20.0,11.0
price_per_fee,5780.0,12.0,10.578409194946289,68.0,2782.335205078125,75.0,12.0
legs0_segments0_cabinClass,61.0,159.0,43.77035903930664,12.0,8638.3037109375,23.0,12.0
legs0_weighted_mean_cabin,81.0,151.0,23.331668853759766,25.0,19446.27734375,12.0,12.0
both_legs_carrier_all_same,230.0,123.0,38.962093353271484,13.0,15165.1767578125,18.0,13.0
days_before_departure,5575.0,13.0,8.022601127624512,159.0,1155.22607421875,143.0,13.0
free_exchange,100.0,144.0,30.12126922607422,16.0,16430.1171875,13.0,13.0
legs1_mean_cabin,29.0,173.0,34.11601638793945,14.0,16085.669921875,14.0,14.0
all_view_diff_mean,4944.0,14.0,8.202947616577148,147.0,1555.3896484375,110.0,14.0
legs1_weighted_mean_cabin,46.0,162.0,23.878908157348633,24.0,16033.1328125,15.0,15.0
total_weighted_mean_cabin,181.0,131.0,30.126802444458008,15.0,12686.19921875,19.0,15.0
leg0_view_diff_mean,4880.0,15.0,8.14942455291748,149.0,1480.384033203125,116.0,15.0
has_access_tp,411.0,110.0,28.997039794921875,17.0,16003.0107421875,16.0,16.0
log_price,4502.0,16.0,8.020841598510742,160.0,1257.964599609375,130.0,16.0
companyID_loo_mean_legs0_departureAt_hour,4328.0,17.0,9.141444206237793,107.0,1399.510009765625,123.0,17.0
legs1_segments2_marketingCarrier_code,1.0,205.0,28.34588623046875,18.0,438.9602355957031,194.0,18.0
duration_ratio,4274.0,18.0,7.693418025970459,169.0,1831.2779541015625,98.0,18.0
companyID_loo_mean_legs0_arrivalAt_hour,4264.0,19.0,8.515892028808594,124.0,1253.63427734375,131.0,19.0
price_minus_fee,4192.0,20.0,9.579492568969727,94.0,1468.2325439453125,117.0,20.0
companyID_loo_mean_taxes,4124.0,21.0,8.414969444274902,128.0,928.8784790039062,162.0,21.0
legs0_segments1_key_view_count_rank,58.0,160.0,25.448841094970703,21.0,4107.7099609375,48.0,21.0
total_duration_fastest,425.0,109.0,24.209184646606445,23.0,11869.2490234375,21.0,21.0
total_duration,2332.0,43.0,24.290897369384766,22.0,5594.6455078125,38.0,22.0
legs0_max_duration_cabin,36.0,168.0,16.83696174621582,30.0,8927.6796875,22.0,22.0
companyID_loo_mean_totalPrice,4031.0,22.0,9.238114356994629,102.0,1506.955078125,115.0,22.0
companyID_loo_mean_legs1_departureAt_hour,3965.0,23.0,8.355924606323242,132.0,1125.953369140625,146.0,23.0
companyID_loo_mean_total_num_transfers,3936.0,24.0,8.285040855407715,140.0,768.4348754882812,171.0,24.0
legs1_departureAt_day_period,486.0,105.0,14.263520240783691,40.0,8239.0087890625,24.0,24.0
legs1_arrivalAt_day_period,455.0,107.0,12.992963790893555,48.0,8076.669921875,25.0,25.0
tax_rate,3867.0,25.0,8.079792976379395,155.0,1056.1597900390625,154.0,25.0
legs0_segments0_baggageAllowance_quantity,577.0,99.0,18.93829917907715,28.0,7825.6552734375,26.0,26.0
companyID_loo_mean_cabin_class,3857.0,26.0,9.112841606140137,110.0,1237.888427734375,136.0,26.0
total_fees,869.0,83.0,22.418275833129883,26.0,4300.82470703125,46.0,26.0
companyID_total_occurrences,3753.0,27.0,8.571030616760254,123.0,1176.868896484375,142.0,27.0
has_fees,65.0,157.0,20.957477569580078,27.0,7612.11865234375,27.0,27.0
isAccess3D,353.0,113.0,10.13152027130127,80.0,7578.5380859375,28.0,28.0
companyID_loo_mean_legs1_arrivalAt_hour,3697.0,28.0,8.897400856018066,115.0,1387.7396240234375,124.0,28.0
legs1_segments2_duration_rank,1.0,202.0,4.080078125,205.0,6982.95654296875,29.0,29.0
companyID_loo_selected_count,3682.0,29.0,8.775410652160645,119.0,967.1458740234375,160.0,29.0
legs1_segments0_baggageAllowance_weightMeasurementType,6.0,193.0,16.889421463012695,29.0,2491.981689453125,82.0,29.0
legs1_segments2_arrivalTo_airport_iata,3.0,197.0,4.864095211029053,203.0,6635.1640625,30.0,30.0
companyID_loo_mean_legs1_duration,3605.0,30.0,8.39631462097168,131.0,1060.1546630859375,152.0,30.0
legs1_duration,867.0,84.0,16.55078125,31.0,3430.1767578125,58.0,31.0
is_cheapest,124.0,137.0,9.170807838439941,105.0,6630.1474609375,31.0,31.0
group_size_log,3323.0,31.0,7.589325904846191,173.0,639.5501708984375,182.0,31.0
companyID_loo_mean_legs0_duration,3301.0,32.0,8.335691452026367,135.0,792.388916015625,170.0,32.0
legs1_departureAt_business_time,512.0,103.0,11.148309707641602,63.0,6590.66162109375,32.0,32.0
legs1_segments1_flightNumber,134.0,135.0,16.234392166137695,32.0,3855.474365234375,51.0,32.0
legs1_departureAt_hour,3276.0,33.0,12.830592155456543,51.0,5558.78466796875,39.0,33.0
legs0_segments0_operatingCarrier_code_in_ff,245.0,121.0,9.354989051818848,97.0,6304.94384765625,33.0,33.0
legs0_segments1_key_view_count,116.0,139.0,16.149845123291016,33.0,3599.738525390625,57.0,33.0
legs0_segments0_seatsAvailable,3044.0,34.0,8.119799613952637,150.0,1058.4908447265625,153.0,34.0
legs1_segments1_arrivalTo_airport_city_iata,42.0,165.0,15.475358963012695,34.0,4304.04638671875,45.0,34.0
legs1_segments0_operatingCarrier_code,405.0,111.0,10.180638313293457,77.0,6032.88330078125,34.0,34.0
legs0_segments1_arrivalTo_airport_city_iata,75.0,154.0,15.388253211975098,35.0,3973.5703125,50.0,35.0
has_baggage,194.0,128.0,10.04989242553711,86.0,6027.22216796875,35.0,35.0
unmatched_duration_rank,2891.0,35.0,12.079093933105469,54.0,4308.25,44.0,35.0
legs1_arrivalAt_hour,2857.0,36.0,9.662507057189941,91.0,3822.501220703125,52.0,36.0
legs1_segments0_cabinClass,42.0,164.0,15.370442390441895,36.0,5366.91162109375,41.0,36.0
legs1_main_carrier,461.0,106.0,11.040772438049316,64.0,5900.84619140625,36.0,36.0
legs1_segments0_marketingCarrier_code,242.0,122.0,12.94140338897705,50.0,5820.107421875,37.0,37.0
legs1_segments0_flightNumber,2790.0,37.0,8.464591979980469,126.0,1415.1268310546875,121.0,37.0
is_legs0_legs1_cabin_same,21.0,183.0,14.922273635864258,37.0,568.9465942382812,184.0,37.0
legs1_segments0_baggageAllowance_quantity,292.0,118.0,14.775333404541016,38.0,4077.78759765625,49.0,38.0
totalPrice,2782.0,38.0,9.290142059326172,100.0,1240.202880859375,134.0,38.0
leg0_flight_view_count,1720.0,53.0,14.552464485168457,39.0,3773.573486328125,53.0,39.0
all_flight_view_count_rank,2614.0,39.0,7.589606761932373,172.0,632.5215454101562,183.0,39.0
is_popular_route,8.0,191.0,8.204194068908691,146.0,5430.5361328125,40.0,40.0
total_duration_rank,2533.0,40.0,12.189661026000977,53.0,3415.3408203125,59.0,40.0
legs0_segments0_baggageAllowance_weightMeasurementType,11.0,189.0,14.255745887756348,41.0,3622.75390625,56.0,41.0
leg1_view_diff_mean,2516.0,41.0,8.215713500976562,145.0,1050.09375,156.0,41.0
legs1_segments2_cabinClass,27.0,175.0,5.413571834564209,201.0,4476.65283203125,42.0,42.0
is_major_carrier,96.0,146.0,14.012068748474121,42.0,2467.117431640625,84.0,42.0
taxes,2375.0,42.0,9.512605667114258,95.0,1205.408935546875,139.0,42.0
legs0_duration,1505.0,60.0,13.50799560546875,43.0,4373.44873046875,43.0,43.0
legs0_segments0_aircraft_code,2311.0,44.0,7.7944841384887695,168.0,1302.140380859375,127.0,44.0
isVip,629.0,96.0,13.188557624816895,45.0,2649.373291015625,78.0,45.0
days_between_departure_arrival,2132.0,45.0,10.726712226867676,66.0,3000.380126953125,68.0,45.0
leg1_flight_view_count,1096.0,70.0,13.102522850036621,46.0,2515.01416015625,81.0,46.0
legs0_departureAt_weekday,2066.0,46.0,8.18375301361084,148.0,1180.04931640625,141.0,46.0
corporateTariffCode,2058.0,47.0,9.351188659667969,98.0,3247.0654296875,63.0,47.0
baggage_total,651.0,93.0,12.482882499694824,52.0,4283.64501953125,47.0,47.0
leg1_view_norm,532.0,102.0,13.067346572875977,47.0,3144.934326171875,65.0,47.0
unmatched_duration,2034.0,48.0,8.304126739501953,137.0,1037.2327880859375,158.0,48.0
legs0_segments0_duration_rank,1934.0,49.0,7.539205074310303,175.0,939.7346801757812,161.0,49.0
is_vip_freq,305.0,117.0,12.983973503112793,49.0,1137.5245361328125,145.0,49.0
legs0_arrivalAt_weekday,1869.0,50.0,8.449583053588867,127.0,1298.740234375,128.0,50.0
legs0_duration_rank,1729.0,51.0,9.7880220413208,89.0,1830.3304443359375,99.0,51.0
searchRoute,1727.0,52.0,8.10516357421875,151.0,1062.09765625,151.0,52.0
