feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,21932.0,0.0,14.61772632598877,41.0,3903.864990234375,85.0,0.0
total_is_min_transfers,134.0,175.0,3684.5546875,0.0,250956.453125,0.0,0.0
total_num_transfers_rank,352.0,156.0,1863.500732421875,1.0,187441.859375,1.0,1.0
price_percentile,21499.0,1.0,20.64851188659668,24.0,4970.40869140625,65.0,1.0
price_per_duration,20421.0,2.0,11.807056427001953,58.0,5152.4765625,61.0,2.0
legs0_num_transfers_rank,212.0,166.0,1562.1051025390625,2.0,147630.03125,2.0,2.0
legs0_is_min_transfers,122.0,177.0,1336.319580078125,3.0,112068.3046875,3.0,3.0
price_per_tax,16939.0,3.0,8.094809532165527,142.0,1535.882568359375,179.0,3.0
free_exchange,253.0,163.0,421.19537353515625,4.0,86166.125,4.0,4.0
legs0_arrivalAt_hour,16688.0,4.0,8.382932662963867,126.0,2877.3603515625,106.0,4.0
pricingInfo_isAccessTP,1229.0,110.0,51.66715621948242,13.0,64609.671875,5.0,5.0
legs0_departureAt_hour,16668.0,5.0,8.432672500610352,118.0,3726.406005859375,91.0,5.0
both_legs_direct,45.0,194.0,276.2428894042969,5.0,12912.3447265625,22.0,5.0
legs1_is_min_transfers,115.0,179.0,132.90866088867188,6.0,43845.453125,7.0,6.0
has_access_tp,752.0,131.0,60.331817626953125,10.0,58044.21875,6.0,6.0
legs0_segments0_flightNumber,16604.0,6.0,8.102635383605957,141.0,2555.580810546875,118.0,6.0
price_per_duration_rank,16169.0,7.0,8.783987998962402,103.0,3092.122802734375,101.0,7.0
legs1_num_transfers_rank,139.0,174.0,122.92254638671875,7.0,40923.8671875,8.0,7.0
price_per_fee,15294.0,8.0,11.694840431213379,62.0,5565.94921875,53.0,8.0
free_cancel,312.0,158.0,111.95972442626953,8.0,17769.6875,15.0,8.0
days_before_departure,13849.0,9.0,7.509852886199951,178.0,1927.96044921875,154.0,9.0
is_major_carrier,523.0,146.0,68.73152923583984,9.0,10820.4130859375,24.0,9.0
legs1_mean_cabin,55.0,192.0,8.539264678955078,112.0,38583.16796875,9.0,9.0
isAccess3D,946.0,123.0,14.615363121032715,42.0,30041.3515625,10.0,10.0
log_price,13764.0,10.0,7.702280521392822,166.0,2182.171142578125,134.0,10.0
legs1_weighted_mean_cabin,118.0,178.0,7.386566162109375,183.0,28519.880859375,11.0,11.0
has_fees,154.0,171.0,56.95475387573242,11.0,16399.8671875,16.0,11.0
totalPrice_rank,13066.0,11.0,13.07767391204834,50.0,3901.349853515625,86.0,11.0
total_weighted_mean_cabin,670.0,134.0,52.379417419433594,12.0,21421.205078125,12.0,12.0
price_minus_fee_rank,12649.0,12.0,9.267419815063477,90.0,2032.224365234375,144.0,12.0
legs0_mean_cabin,257.0,161.0,34.23347091674805,16.0,20418.154296875,13.0,13.0
price_per_fee_rank,12443.0,13.0,7.799765586853027,160.0,1732.2852783203125,167.0,13.0
group_size,12089.0,14.0,7.709580421447754,164.0,1257.0771484375,194.0,14.0
total_duration_fastest,1479.0,106.0,47.059425354003906,14.0,5525.84228515625,54.0,14.0
legs0_max_duration_cabin,357.0,155.0,20.14795684814453,26.0,20346.779296875,14.0,14.0
legs0_segments1_key_view_count_rank,808.0,127.0,36.45351028442383,15.0,4689.291015625,71.0,15.0
price_minus_fee,11870.0,15.0,8.234736442565918,133.0,2643.22119140625,115.0,15.0
companyID_loo_mean_legs0_departureAt_hour,11308.0,16.0,9.016521453857422,95.0,2055.3857421875,141.0,16.0
legs0_segments0_cabinClass,476.0,148.0,32.98904800415039,17.0,14268.888671875,17.0,17.0
total_duration,11233.0,17.0,12.099617004394531,57.0,3775.10791015625,89.0,17.0
companyID_loo_mean_total_num_transfers,11089.0,18.0,8.406108856201172,122.0,1497.3721923828125,182.0,18.0
legs0_segments0_baggageAllowance_quantity,2504.0,85.0,31.165224075317383,18.0,13295.9033203125,20.0,18.0
legs0_segments0_operatingCarrier_code_in_ff,585.0,142.0,9.389460563659668,86.0,14156.212890625,18.0,18.0
legs1_is_direct,5.0,217.0,25.94858741760254,19.0,2537.5556640625,119.0,19.0
miniRules1_monetaryAmount,2363.0,88.0,18.984329223632812,32.0,13606.6708984375,19.0,19.0
companyID_loo_mean_taxes,11060.0,19.0,9.323623657226562,89.0,1431.864501953125,186.0,19.0
total_fees,2610.0,82.0,25.490158081054688,20.0,7880.888671875,35.0,20.0
leg0_view_diff_mean,10811.0,20.0,8.407177925109863,121.0,1875.669189453125,157.0,20.0
legs0_duration_fastest,1411.0,107.0,24.193185806274414,21.0,2119.178466796875,138.0,21.0
all_view_diff_mean,10491.0,21.0,8.732687950134277,105.0,2086.30322265625,139.0,21.0
both_legs_carrier_all_same,447.0,151.0,18.788270950317383,33.0,13201.4775390625,21.0,21.0
companyID_loo_mean_legs0_arrivalAt_hour,10465.0,22.0,8.54090690612793,110.0,1983.3641357421875,150.0,22.0
legs0_weighted_mean_cabin,420.0,153.0,23.00452423095703,22.0,8842.0029296875,31.0,22.0
tax_rate,10315.0,23.0,8.073629379272461,145.0,1865.780517578125,159.0,23.0
is_cheapest,706.0,133.0,22.449031829833984,23.0,7554.40283203125,38.0,23.0
legs0_duration,9139.0,35.0,13.13193130493164,49.0,10823.908203125,23.0,23.0
companyID_loo_mean_cabin_class,10281.0,24.0,10.644381523132324,69.0,2354.78173828125,124.0,24.0
isVip,1203.0,111.0,20.233856201171875,25.0,7646.77294921875,37.0,25.0
companyID_loo_mean_legs1_departureAt_hour,10266.0,25.0,8.493578910827637,115.0,2160.725341796875,135.0,25.0
has_baggage,581.0,143.0,19.86004638671875,29.0,10494.4287109375,25.0,25.0
corporateTariffCode,5702.0,51.0,10.861401557922363,66.0,9962.5322265625,26.0,26.0
companyID_loo_selected_count,9769.0,26.0,9.147429466247559,92.0,2503.494384765625,120.0,26.0
leg0_flight_view_count,9763.0,27.0,12.599137306213379,52.0,3673.98291015625,93.0,27.0
total_num_transfers,94.0,186.0,20.064414978027344,27.0,2316.95556640625,126.0,27.0
legs1_duration,2618.0,81.0,8.539344787597656,111.0,9770.412109375,27.0,27.0
legs0_segments1_duration_rank,1189.0,112.0,19.921175003051758,28.0,3847.55126953125,88.0,28.0
companyID_loo_mean_totalPrice,9763.0,28.0,10.158206939697266,74.0,3209.08349609375,99.0,28.0
baggage_total,2197.0,90.0,16.07114028930664,39.0,9252.41015625,28.0,28.0
legs1_max_duration_cabin,68.0,189.0,6.903467655181885,202.0,9202.1201171875,29.0,29.0
companyID_total_occurrences,9750.0,29.0,8.421900749206543,119.0,1965.527587890625,151.0,29.0
legs0_segments2_arrivalTo_airport_city_iata,24.0,208.0,5.9486775398254395,213.0,9048.1298828125,30.0,30.0
unmatched_duration,9675.0,30.0,9.732688903808594,79.0,4133.439453125,81.0,30.0
legs0_segments1_aircraft_code,1668.0,102.0,19.511396408081055,30.0,2803.693115234375,110.0,30.0
all_flight_view_count,9593.0,31.0,11.059657096862793,65.0,2899.348388671875,104.0,31.0
legs0_num_transfers,9.0,212.0,19.110219955444336,31.0,2719.743896484375,113.0,31.0
duration_ratio,9556.0,32.0,7.832608222961426,158.0,2861.5693359375,107.0,32.0
legs1_departureAt_hour,7013.0,46.0,10.155037879943848,75.0,8628.1875,32.0,32.0
searchRoute,9313.0,33.0,7.73185396194458,162.0,1456.887939453125,184.0,33.0
legs1_departureAt_day_period,1035.0,120.0,10.411392211914062,72.0,8571.7890625,33.0,33.0
companyID_loo_mean_legs1_arrivalAt_hour,9154.0,34.0,8.92832088470459,97.0,2216.953857421875,131.0,34.0
legs0_segments0_baggageAllowance_weightMeasurementType,156.0,170.0,18.569358825683594,34.0,2191.71630859375,133.0,34.0
legs1_arrivalAt_day_period,1175.0,114.0,10.567048072814941,70.0,8472.162109375,34.0,34.0
baggage_total_rank,2795.0,77.0,17.668197631835938,35.0,4696.384765625,70.0,35.0
is_vip_freq,666.0,135.0,17.19094467163086,36.0,3391.3193359375,97.0,36.0
is_max_duration_cabin_same,40.0,195.0,6.935151100158691,200.0,7784.19140625,36.0,36.0
companyID_loo_mean_legs1_duration,9107.0,36.0,8.401981353759766,123.0,1846.6761474609375,161.0,36.0
taxes,9045.0,37.0,8.882913589477539,99.0,2007.10693359375,148.0,37.0
legs0_is_direct,8.0,214.0,16.927400588989258,37.0,833.0984497070312,206.0,37.0
companyID_loo_mean_legs0_duration,8973.0,38.0,8.732806205749512,104.0,1788.795166015625,164.0,38.0
miniRules0_statusInfos,236.0,164.0,16.748401641845703,38.0,2583.62109375,117.0,38.0
legs1_segments0_cabinClass,92.0,187.0,8.875953674316406,100.0,7345.90966796875,39.0,39.0
totalPrice,8505.0,39.0,8.349566459655762,130.0,2042.262451171875,142.0,39.0
legs0_segments0_duration,8339.0,40.0,9.549680709838867,82.0,1681.5736083984375,169.0,40.0
legs1_segments0_marketingCarrier_code,662.0,136.0,11.342573165893555,63.0,7215.55224609375,40.0,40.0
miniRules1_statusInfos,768.0,130.0,15.73321533203125,40.0,5916.357421875,49.0,40.0
unmatched_duration_rank,7396.0,44.0,13.99809455871582,46.0,7187.3212890625,41.0,41.0
legs0_segments0_key_view_count,8083.0,41.0,9.422995567321777,84.0,1984.8492431640625,149.0,41.0
legs0_segments0_seatsAvailable,7882.0,42.0,7.223090171813965,191.0,1701.845458984375,168.0,42.0
legs1_segments1_operatingCarrier_code,255.0,162.0,8.349672317504883,129.0,7122.4873046875,42.0,42.0
legs0_segments0_aircraft_code,7613.0,43.0,7.58504056930542,173.0,2032.8917236328125,143.0,43.0
miniRules0_monetaryAmount,1986.0,95.0,14.139533996582031,43.0,4224.12451171875,78.0,43.0
carrier1_pop,880.0,125.0,8.451983451843262,117.0,7076.5595703125,43.0,43.0
legs1_segments1_cabinClass,31.0,204.0,11.706899642944336,61.0,6761.8505859375,44.0,44.0
legs0_segments1_baggageAllowance_quantity,625.0,139.0,14.090429306030273,44.0,4002.916015625,84.0,44.0
group_size_log,7162.0,45.0,8.04501724243164,146.0,1278.3720703125,191.0,45.0
leg0_view_norm,4349.0,61.0,14.08362102508545,45.0,4050.36962890625,82.0,45.0
legs1_main_carrier,1185.0,113.0,9.577217102050781,81.0,6535.41162109375,45.0,45.0
legs1_duration_rank,1900.0,97.0,8.389098167419434,124.0,6473.79736328125,46.0,46.0
legs0_segments0_marketingCarrier_code_in_ff,265.0,160.0,9.495516777038574,83.0,6167.556640625,47.0,47.0
legs0_segments0_departureFrom_airport_iata,6459.0,47.0,7.854925632476807,157.0,1647.973876953125,172.0,47.0
all_view_norm,5030.0,57.0,13.73952865600586,47.0,4285.80859375,75.0,47.0
legs1_segments0_flightNumber,6278.0,48.0,8.074962615966797,144.0,2011.764404296875,147.0,48.0
carrier0_pop,2544.0,84.0,13.311802864074707,48.0,6107.6142578125,48.0,48.0
legs1_arrivalAt_hour,6066.0,49.0,9.00574016571045,96.0,5439.552734375,57.0,49.0
total_duration_rank,6039.0,50.0,11.718782424926758,60.0,4238.5966796875,77.0,50.0
days_between_departure_arrival,4743.0,60.0,10.242756843566895,73.0,5718.8544921875,50.0,50.0
legs0_segments1_cabinClass,145.0,173.0,12.82106876373291,51.0,5668.92236328125,51.0,51.0
legs0_matched_duration_sum_rank,2943.0,75.0,8.511000633239746,114.0,5594.45849609375,52.0,52.0
legs0_segments0_arrivalTo_airport_iata,5656.0,52.0,8.384576797485352,125.0,2421.218505859375,122.0,52.0
legs0_segments1_marketingCarrier_code,795.0,129.0,12.51684856414795,53.0,4441.6552734375,72.0,53.0
legs0_segments0_arrivalTo_airport_city_iata,5570.0,53.0,7.947638511657715,149.0,1629.6278076171875,175.0,53.0
legs0_duration_rank,4789.0,59.0,12.373893737792969,54.0,2837.7177734375,108.0,54.0
legs0_segments0_duration_rank,5505.0,54.0,8.013946533203125,147.0,1510.0413818359375,181.0,54.0
legs0_segments0_marketingCarrier_code,1356.0,108.0,12.334511756896973,55.0,4857.70556640625,67.0,55.0
legs0_departureAt_weekday,5436.0,55.0,7.389676570892334,182.0,1493.803955078125,183.0,55.0
legs1_segments1_marketingCarrier_code,108.0,181.0,8.870696067810059,101.0,5470.505859375,55.0,55.0
is_popular_route,97.0,185.0,12.310028076171875,56.0,2914.3427734375,103.0,56.0
legs0_arrivalAt_weekday,5346.0,56.0,7.66708517074585,168.0,1922.49658203125,155.0,56.0
has_frequentFlyer,620.0,140.0,10.469042778015137,71.0,5459.234375,56.0,56.0
all_flight_view_count_rank,4956.0,58.0,8.55965518951416,109.0,1862.9007568359375,160.0,58.0
is_legs0_legs1_cabin_same,21.0,210.0,6.910106658935547,201.0,5350.58642578125,58.0,58.0
legs0_segments1_departureFrom_airport_iata,656.0,137.0,11.79484748840332,59.0,4773.00537109375,68.0,59.0
legs0_segments0_operatingCarrier_code,2760.0,78.0,10.71124267578125,68.0,5228.7822265625,59.0,59.0
total_fees_rank,3096.0,70.0,10.767741203308105,67.0,5219.25048828125,60.0,60.0
legs1_arrivalAt_business_time,1042.0,119.0,8.692863464355469,106.0,5032.1845703125,62.0,62.0
leg0_flight_view_count_rank,3675.0,62.0,8.360357284545898,127.0,1630.178466796875,174.0,62.0
legs0_matched_duration_sum,2967.0,74.0,8.522249221801758,113.0,4998.3837890625,63.0,63.0
leg1_view_diff_mean,3674.0,63.0,7.6385111808776855,170.0,2392.657958984375,123.0,63.0
legs0_main_carrier,2584.0,83.0,11.089489936828613,64.0,3534.87890625,96.0,64.0
legs1_arrivalAt_is_weekend,278.0,159.0,7.939518928527832,151.0,4983.41748046875,64.0,64.0
legs1_segments0_key_view_count,3673.0,64.0,9.855561256408691,78.0,3621.018310546875,94.0,64.0
legs0_segments1_flightNumber,3503.0,65.0,7.945714950561523,150.0,2330.775390625,125.0,65.0
legs0_segments0_key_view_count_rank,3424.0,66.0,7.40485954284668,180.0,1186.7125244140625,195.0,66.0
legs1_segments0_operatingCarrier_code,1017.0,121.0,9.104225158691406,94.0,4910.9208984375,66.0,66.0
leg1_flight_view_count,3336.0,67.0,9.198716163635254,91.0,1667.9644775390625,171.0,67.0
legs1_segments0_aircraft_code,3144.0,68.0,7.580738544464111,174.0,2878.66455078125,105.0,68.0
legs0_arrivalAt_day_period,3112.0,69.0,8.178945541381836,135.0,2620.103515625,116.0,69.0
legs1_segments0_baggageAllowance_quantity,610.0,141.0,9.342865943908691,88.0,4720.64013671875,69.0,69.0
legs1_segments0_seatsAvailable,3066.0,71.0,6.78489875793457,205.0,1513.9967041015625,180.0,71.0
legs1_segments0_duration,2991.0,72.0,8.15012264251709,138.0,1679.9185791015625,170.0,72.0
carrier_pop_product,2991.0,73.0,10.043928146362305,77.0,4382.2294921875,73.0,73.0
legs1_segments1_departureFrom_airport_iata,160.0,169.0,9.387225151062012,87.0,4297.8193359375,74.0,74.0
leg1_view_norm,1492.0,104.0,10.152565956115723,76.0,4151.62841796875,80.0,76.0
legs0_departureAt_day_period,2878.0,76.0,9.120735168457031,93.0,3755.53173828125,90.0,76.0
legs1_departureAt_business_time,963.0,122.0,8.184723854064941,134.0,4240.35205078125,76.0,76.0
companyID_mode_transfer_num,169.0,168.0,7.882116794586182,154.0,4177.95166015625,79.0,79.0
legs1_segments0_departureFrom_airport_iata,2732.0,79.0,8.080799102783203,143.0,2275.731689453125,128.0,79.0
legs1_duration_fastest,824.0,126.0,9.713606834411621,80.0,2460.06787109375,121.0,80.0
all_matched_duration_sum,2639.0,80.0,8.118722915649414,140.0,3555.060546875,95.0,80.0
legs1_matched_duration_sum_rank,1291.0,109.0,6.946532726287842,199.0,4044.078125,83.0,83.0
companyID_mode_cabin_class,32.0,203.0,9.421239852905273,85.0,713.9483642578125,209.0,85.0
legs0_departureAt_business_time,2468.0,86.0,8.150688171386719,137.0,1830.23779296875,162.0,86.0
legs0_segments1_duration,2453.0,87.0,7.926451683044434,152.0,1631.1436767578125,173.0,87.0
nationality,798.0,128.0,7.708528995513916,165.0,3869.76025390625,87.0,87.0
legs0_segments1_key_view_count,2290.0,89.0,7.71663236618042,163.0,1400.1990966796875,187.0,89.0
legs0_arrivalAt_business_time,2052.0,91.0,7.328444957733154,186.0,1336.2774658203125,188.0,91.0
legs1_departureAt_weekday,2050.0,92.0,7.460652828216553,179.0,2771.420654296875,112.0,92.0
legs0_segments1_operatingCarrier_code,899.0,124.0,8.477869987487793,116.0,3680.59130859375,92.0,92.0
legs0_segments1_arrivalTo_airport_iata,2017.0,93.0,7.873415470123291,155.0,1149.7080078125,198.0,93.0
n_ff_programs,1999.0,94.0,7.149221897125244,193.0,2305.402587890625,127.0,94.0
legs1_segments0_arrivalTo_airport_city_iata,1985.0,96.0,8.78738784790039,102.0,3193.929931640625,100.0,96.0
legs0_segments1_marketingCarrier_code_in_ff,103.0,183.0,8.921051979064941,98.0,2016.07861328125,146.0,98.0
legs1_arrivalAt_weekday,1809.0,101.0,8.357308387756348,128.0,3334.808837890625,98.0,98.0
legs0_segments1_arrivalTo_airport_city_iata,1872.0,98.0,8.142064094543457,139.0,1122.064208984375,201.0,98.0
legs1_segments0_duration_rank,1864.0,99.0,7.569390296936035,176.0,2069.15478515625,140.0,99.0
legs1_segments0_arrivalTo_airport_iata,1817.0,100.0,8.302879333496094,131.0,2159.515869140625,136.0,100.0
legs1_segments1_flightNumber,1050.0,118.0,6.947376251220703,198.0,3021.40771484375,102.0,102.0
sex,1523.0,103.0,6.987879753112793,197.0,1432.8614501953125,185.0,103.0
legs0_segments1_seatsAvailable,1481.0,105.0,7.830994606018066,159.0,1606.8819580078125,176.0,105.0
legs0_segments2_cabinClass,1.0,225.0,8.669013977050781,107.0,189.27259826660156,226.0,107.0
legs0_segments1_operatingCarrier_code_in_ff,153.0,172.0,8.63135814666748,108.0,1135.2119140625,200.0,108.0
legs1_segments0_operatingCarrier_code_in_ff,201.0,167.0,6.861002445220947,203.0,2832.434326171875,109.0,109.0
legs1_segments1_duration_rank,367.0,154.0,7.799007892608643,161.0,2786.731689453125,111.0,111.0
legs1_departureAt_is_weekend,315.0,157.0,7.578747272491455,175.0,2664.51806640625,114.0,114.0
legs1_matched_duration_sum,1161.0,115.0,7.293994903564453,189.0,1795.0008544921875,163.0,115.0
leg1_flight_view_count_rank,1068.0,116.0,7.049471378326416,194.0,1151.6468505859375,197.0,116.0
legs1_segments0_key_view_count_rank,1056.0,117.0,7.394866466522217,181.0,1786.14697265625,165.0,117.0
legs1_segments1_baggageAllowance_weightMeasurementType,4.0,219.0,8.420541763305664,120.0,2195.6396484375,132.0,120.0
legs1_segments1_aircraft_code,490.0,147.0,7.320497512817383,188.0,2270.15771484375,129.0,129.0
companyID_mode_has_transfer,107.0,182.0,7.21502685546875,192.0,2225.487548828125,130.0,130.0
