feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,1931.0,0.0,11.867773056030273,46.0,942.5706787109375,61.0,0.0
legs0_segments0_baggageAllowance_quantity,108.0,93.0,161.1824188232422,0.0,7941.10595703125,6.0,0.0
legs1_num_transfers_rank,5.0,164.0,106.99226379394531,1.0,13643.9169921875,0.0,0.0
price_percentile,1737.0,1.0,10.937370300292969,56.0,1221.7437744140625,54.0,1.0
legs0_num_transfers_rank,23.0,139.0,36.469276428222656,9.0,11888.0283203125,1.0,1.0
legs0_mean_cabin,22.0,140.0,35.73959732055664,10.0,10865.9619140625,2.0,2.0
price_per_duration_rank,1546.0,2.0,8.442377090454102,124.0,458.70379638671875,123.0,2.0
baggage_total,77.0,104.0,93.4785385131836,2.0,6883.95947265625,7.0,2.0
baggage_total_rank,352.0,55.0,93.27764129638672,3.0,5902.609375,10.0,3.0
total_is_min_transfers,56.0,113.0,49.09765625,5.0,10445.1953125,3.0,3.0
legs1_segments0_flightNumber,1531.0,3.0,10.2654390335083,62.0,857.201171875,63.0,3.0
price_minus_fee_rank,1475.0,4.0,8.876884460449219,99.0,499.4137268066406,102.0,4.0
legs1_segments0_baggageAllowance_quantity,78.0,103.0,72.09950256347656,4.0,4785.841796875,13.0,4.0
total_num_transfers_rank,98.0,98.0,39.155487060546875,8.0,9736.9990234375,4.0,4.0
legs0_is_min_transfers,9.0,152.0,23.23931312561035,20.0,9728.1435546875,5.0,5.0
price_per_fee_rank,1432.0,5.0,7.926836967468262,145.0,527.4912719726562,99.0,5.0
legs1_arrivalAt_day_period,158.0,80.0,41.65919876098633,6.0,4198.47802734375,14.0,6.0
legs0_segments0_flightNumber,1427.0,6.0,9.805390357971191,69.0,802.1152954101562,67.0,6.0
free_exchange,14.0,146.0,40.814666748046875,7.0,5531.3125,11.0,7.0
totalPrice_rank,1422.0,7.0,9.581737518310547,74.0,630.021728515625,82.0,7.0
price_per_tax,1410.0,8.0,9.364312171936035,82.0,615.3328247070312,85.0,8.0
legs1_is_min_transfers,6.0,159.0,22.232088088989258,23.0,6816.69970703125,8.0,8.0
legs0_weighted_mean_cabin,46.0,120.0,30.921981811523438,14.0,5937.62158203125,9.0,9.0
price_per_duration,1381.0,9.0,11.598633766174316,50.0,1133.0439453125,57.0,9.0
legs0_arrivalAt_hour,1331.0,10.0,11.135274887084961,53.0,1275.9163818359375,52.0,10.0
price_per_fee,1323.0,11.0,10.036229133605957,64.0,670.2032470703125,77.0,11.0
legs0_segments1_key_view_count_rank,10.0,151.0,35.266212463378906,11.0,3936.033935546875,17.0,11.0
is_major_carrier,10.0,150.0,34.82998275756836,12.0,1693.011962890625,36.0,12.0
legs0_departureAt_hour,1272.0,12.0,10.679043769836426,58.0,1701.6494140625,35.0,12.0
carrier_pop_product,88.0,102.0,24.573949813842773,19.0,5003.1640625,12.0,12.0
both_legs_carrier_all_same,24.0,138.0,31.82155418395996,13.0,1608.2808837890625,39.0,13.0
leg0_view_diff_mean,1189.0,13.0,8.348004341125488,127.0,443.8586120605469,126.0,13.0
companyID_loo_mean_legs0_departureAt_hour,1186.0,14.0,9.454819679260254,78.0,624.0391845703125,84.0,14.0
group_size,1180.0,15.0,7.882662773132324,148.0,440.1458740234375,129.0,15.0
legs0_max_duration_cabin,28.0,129.0,29.88762092590332,15.0,4133.53662109375,16.0,15.0
legs0_segments1_arrivalTo_airport_city_iata,4.0,168.0,17.69236183166504,28.0,4160.0966796875,15.0,15.0
legs1_departureAt_hour,1170.0,16.0,14.31001091003418,39.0,1771.7554931640625,33.0,16.0
free_cancel,27.0,131.0,27.891233444213867,16.0,2940.3876953125,22.0,16.0
legs0_is_direct,1.0,175.0,27.522573471069336,17.0,307.74542236328125,157.0,17.0
leg1_view_diff_mean,1145.0,17.0,8.739813804626465,107.0,482.3039855957031,108.0,17.0
days_before_departure,1121.0,18.0,8.166165351867676,138.0,422.3282165527344,138.0,18.0
total_fees,144.0,89.0,25.685503005981445,18.0,1719.491943359375,34.0,18.0
carrier0_pop,49.0,117.0,16.015846252441406,32.0,3922.427001953125,18.0,18.0
all_view_diff_mean,1119.0,19.0,8.618229866027832,112.0,631.0559692382812,81.0,19.0
legs1_mean_cabin,5.0,163.0,16.640195846557617,29.0,3756.71630859375,19.0,19.0
companyID_loo_mean_legs0_arrivalAt_hour,1061.0,20.0,8.291952133178711,131.0,536.4420166015625,97.0,20.0
legs0_departureAt_business_time,207.0,66.0,17.832223892211914,26.0,3005.0546875,20.0,20.0
companyID_loo_mean_total_num_transfers,1008.0,21.0,8.56119441986084,117.0,366.4150085449219,149.0,21.0
total_num_transfers,6.0,158.0,22.804590225219727,21.0,1527.5185546875,44.0,21.0
legs0_departureAt_day_period,230.0,65.0,15.501248359680176,35.0,2999.56494140625,21.0,21.0
legs1_arrivalAt_hour,879.0,29.0,22.344938278198242,22.0,2177.00048828125,27.0,22.0
companyID_loo_mean_taxes,1005.0,22.0,8.528815269470215,120.0,413.7214050292969,142.0,22.0
price_minus_fee,953.0,23.0,9.305154800415039,85.0,550.455322265625,94.0,23.0
carrier1_pop,53.0,116.0,14.843302726745605,38.0,2810.0927734375,23.0,23.0
companyID_total_occurrences,944.0,24.0,8.791132926940918,106.0,541.6253051757812,96.0,24.0
miniRules0_monetaryAmount,100.0,96.0,20.44589614868164,24.0,2176.2177734375,28.0,24.0
legs1_departureAt_day_period,156.0,82.0,18.941770553588867,25.0,2625.53271484375,24.0,24.0
legs1_max_duration_cabin,7.0,157.0,15.453413009643555,36.0,2418.218017578125,25.0,25.0
companyID_loo_mean_legs1_departureAt_hour,935.0,25.0,8.344836235046387,128.0,439.8392333984375,130.0,25.0
log_price,912.0,26.0,9.15625286102295,89.0,531.7041625976562,98.0,26.0
legs1_segments0_marketingCarrier_code,27.0,132.0,12.428766250610352,44.0,2374.523193359375,26.0,26.0
legs1_weighted_mean_cabin,4.0,167.0,17.789167404174805,27.0,2028.157958984375,29.0,27.0
companyID_loo_mean_cabin_class,902.0,27.0,8.61579704284668,114.0,414.0765380859375,141.0,27.0
companyID_loo_mean_legs1_arrivalAt_hour,896.0,28.0,8.831095695495605,103.0,409.98626708984375,145.0,28.0
legs1_segments0_duration,365.0,53.0,16.204936981201172,30.0,703.4256591796875,74.0,30.0
miniRules0_statusInfos,8.0,153.0,5.791023254394531,171.0,1976.750732421875,30.0,30.0
companyID_loo_selected_count,874.0,30.0,9.213152885437012,87.0,482.9779968261719,107.0,30.0
duration_ratio,867.0,31.0,8.114842414855957,140.0,595.4998168945312,87.0,31.0
legs0_segments1_duration_rank,5.0,162.0,16.065786361694336,31.0,1444.4488525390625,46.0,31.0
total_weighted_mean_cabin,88.0,101.0,13.626659393310547,42.0,1861.6915283203125,31.0,31.0
companyID_loo_mean_legs1_duration,853.0,32.0,8.459921836853027,122.0,477.07525634765625,113.0,32.0
legs0_arrivalAt_day_period,185.0,73.0,13.605072975158691,43.0,1835.564697265625,32.0,32.0
legs0_segments0_cabinClass,25.0,137.0,15.978498458862305,33.0,1638.7281494140625,38.0,33.0
tax_rate,813.0,33.0,9.080329895019531,93.0,715.5062866210938,73.0,33.0
companyID_loo_mean_legs0_duration,812.0,34.0,8.287236213684082,132.0,434.25201416015625,133.0,34.0
has_fees,12.0,149.0,15.850451469421387,34.0,1331.1558837890625,49.0,34.0
companyID_loo_mean_totalPrice,792.0,35.0,8.127972602844238,139.0,472.67730712890625,114.0,35.0
group_size_log,765.0,36.0,8.901735305786133,97.0,440.2403869628906,128.0,36.0
legs0_segments0_seatsAvailable,733.0,37.0,7.911190986633301,146.0,345.4914245605469,154.0,37.0
total_fees_rank,186.0,72.0,15.29712963104248,37.0,1573.475830078125,40.0,37.0
is_popular_route,1.0,174.0,9.677032470703125,71.0,1678.934814453125,37.0,37.0
days_between_departure_arrival,726.0,38.0,13.662439346313477,41.0,1170.1370849609375,55.0,38.0
all_flight_view_count_rank,672.0,39.0,8.411285400390625,126.0,456.7506408691406,125.0,39.0
totalPrice,645.0,40.0,11.07309341430664,55.0,466.95294189453125,118.0,40.0
legs1_main_carrier,48.0,119.0,13.807051658630371,40.0,1553.9078369140625,42.0,40.0
leg1_flight_view_count,152.0,85.0,9.92708683013916,65.0,1560.5035400390625,41.0,41.0
legs1_segments0_seatsAvailable,592.0,41.0,7.424055576324463,158.0,279.1154479980469,161.0,41.0
total_duration_rank,552.0,42.0,11.859539985656738,47.0,1025.981201171875,59.0,42.0
unmatched_duration_rank,522.0,43.0,8.209911346435547,136.0,457.0963134765625,124.0,43.0
pricingInfo_isAccessTP,196.0,69.0,9.354232788085938,84.0,1541.795166015625,43.0,43.0
corporateTariffCode,469.0,44.0,8.897757530212402,98.0,420.7348327636719,139.0,44.0
legs0_duration,178.0,76.0,11.989815711975098,45.0,443.1502380371094,127.0,45.0
legs0_segments0_aircraft_code,365.0,54.0,10.611593246459961,60.0,1519.8521728515625,45.0,45.0
legs1_departureAt_weekday,460.0,45.0,8.207230567932129,137.0,400.3407287597656,146.0,45.0
legs0_departureAt_weekday,439.0,46.0,8.272157669067383,133.0,432.9771423339844,135.0,46.0
total_duration,402.0,47.0,11.670618057250977,48.0,479.5191650390625,111.0,47.0
has_access_tp,102.0,95.0,10.37449836730957,61.0,1395.9700927734375,47.0,47.0
legs0_arrivalAt_weekday,400.0,48.0,8.314943313598633,129.0,410.902099609375,144.0,48.0
miniRules1_monetaryAmount,93.0,100.0,11.599114418029785,49.0,1355.7291259765625,48.0,48.0
legs1_arrivalAt_weekday,393.0,49.0,8.626518249511719,110.0,392.8329772949219,147.0,49.0
unmatched_duration,391.0,50.0,8.80611801147461,104.0,628.4638671875,83.0,50.0
leg1_view_norm,99.0,97.0,8.554555892944336,118.0,1321.1702880859375,50.0,50.0
all_view_norm,155.0,83.0,9.582995414733887,73.0,1304.2474365234375,51.0,51.0
legs1_segments0_duration_rank,376.0,51.0,8.617493629455566,113.0,359.25347900390625,151.0,51.0
legs1_segments0_arrivalTo_airport_city_iata,55.0,114.0,11.549322128295898,51.0,901.4053955078125,62.0,51.0
legs0_duration_rank,371.0,52.0,9.794013023376465,70.0,568.578857421875,90.0,52.0
isVip,176.0,77.0,11.307565689086914,52.0,600.2014770507812,86.0,52.0
