feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
price_percentile,0.0,1.0,1.0,1.0,0.75,1.0,0.0
ordinal,4.0,0.0,0.0,0.0,1.0,4.0,0.0
legs0_is_min_transfers,2.0,1.0,0.0,5.0,2.0,5.0,0.0
total_is_min_transfers,0.0,0.0,1.0,8.0,2.25,8.0,0.0
price_from_median_zscore,1.0,2.0,3.0,3.0,2.25,3.0,1.0
total_num_transfers_rank,0.0,0.0,0.0,12.0,3.0,12.0,0.0
legs0_segments0_flightNumber,5.0,6.0,4.0,2.0,4.25,6.0,2.0
totalPrice_rank,12.0,3.0,2.0,4.0,5.25,12.0,2.0
pricingInfo_price,2.0,4.0,8.0,7.0,5.25,8.0,2.0
legs1_is_min_transfers,8.0,3.0,9.0,3.0,5.75,9.0,3.0
price_per_tax,3.0,5.0,6.0,9.0,5.75,9.0,3.0
legs0_num_transfers_rank,4.0,3.0,4.0,15.0,6.5,15.0,3.0
legs0_segments0_baggageAllowance_quantity,7.0,7.0,9.0,5.0,7.0,9.0,5.0
legs0_departureAt_hour,6.0,7.0,7.0,10.0,7.5,10.0,6.0
category,5.0,8.0,11.0,14.0,9.5,14.0,5.0
legs0_arrivalAt_hour,7.0,9.0,10.0,15.0,10.25,15.0,7.0
group_size,9.0,8.0,13.0,12.0,10.5,13.0,8.0
days_before_departure,8.0,10.0,12.0,16.0,11.5,16.0,8.0
yearOfBirth,10.0,11.0,15.0,11.0,11.75,15.0,10.0
legs0_mean_cabin,22.0,12.0,4.0,12.0,12.5,22.0,4.0
legs0_max_duration_cabin,20.0,20.0,5.0,7.0,13.0,20.0,5.0
legs0_segments0_cabinClass,12.0,20.0,2.0,22.0,14.0,22.0,2.0
leg0_view_diff_mean,19.0,12.0,16.0,14.0,15.25,19.0,12.0
all_view_diff_mean,17.0,15.0,14.0,17.0,15.75,17.0,14.0
price_per_duration_rank,39.0,13.0,5.0,6.0,15.75,39.0,5.0
price_per_duration,33.0,14.0,9.0,8.0,16.0,33.0,8.0
companyID_loo_mean_legs0_departureAt_hour,14.0,16.0,23.0,18.0,17.75,23.0,14.0
baggage_total,23.0,30.0,18.0,1.0,18.0,30.0,1.0
companyID_loo_mean_legs0_arrivalAt_hour,13.0,17.0,21.0,22.0,18.25,22.0,13.0
legs0_weighted_mean_cabin,18.0,21.0,3.0,33.0,18.75,33.0,3.0
companyID_loo_mean_totalPrice,11.0,19.0,19.0,29.0,19.5,29.0,11.0
transfer_duration_rank,23.0,14.0,14.0,29.0,20.0,29.0,14.0
legs1_mean_cabin,42.0,17.0,21.0,2.0,20.5,42.0,2.0
both_legs_carrier_all_same,8.0,5.0,10.0,61.0,21.0,61.0,5.0
legs1_segments0_baggageAllowance_quantity,19.0,39.0,22.0,4.0,21.0,39.0,4.0
companyID_loo_mean_taxes,15.0,22.0,25.0,27.0,22.25,27.0,15.0
companyID_loo_mean_total_num_transfers,23.0,24.0,24.0,23.0,23.5,24.0,23.0
