feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
ordinal,3428.0,0.0,11.501304626464844,40.0,1639.8333740234375,63.0,0.0
legs0_is_min_transfers,53.0,162.0,59.71259307861328,6.0,25403.45703125,0.0,0.0
total_num_transfers_rank,104.0,134.0,165.00355529785156,0.0,22654.490234375,1.0,0.0
price_percentile,2801.0,1.0,16.10552978515625,24.0,2375.195556640625,39.0,1.0
total_is_min_transfers,86.0,144.0,151.30633544921875,1.0,22541.10546875,2.0,1.0
totalPrice_rank,2603.0,2.0,9.054826736450195,74.0,1203.6470947265625,81.0,2.0
legs0_segments0_cabinClass,39.0,175.0,105.6461181640625,2.0,15735.7470703125,8.0,2.0
legs0_weighted_mean_cabin,64.0,158.0,89.58482360839844,3.0,17561.142578125,7.0,3.0
price_from_median_zscore,2405.0,3.0,28.947187423706055,12.0,3027.707275390625,30.0,3.0
legs1_num_transfers_rank,41.0,173.0,31.505096435546875,10.0,22217.84375,3.0,3.0
legs0_segments0_flightNumber,2280.0,4.0,7.900232315063477,123.0,1121.5855712890625,90.0,4.0
legs0_mean_cabin,67.0,157.0,80.30803680419922,4.0,19248.376953125,6.0,4.0
legs0_num_transfers_rank,75.0,153.0,51.18549728393555,7.0,22056.0390625,4.0,4.0
price_per_duration_rank,2115.0,5.0,7.771808624267578,131.0,1033.072265625,99.0,5.0
legs0_max_duration_cabin,23.0,191.0,78.48240661621094,5.0,21144.130859375,5.0,5.0
price_per_tax,2049.0,6.0,8.264002799987793,98.0,1039.15087890625,97.0,6.0
legs0_departureAt_hour,2041.0,7.0,10.190291404724121,53.0,1960.2711181640625,52.0,7.0
pricingInfo_price,1980.0,8.0,8.036246299743652,107.0,755.6221923828125,148.0,8.0
transfer_duration_total,459.0,66.0,37.33110046386719,8.0,9664.021484375,12.0,8.0
legs0_segments0_baggageAllowance_quantity,418.0,69.0,35.459373474121094,9.0,7877.78955078125,14.0,9.0
price_per_duration,1910.0,9.0,7.457633972167969,157.0,828.5977172851562,130.0,9.0
