feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
ordinal,6790.0,0.0,13.522618293762207,37.0,2172.81884765625,80.0,0.0
total_is_min_transfers,97.0,160.0,442.8284606933594,1.0,51005.01953125,0.0,0.0
total_num_transfers_rank,137.0,149.0,450.6538391113281,0.0,49177.51953125,2.0,0.0
price_percentile,5716.0,1.0,11.475591659545898,50.0,3108.147216796875,56.0,1.0
legs0_is_min_transfers,28.0,196.0,353.9308776855469,2.0,50430.50390625,1.0,1.0
price_from_median_zscore,4876.0,2.0,18.518924713134766,25.0,3329.926025390625,50.0,2.0
legs0_num_transfers_rank,51.0,178.0,191.26898193359375,4.0,39247.1640625,3.0,3.0
legs1_is_min_transfers,16.0,214.0,276.0794372558594,3.0,21894.357421875,6.0,3.0
totalPrice_rank,4553.0,3.0,10.006651878356934,63.0,1404.9815673828125,114.0,3.0
pricingInfo_price,4542.0,4.0,9.089839935302734,78.0,1215.933837890625,142.0,4.0
legs1_num_transfers_rank,29.0,193.0,80.60205841064453,5.0,26360.486328125,4.0,4.0
both_legs_carrier_all_same,218.0,133.0,44.13241958618164,6.0,24177.751953125,5.0,5.0
price_per_tax,4085.0,5.0,7.8771514892578125,124.0,1196.8646240234375,146.0,5.0
legs0_segments0_flightNumber,4069.0,6.0,7.758265018463135,136.0,1496.3883056640625,103.0,6.0
legs0_departureAt_hour,3984.0,7.0,9.229369163513184,74.0,2731.97705078125,64.0,7.0
legs0_segments0_baggageAllowance_quantity,812.0,66.0,42.082183837890625,7.0,14044.466796875,9.0,7.0
transfer_duration_total,531.0,88.0,31.949888229370117,10.0,17618.46875,7.0,7.0
total_num_transfers,5.0,233.0,24.017780303955078,16.0,16916.701171875,8.0,8.0
group_size,3640.0,8.0,7.261213302612305,168.0,1284.3135986328125,136.0,8.0
category,430.0,101.0,37.26472854614258,8.0,13669.365234375,10.0,8.0
legs0_segments0_baggageAllowance_weightMeasurementType,14.0,216.0,35.81254196166992,9.0,617.77734375,212.0,9.0
legs0_arrivalAt_hour,3486.0,9.0,8.569693565368652,93.0,1934.69287109375,90.0,9.0
days_before_departure,3428.0,10.0,7.436068534851074,154.0,1461.7572021484375,105.0,10.0
legs1_max_duration_cabin,26.0,198.0,28.39369010925293,12.0,13131.630859375,11.0,11.0
total_weighted_mean_cabin,232.0,130.0,29.954166412353516,11.0,10470.7890625,15.0,11.0
yearOfBirth,3418.0,11.0,7.110665321350098,179.0,854.9119873046875,193.0,11.0
leg0_view_diff_mean,3217.0,12.0,7.857199192047119,125.0,993.1889038085938,174.0,12.0
legs0_mean_cabin,58.0,172.0,13.507279396057129,38.0,12577.1328125,12.0,12.0
legs0_segments1_marketingCarrier_code_in_ff,5.0,232.0,4.697318077087402,238.0,12065.279296875,13.0,13.0
price_per_duration_rank,3206.0,13.0,7.355468273162842,161.0,1318.56298828125,129.0,13.0
legs1_segments0_baggageAllowance_weightMeasurementType,4.0,234.0,28.005014419555664,13.0,566.966552734375,221.0,13.0
price_per_duration,3167.0,14.0,7.779134750366211,132.0,1856.611328125,93.0,14.0
transfer_duration_rank,380.0,107.0,26.539663314819336,14.0,11422.46484375,14.0,14.0
MinTime,165.0,142.0,25.00625228881836,15.0,3242.60693359375,52.0,15.0
