feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_percentile,13862.0,0.0,11.268173217773438,55.0,3173.037109375,81.0,0.0
total_num_transfers_rank,341.0,175.0,1015.1204223632812,1.0,71315.84375,0.0,0.0
total_is_min_transfers,238.0,188.0,1031.4163818359375,0.0,70225.953125,1.0,0.0
price_from_median_zscore,12639.0,1.0,13.421249389648438,44.0,4776.26123046875,52.0,1.0
pricingInfo_price,12276.0,2.0,7.679592609405518,125.0,1305.46630859375,206.0,2.0
legs0_is_min_transfers,132.0,207.0,425.1635437011719,2.0,47685.69921875,2.0,2.0
legs0_segments0_stopCount,96.0,214.0,8.710833549499512,85.0,46403.58984375,3.0,3.0
price_per_tax,11161.0,3.0,7.278613090515137,151.0,1159.8785400390625,216.0,3.0
both_legs_direct,11.0,246.0,399.6095886230469,3.0,20683.591796875,10.0,3.0
ordinal,10832.0,4.0,74.59823608398438,7.0,6445.08544921875,35.0,4.0
legs0_num_transfers_rank,228.0,191.0,280.20458984375,4.0,41167.42578125,4.0,4.0
legs0_segments0_flightNumber,10125.0,5.0,7.102793216705322,166.0,1733.2154541015625,154.0,5.0
legs0_segments1_stopCount,9.0,248.0,4.404929161071777,253.0,27989.955078125,5.0,5.0
category,2336.0,71.0,111.0291976928711,5.0,13467.0927734375,17.0,5.0
legs1_num_transfers_rank,88.0,218.0,43.076908111572266,11.0,25683.376953125,6.0,6.0
legs0_departureAt_hour,10077.0,6.0,8.345268249511719,94.0,3094.58642578125,84.0,6.0
MinTime,574.0,148.0,83.86530303955078,6.0,8340.958984375,27.0,6.0
legs0_arrivalAt_hour,9252.0,7.0,7.7717766761779785,112.0,2368.775146484375,112.0,7.0
legs0_segments0_baggageAllowance_quantity,2622.0,66.0,71.40480041503906,9.0,23476.40234375,7.0,7.0
legs1_is_min_transfers,74.0,222.0,71.82028198242188,8.0,21562.189453125,9.0,8.0
days_before_departure,8760.0,8.0,6.757631301879883,191.0,1779.3583984375,145.0,8.0
both_legs_carrier_all_same,475.0,165.0,22.489896774291992,24.0,22660.91796875,8.0,8.0
group_size,8740.0,9.0,16.59207534790039,37.0,6575.82568359375,34.0,9.0
yearOfBirth,8297.0,10.0,6.3769307136535645,220.0,1371.9366455078125,196.0,10.0
Convenience,554.0,156.0,70.57783508300781,10.0,17660.826171875,11.0,10.0
companyID_loo_mean_totalPrice,7910.0,11.0,10.254119873046875,63.0,2192.171875,120.0,11.0
legs0_segments0_cabinClass,404.0,167.0,41.43312454223633,12.0,17203.23046875,12.0,12.0
totalPrice_rank,7768.0,12.0,35.30646514892578,13.0,4511.6162109375,56.0,12.0
legs1_segments1_operatingCarrier_code,115.0,210.0,5.736358165740967,246.0,17097.361328125,13.0,13.0
companyID_loo_mean_legs0_arrivalAt_hour,7765.0,13.0,7.607251167297363,132.0,1777.4639892578125,146.0,13.0
legs1_segments1_marketingCarrier_code,58.0,228.0,6.97506046295166,174.0,14622.53125,14.0,14.0
companyID_loo_mean_legs0_departureAt_hour,7505.0,14.0,7.688233375549316,123.0,1700.20458984375,160.0,14.0
total_weighted_mean_cabin,664.0,138.0,34.56053924560547,14.0,9683.0869140625,21.0,14.0
searchType,350.0,174.0,19.427440643310547,32.0,14164.05859375,15.0,15.0
companyID_loo_mean_taxes,7209.0,15.0,7.743261814117432,116.0,1126.613525390625,218.0,15.0
legs0_segments0_baggageAllowance_weightMeasurementType,93.0,215.0,33.95746994018555,15.0,2332.625732421875,114.0,15.0
tax_rate,7132.0,16.0,7.116757392883301,163.0,1439.36962890625,186.0,16.0
legs0_segments0_baggageAllowance_type,133.0,204.0,32.08622360229492,16.0,2055.4619140625,127.0,16.0
miniRules0_statusInfos,788.0,132.0,19.044822692871094,33.0,14001.3681640625,16.0,16.0
all_view_diff_mean,7131.0,17.0,7.950496196746826,106.0,2034.4271240234375,129.0,17.0
is_cheapest,252.0,186.0,31.802461624145508,17.0,5036.95849609375,48.0,17.0
legs0_weighted_mean_cabin,613.0,143.0,30.065746307373047,18.0,8051.005859375,28.0,18.0
companyID_loo_mean_legs1_duration,7090.0,18.0,7.584497928619385,135.0,1533.043212890625,177.0,18.0
legs1_all_segments_carrier_same,18.0,245.0,7.986818313598633,105.0,12522.8037109375,18.0,18.0
legs1_segments0_baggageAllowance_quantity,566.0,150.0,29.229726791381836,19.0,7242.5361328125,32.0,19.0
legs1_duration,1853.0,89.0,8.759084701538086,84.0,10587.7392578125,19.0,19.0
leg0_view_diff_mean,6999.0,19.0,7.925278186798096,108.0,1868.22021484375,138.0,19.0
legs0_max_duration_cabin,204.0,194.0,29.142473220825195,20.0,10474.634765625,20.0,20.0
all_flight_view_count,6943.0,20.0,12.89523983001709,45.0,5067.78515625,46.0,20.0
group_size_log,5175.0,40.0,25.53000831604004,21.0,6362.29296875,36.0,21.0
companyID_loo_mean_legs1_arrivalAt_hour,6920.0,21.0,7.471459865570068,141.0,1334.2489013671875,205.0,21.0
legs0_segments1_departureFrom_airport_city_iata,488.0,161.0,8.079328536987305,101.0,9435.8125,22.0,22.0
legs0_mean_cabin,231.0,190.0,24.815052032470703,22.0,8401.0234375,26.0,22.0
corporateTariffCode,6888.0,22.0,9.236964225769043,76.0,3806.921142578125,71.0,22.0
companyID_loo_mean_total_num_transfers,6860.0,23.0,7.176213264465332,159.0,1146.438232421875,217.0,23.0
baggage_total,939.0,122.0,22.79462432861328,23.0,4318.73291015625,61.0,23.0
transfer_duration_rank,1928.0,88.0,19.655982971191406,31.0,9239.90625,23.0,23.0
legs0_duration,6754.0,24.0,11.810757637023926,52.0,4218.59716796875,62.0,24.0
legs1_segments1_departureFrom_airport_city_iata,77.0,221.0,6.4707231521606445,208.0,8722.080078125,24.0,24.0
is_major_carrier,552.0,158.0,22.343358993530273,25.0,5762.03076171875,39.0,25.0
companyID_loo_mean_legs1_departureAt_hour,6714.0,25.0,7.708615303039551,120.0,1620.8349609375,167.0,25.0
BestPriceDirect,399.0,168.0,17.809589385986328,36.0,8402.009765625,25.0,25.0
transfer_duration_total,4848.0,42.0,21.9914608001709,26.0,7707.56201171875,30.0,26.0
leg0_flight_view_count,6628.0,26.0,13.473836898803711,43.0,3801.656005859375,72.0,26.0
companyID_loo_mean_cabin_class,6592.0,27.0,8.277408599853516,95.0,2037.6297607421875,128.0,27.0
