feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs0_segments1_key_view_count_rank,1.0,193.0,9.419089317321777,70.0,7110.23291015625,0.0,0.0
ordinal,1212.0,0.0,9.979296684265137,57.0,633.2764282226562,69.0,0.0
baggage_total_rank,222.0,48.0,101.89834594726562,0.0,4309.8564453125,1.0,0.0
price_percentile,1034.0,1.0,9.94973087310791,58.0,705.0548706054688,65.0,1.0
baggage_total,141.0,65.0,52.22549057006836,1.0,2786.179443359375,6.0,1.0
legs1_arrivalAt_day_period,123.0,72.0,47.601898193359375,2.0,3285.55126953125,3.0,2.0
legs1_mean_cabin,9.0,161.0,18.57892608642578,20.0,3502.328369140625,2.0,2.0
legs0_segments0_flightNumber,939.0,2.0,12.996917724609375,37.0,857.9581909179688,43.0,2.0
price_from_median_zscore,903.0,3.0,20.938966751098633,16.0,915.5609741210938,38.0,3.0
legs1_is_min_transfers,1.0,190.0,44.22221374511719,3.0,409.9201354980469,99.0,3.0
legs1_segments0_baggageAllowance_quantity,53.0,99.0,39.041664123535156,4.0,2274.07470703125,13.0,4.0
totalPrice_rank,851.0,4.0,8.359142303466797,94.0,379.8074951171875,110.0,4.0
legs0_departureAt_business_time,119.0,74.0,23.90594482421875,10.0,3016.992431640625,4.0,4.0
legs1_segments0_flightNumber,815.0,5.0,11.168067932128906,50.0,839.8546752929688,45.0,5.0
legs0_is_min_transfers,3.0,179.0,18.36463165283203,21.0,2996.604736328125,5.0,5.0
legs0_segments0_baggageAllowance_quantity,59.0,96.0,35.74893569946289,5.0,2488.525634765625,11.0,5.0
price_per_duration_rank,794.0,6.0,7.707961559295654,132.0,422.0486145019531,92.0,6.0
both_legs_direct,4.0,173.0,30.186552047729492,6.0,1880.937744140625,18.0,6.0
legs0_segments1_duration_rank,10.0,156.0,18.64580726623535,19.0,2633.80810546875,7.0,7.0
pricingInfo_price,775.0,7.0,9.517943382263184,66.0,415.1871337890625,94.0,7.0
legs0_max_duration_cabin,1.0,189.0,28.65228271484375,7.0,2576.66650390625,9.0,7.0
price_per_duration,742.0,8.0,14.18847942352295,31.0,1078.8953857421875,34.0,8.0
total_is_min_transfers,45.0,106.0,26.268856048583984,9.0,2631.826416015625,8.0,8.0
