feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
price_per_fee_rank,3.0,0.0,0.0,0.0,0.75,3.0,0.0
total_is_min_transfers,0.0,0.0,0.0,5.0,1.25,5.0,0.0
legs0_is_min_transfers,1.0,1.0,2.0,3.0,1.75,3.0,1.0
legs1_is_min_transfers,5.0,2.0,0.0,2.0,2.25,5.0,0.0
price_percentile,4.0,2.0,2.0,2.0,2.5,4.0,2.0
price_per_duration_rank,0.0,1.0,1.0,9.0,2.75,9.0,0.0
legs0_segments0_flightNumber,6.0,6.0,3.0,1.0,4.0,6.0,1.0
price_per_duration,1.0,4.0,5.0,7.0,4.25,7.0,1.0
price_from_median_zscore,2.0,5.0,6.0,6.0,4.75,6.0,2.0
price_minus_fee_rank,9.0,3.0,4.0,5.0,5.25,9.0,3.0
legs0_departureAt_hour,5.0,8.0,8.0,11.0,8.0,11.0,5.0
price_per_tax,7.0,11.0,12.0,4.0,8.5,12.0,4.0
legs0_weighted_mean_cabin,15.0,10.0,5.0,8.0,9.5,15.0,5.0
group_size,10.0,9.0,13.0,8.0,10.0,13.0,8.0
legs0_mean_cabin,16.0,8.0,8.0,9.0,10.25,16.0,8.0
both_legs_direct,9.0,3.0,24.0,5.0,10.25,24.0,3.0
total_num_transfers,5.0,8.0,3.0,27.0,10.75,27.0,3.0
totalPrice_rank,12.0,7.0,7.0,18.0,11.0,18.0,7.0
days_before_departure,11.0,12.0,10.0,13.0,11.5,13.0,10.0
legs0_arrivalAt_hour,8.0,10.0,14.0,14.0,11.5,14.0,8.0
total_duration_rank,15.0,13.0,9.0,12.0,12.25,15.0,9.0
legs0_segments0_cabinClass,14.0,18.0,8.0,11.0,12.75,18.0,8.0
baggage_total_rank,34.0,7.0,9.0,2.0,13.0,34.0,2.0
price_per_fee,13.0,14.0,11.0,15.0,13.25,15.0,11.0
pricingInfo_isAccessTP,3.0,3.0,4.0,45.0,13.75,45.0,3.0
legs0_segments0_baggageAllowance_quantity,20.0,22.0,15.0,0.0,14.25,22.0,0.0
both_legs_carrier_all_same,26.0,7.0,15.0,12.0,15.0,26.0,7.0
has_access_tp,4.0,6.0,6.0,47.0,15.75,47.0,4.0
all_view_diff_mean,25.0,16.0,16.0,10.0,16.75,25.0,10.0
legs0_max_duration_cabin,13.0,30.0,10.0,17.0,17.5,30.0,10.0
leg0_view_diff_mean,22.0,15.0,15.0,20.0,18.0,22.0,15.0
unmatched_duration_rank,16.0,17.0,17.0,22.0,18.0,22.0,16.0
legs1_num_transfers_rank,8.0,5.0,5.0,58.0,19.0,58.0,5.0
companyID_loo_mean_legs0_departureAt_hour,18.0,20.0,21.0,17.0,19.0,21.0,17.0
log_price,14.0,18.0,23.0,23.0,19.5,23.0,14.0
companyID_loo_mean_legs0_arrivalAt_hour,17.0,19.0,24.0,21.0,20.25,24.0,17.0
companyID_loo_mean_legs1_arrivalAt_hour,23.0,22.0,19.0,24.0,22.0,24.0,19.0
legs1_departureAt_day_period,35.0,15.0,17.0,21.0,22.0,35.0,15.0
miniRules0_monetaryAmount,48.0,15.0,16.0,9.0,22.0,48.0,9.0
companyID_loo_mean_taxes,21.0,21.0,22.0,26.0,22.5,26.0,21.0
