feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_fee_rank,4883.0,0.0,9.823712348937988,76.0,1190.5811767578125,95.0,0.0
legs1_is_min_transfers,95.0,136.0,264.6999206542969,1.0,41394.12109375,0.0,0.0
total_is_min_transfers,207.0,111.0,316.20123291015625,0.0,40311.66015625,1.0,0.0
price_per_duration_rank,4589.0,1.0,9.06683349609375,99.0,1038.55419921875,106.0,1.0
price_percentile,4504.0,2.0,9.796656608581543,78.0,1513.119140625,73.0,2.0
legs0_is_min_transfers,80.0,143.0,199.3840789794922,2.0,39732.0390625,2.0,2.0
legs0_is_direct,1.0,205.0,30.821306228637695,13.0,21869.568359375,3.0,3.0
legs0_segments0_flightNumber,4411.0,3.0,8.381182670593262,135.0,1006.5944213867188,114.0,3.0
total_num_transfers,8.0,185.0,147.74737548828125,3.0,9887.4375,11.0,3.0
pricingInfo_isAccessTP,450.0,84.0,22.247949600219727,21.0,14658.7255859375,4.0,4.0
price_minus_fee_rank,4376.0,4.0,23.59595489501953,17.0,2575.8994140625,38.0,4.0
is_round_trip,1.0,204.0,88.87423706054688,4.0,1471.8321533203125,77.0,4.0
legs0_weighted_mean_cabin,71.0,147.0,56.70335388183594,6.0,14051.56640625,5.0,5.0
price_per_duration,4347.0,5.0,9.332549095153809,90.0,1871.2178955078125,60.0,5.0
legs1_num_transfers_rank,52.0,153.0,66.00341796875,5.0,12414.203125,7.0,5.0
price_from_median_zscore,4329.0,6.0,14.124958992004395,35.0,1842.315185546875,62.0,6.0
has_access_tp,281.0,103.0,21.775287628173828,22.0,12427.9716796875,6.0,6.0
totalPrice_rank,4100.0,7.0,14.240304946899414,34.0,1859.23486328125,61.0,7.0
total_num_transfers_rank,135.0,126.0,54.857147216796875,7.0,9206.86328125,12.0,7.0
legs0_mean_cabin,46.0,157.0,53.472686767578125,8.0,12161.013671875,9.0,8.0
legs0_segments0_cabinClass,82.0,141.0,31.455677032470703,12.0,12235.3466796875,8.0,8.0
legs0_departureAt_hour,3664.0,8.0,10.210088729858398,69.0,2332.739990234375,48.0,8.0
baggage_total_rank,835.0,60.0,36.254302978515625,9.0,6123.703125,16.0,9.0
total_duration_rank,3641.0,9.0,10.075807571411133,72.0,1552.3427734375,70.0,9.0
legs0_max_duration_cabin,45.0,159.0,32.906227111816406,11.0,11554.8740234375,10.0,10.0
days_before_departure,3603.0,10.0,8.22776985168457,150.0,784.9157104492188,146.0,10.0
legs1_segments1_operatingCarrier_code,7.0,189.0,35.29362869262695,10.0,707.8645629882812,155.0,10.0
price_per_fee,3496.0,11.0,9.521393775939941,86.0,1265.7760009765625,86.0,11.0
price_per_tax,3462.0,12.0,8.16452693939209,155.0,876.1940307617188,129.0,12.0
legs0_departureAt_business_time,482.0,80.0,14.656444549560547,30.0,7302.2568359375,13.0,13.0
group_size,3434.0,13.0,7.788174152374268,173.0,699.2613525390625,159.0,13.0
legs0_segments0_baggageAllowance_weightMeasurementType,9.0,181.0,28.101850509643555,14.0,2087.861572265625,54.0,14.0
legs0_arrivalAt_hour,3414.0,14.0,9.747303009033203,79.0,2147.60791015625,51.0,14.0
legs1_segments1_departureFrom_airport_iata,3.0,193.0,9.734711647033691,80.0,6825.40673828125,14.0,14.0
legs0_segments0_baggageAllowance_quantity,242.0,106.0,24.32796287536621,15.0,5816.2490234375,18.0,15.0
leg0_view_diff_mean,3359.0,15.0,8.061395645141602,162.0,802.3023071289062,141.0,15.0
both_legs_carrier_all_same,220.0,107.0,22.806793212890625,18.0,6214.8623046875,15.0,15.0
all_view_diff_mean,3035.0,16.0,8.678001403808594,113.0,874.1375732421875,131.0,16.0
miniRules0_monetaryAmount,281.0,102.0,23.834657669067383,16.0,935.0733032226562,121.0,16.0
unmatched_duration_rank,2961.0,17.0,9.57100772857666,83.0,1102.3262939453125,100.0,17.0
legs1_departureAt_day_period,346.0,94.0,14.337608337402344,33.0,5921.88916015625,17.0,17.0
