feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_fee_rank,7951.0,0.0,10.16281795501709,80.0,1830.8245849609375,88.0,0.0
total_is_min_transfers,235.0,126.0,809.4979248046875,0.0,81321.015625,0.0,0.0
legs0_is_min_transfers,111.0,146.0,633.783935546875,1.0,69910.2265625,1.0,1.0
price_per_duration_rank,7777.0,1.0,9.05939769744873,110.0,1417.9576416015625,106.0,1.0
legs1_is_min_transfers,86.0,152.0,553.2437133789062,2.0,65292.8125,2.0,2.0
price_percentile,7414.0,2.0,11.724295616149902,56.0,3054.797119140625,63.0,2.0
pricingInfo_isAccessTP,639.0,93.0,28.68229103088379,11.0,23651.552734375,3.0,3.0
price_minus_fee_rank,7374.0,3.0,17.175230026245117,26.0,3433.002685546875,54.0,3.0
both_legs_direct,6.0,198.0,123.09940338134766,3.0,23370.603515625,4.0,3.0
total_num_transfers_rank,268.0,118.0,91.21916961669922,4.0,7798.025390625,21.0,4.0
price_per_duration,7367.0,4.0,10.326788902282715,75.0,2749.345703125,71.0,4.0
legs1_num_transfers_rank,106.0,148.0,84.27403259277344,5.0,20576.396484375,5.0,5.0
price_from_median_zscore,7344.0,5.0,9.269440650939941,102.0,1540.98779296875,103.0,5.0
legs0_num_transfers_rank,181.0,135.0,55.19455337524414,6.0,14235.697265625,9.0,6.0
has_access_tp,382.0,110.0,26.035634994506836,13.0,19873.990234375,6.0,6.0
legs0_segments0_flightNumber,6808.0,6.0,8.131521224975586,157.0,1569.4832763671875,99.0,6.0
baggage_total_rank,1099.0,72.0,39.66254425048828,7.0,10823.841796875,12.0,7.0
both_legs_carrier_all_same,231.0,128.0,37.07703399658203,9.0,16784.0,7.0,7.0
totalPrice_rank,6622.0,7.0,10.495967864990234,72.0,2233.220703125,78.0,7.0
legs0_departureAt_hour,6465.0,8.0,9.731711387634277,90.0,3037.230224609375,64.0,8.0
legs0_mean_cabin,54.0,163.0,23.047901153564453,18.0,16492.966796875,8.0,8.0
total_num_transfers,17.0,187.0,37.339717864990234,8.0,10343.419921875,13.0,8.0
group_size,6355.0,9.0,7.330774784088135,188.0,674.1758422851562,175.0,9.0
legs0_weighted_mean_cabin,75.0,158.0,25.341175079345703,14.0,12033.2880859375,10.0,10.0
legs0_arrivalAt_hour,5903.0,10.0,8.674745559692383,123.0,2188.917236328125,79.0,10.0
legs1_weighted_mean_cabin,30.0,177.0,30.93621826171875,10.0,7900.40380859375,19.0,10.0
price_per_tax,5864.0,11.0,8.145748138427734,156.0,1029.2156982421875,150.0,11.0
total_weighted_mean_cabin,207.0,129.0,28.467905044555664,12.0,11167.2548828125,11.0,11.0
days_before_departure,5842.0,12.0,8.248672485351562,148.0,1231.7537841796875,131.0,12.0
total_duration_rank,5552.0,13.0,9.99304485321045,84.0,1858.5101318359375,86.0,13.0
price_per_fee,5496.0,14.0,9.866073608398438,86.0,2247.295166015625,77.0,14.0
legs1_departureAt_business_time,432.0,106.0,12.64931869506836,49.0,9920.794921875,14.0,14.0
leg0_view_diff_mean,5294.0,15.0,7.972248077392578,162.0,1347.326171875,119.0,15.0
