feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_duration_rank,20663.0,0.0,9.39333438873291,83.0,2384.232177734375,117.0,0.0
total_is_min_transfers,304.0,160.0,3019.79443359375,0.0,249413.953125,0.0,0.0
legs0_is_min_transfers,185.0,173.0,1873.641845703125,1.0,192369.453125,1.0,1.0
price_per_duration,19157.0,1.0,12.981547355651855,53.0,5592.369140625,53.0,1.0
legs0_is_direct,10.0,213.0,602.12353515625,2.0,42658.02734375,6.0,2.0
price_from_median_zscore,18286.0,2.0,10.946006774902344,60.0,2809.13818359375,101.0,2.0
free_exchange,229.0,167.0,317.42041015625,4.0,62089.453125,2.0,2.0
price_per_fee_rank,17983.0,3.0,13.147440910339355,50.0,2480.45458984375,109.0,3.0
legs0_num_transfers_rank,629.0,138.0,324.66558837890625,3.0,29577.736328125,7.0,3.0
pricingInfo_isAccessTP,1204.0,113.0,56.012840270996094,11.0,61289.4609375,3.0,3.0
has_access_tp,678.0,134.0,57.16615295410156,10.0,58563.6796875,4.0,4.0
price_percentile,17746.0,4.0,16.08050537109375,37.0,5319.96240234375,58.0,4.0
legs1_is_min_transfers,206.0,171.0,114.25359344482422,8.0,58348.76171875,5.0,5.0
total_num_transfers,106.0,184.0,289.0759582519531,5.0,12362.0986328125,22.0,5.0
legs0_departureAt_hour,16668.0,5.0,8.711751937866211,113.0,3635.100341796875,82.0,5.0
legs0_segments0_flightNumber,16432.0,6.0,8.143746376037598,147.0,2422.29052734375,113.0,6.0
total_num_transfers_rank,602.0,140.0,262.02984619140625,6.0,16445.01171875,15.0,6.0
price_per_tax,15865.0,7.0,7.944952011108398,158.0,1432.6697998046875,178.0,7.0
free_cancel,376.0,156.0,134.6342315673828,7.0,13631.2470703125,19.0,7.0
legs1_num_transfers_rank,363.0,158.0,48.911415100097656,12.0,27976.666015625,8.0,8.0
legs0_arrivalAt_hour,15723.0,8.0,8.393694877624512,125.0,2779.571533203125,102.0,8.0
price_minus_fee_rank,15303.0,9.0,30.570236206054688,18.0,4556.97900390625,68.0,9.0
both_legs_direct,53.0,191.0,76.91365814208984,9.0,6304.92529296875,43.0,9.0
isAccess3D,885.0,125.0,14.781486511230469,41.0,27670.978515625,9.0,9.0
group_size,14882.0,10.0,7.86052131652832,164.0,1202.2359619140625,192.0,10.0
total_weighted_mean_cabin,732.0,131.0,47.779266357421875,13.0,18710.251953125,10.0,10.0
legs1_mean_cabin,54.0,190.0,8.416232109069824,121.0,17329.9609375,11.0,11.0
days_before_departure,14714.0,11.0,7.691481113433838,170.0,1600.6875,168.0,11.0
legs1_weighted_mean_cabin,69.0,189.0,7.6146559715271,177.0,17228.115234375,12.0,12.0
totalPrice_rank,14631.0,12.0,13.358569145202637,47.0,3016.94873046875,97.0,12.0
legs0_max_duration_cabin,322.0,159.0,18.69913673400879,31.0,16778.09375,13.0,13.0
price_per_fee,13502.0,13.0,9.184430122375488,92.0,4209.001953125,73.0,13.0
legs0_segments0_cabinClass,441.0,151.0,27.017499923706055,20.0,16578.919921875,14.0,14.0
log_price,13166.0,14.0,7.635388374328613,175.0,1873.6064453125,145.0,14.0
is_major_carrier,519.0,147.0,47.56722640991211,14.0,8883.84765625,32.0,14.0
legs0_weighted_mean_cabin,387.0,154.0,43.673404693603516,15.0,11197.740234375,24.0,15.0
