feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_per_fee_rank,1165.0,0.0,13.135390281677246,59.0,519.8826293945312,86.0,0.0
legs0_segments0_baggageAllowance_quantity,56.0,96.0,292.0959777832031,0.0,10877.5029296875,0.0,0.0
legs0_segments0_flightNumber,1017.0,1.0,12.233297348022461,68.0,727.3555297851562,64.0,1.0
legs0_segments1_arrivalTo_airport_city_iata,7.0,159.0,36.760318756103516,11.0,8479.90234375,1.0,1.0
legs1_segments0_baggageAllowance_quantity,21.0,128.0,173.05540466308594,1.0,7157.11962890625,4.0,1.0
legs1_is_min_transfers,13.0,146.0,61.797630310058594,7.0,7648.86279296875,2.0,2.0
baggage_total_rank,194.0,57.0,166.2545166015625,2.0,5897.81298828125,7.0,2.0
price_percentile,982.0,2.0,13.499582290649414,54.0,1098.1568603515625,41.0,2.0
legs0_is_min_transfers,16.0,135.0,41.303462982177734,10.0,7175.30029296875,3.0,3.0
baggage_total,36.0,113.0,105.84508514404297,3.0,4364.58447265625,10.0,3.0
legs1_segments0_flightNumber,900.0,3.0,10.893075942993164,88.0,685.1118774414062,68.0,3.0
price_per_tax,887.0,4.0,10.768062591552734,93.0,446.4759826660156,97.0,4.0
legs1_arrivalAt_day_period,84.0,79.0,65.72476959228516,4.0,5942.18505859375,6.0,4.0
price_minus_fee_rank,884.0,5.0,20.835582733154297,25.0,881.7315063476562,54.0,5.0
total_is_min_transfers,52.0,99.0,64.61012268066406,6.0,5973.18798828125,5.0,5.0
both_legs_direct,1.0,178.0,65.05520629882812,5.0,1984.2091064453125,26.0,5.0
price_from_median_zscore,860.0,6.0,13.060530662536621,61.0,655.29345703125,70.0,6.0
price_per_duration,858.0,7.0,14.508131980895996,45.0,951.819580078125,50.0,7.0
group_size,828.0,8.0,9.671602249145508,130.0,388.0511474609375,117.0,8.0
legs0_weighted_mean_cabin,6.0,161.0,47.0533447265625,8.0,5481.17578125,8.0,8.0
miniRules0_monetaryAmount,50.0,100.0,42.810245513916016,9.0,957.8948364257812,48.0,9.0
legs0_mean_cabin,17.0,132.0,26.18248176574707,19.0,4923.55224609375,9.0,9.0
price_per_duration_rank,799.0,9.0,10.287247657775879,108.0,358.3918151855469,128.0,9.0
all_view_diff_mean,772.0,10.0,10.705385208129883,94.0,394.5513610839844,113.0,10.0
legs0_segments0_cabinClass,12.0,147.0,27.563804626464844,18.0,3725.252197265625,11.0,11.0
legs0_departureAt_hour,758.0,11.0,16.507831573486328,37.0,1519.47119140625,35.0,11.0
both_legs_carrier_all_same,17.0,133.0,34.69453430175781,12.0,1809.193115234375,29.0,12.0
total_duration_rank,707.0,12.0,12.768203735351562,62.0,750.4284057617188,63.0,12.0
carrier0_pop,25.0,124.0,19.744773864746094,28.0,3711.625,12.0,12.0
carrier_pop_product,44.0,105.0,33.52268981933594,13.0,3540.9931640625,13.0,13.0
days_before_departure,697.0,13.0,9.37768268585205,144.0,327.62042236328125,136.0,13.0
legs0_arrivalAt_hour,691.0,14.0,14.118399620056152,48.0,1288.2353515625,38.0,14.0
legs1_arrivalAt_hour,506.0,29.0,30.97321891784668,14.0,2162.117431640625,22.0,14.0
has_fees,3.0,167.0,19.759614944458008,27.0,3364.837890625,14.0,14.0
miniRules1_statusInfos,7.0,157.0,30.963932037353516,15.0,1006.9268188476562,44.0,15.0
legs0_departureAt_business_time,121.0,67.0,28.90789794921875,16.0,3198.92431640625,15.0,15.0
price_per_fee,680.0,15.0,12.303214073181152,66.0,576.649658203125,80.0,15.0
leg1_view_diff_mean,673.0,16.0,9.95337200164795,119.0,415.40643310546875,108.0,16.0
