feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0.0,0.0,0.0,2.0,0.5,2.0,0.0
companyID_resid_legs0_arrivalAt_hour,0.0,1.0,0.0,2.0,0.75,2.0,0.0
companyID_resid_legs0_departureAt_hour,1.0,0.0,1.0,1.0,0.75,1.0,0.0
total_num_transfers_rank,1.0,1.0,0.0,3.0,1.25,3.0,0.0
legs0_num_transfers_rank,2.0,2.0,5.0,0.0,2.25,5.0,0.0
price_percentile,2.0,2.0,2.0,4.0,2.5,4.0,2.0
legs1_is_min_transfers,7.0,3.0,2.0,1.0,3.25,7.0,1.0
legs0_is_min_transfers,2.0,2.0,3.0,7.0,3.5,7.0,2.0
price_from_median_zscore,3.0,3.0,5.0,5.0,4.0,5.0,3.0
companyID_resid_totalPrice,4.0,5.0,7.0,6.0,5.5,7.0,4.0
price_per_duration_rank,10.0,4.0,3.0,8.0,6.25,10.0,3.0
totalPrice_rank,12.0,6.0,4.0,10.0,8.0,12.0,4.0
price_per_duration,5.0,7.0,11.0,14.0,9.25,14.0,5.0
legs0_segments0_flightNumber,8.0,9.0,12.0,9.0,9.5,12.0,8.0
companyID_resid_legs1_arrivalAt_hour,22.0,13.0,6.0,0.0,10.25,22.0,0.0
price_minus_fee_rank,17.0,8.0,8.0,11.0,11.0,17.0,8.0
free_exchange,4.0,12.0,21.0,8.0,11.25,21.0,4.0
pricingInfo_isAccessTP,5.0,8.0,8.0,24.0,11.25,24.0,5.0
price_per_fee_rank,15.0,10.0,9.0,12.0,11.5,15.0,9.0
legs0_weighted_mean_cabin,21.0,11.0,5.0,10.0,11.75,21.0,5.0
companyID_resid_total_num_transfers,16.0,6.0,8.0,19.0,12.25,19.0,6.0
legs0_segments0_baggageAllowance_quantity,17.0,19.0,13.0,0.0,12.25,19.0,0.0
price_per_fee,9.0,12.0,13.0,15.0,12.25,15.0,9.0
companyID_resid_taxes,6.0,14.0,15.0,16.0,12.75,16.0,6.0
price_per_tax,7.0,15.0,17.0,13.0,13.0,17.0,7.0
companyID_resid_legs1_departureAt_hour,25.0,16.0,10.0,3.0,13.5,25.0,3.0
legs0_mean_cabin,19.0,24.0,9.0,5.0,14.25,24.0,5.0
group_size,16.0,11.0,14.0,18.0,14.75,18.0,11.0
has_access_tp,6.0,9.0,9.0,37.0,15.25,37.0,6.0
baggage_total_rank,40.0,9.0,12.0,4.0,16.25,40.0,4.0
