feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
total_num_transfers_rank,141.0,130.0,389.93463134765625,1.0,46009.390625,0.0,0.0
total_is_min_transfers,83.0,139.0,424.2414245605469,0.0,44843.76171875,1.0,0.0
companyID_resid_legs0_arrivalAt_hour,4353.0,0.0,10.17489242553711,93.0,1477.2286376953125,85.0,0.0
companyID_resid_legs0_departureAt_hour,4164.0,1.0,10.344467163085938,86.0,2219.907470703125,51.0,1.0
price_percentile,3705.0,2.0,11.835777282714844,70.0,1703.2265625,67.0,2.0
legs1_is_min_transfers,21.0,176.0,353.644287109375,2.0,39871.6953125,2.0,2.0
legs0_is_min_transfers,12.0,181.0,293.8218688964844,3.0,38801.5859375,3.0,3.0
price_per_duration_rank,3698.0,3.0,8.806694030761719,146.0,1150.3289794921875,104.0,3.0
totalPrice_rank,3600.0,4.0,10.846796989440918,75.0,1421.5079345703125,88.0,4.0
legs1_num_transfers_rank,33.0,165.0,209.84030151367188,4.0,36654.96484375,4.0,4.0
legs0_weighted_mean_cabin,36.0,162.0,171.54429626464844,5.0,23517.861328125,6.0,5.0
price_from_median_zscore,3547.0,5.0,25.173856735229492,17.0,2836.245361328125,42.0,5.0
legs0_num_transfers_rank,22.0,174.0,170.0900115966797,6.0,31515.755859375,5.0,5.0
companyID_resid_legs1_arrivalAt_hour,3478.0,6.0,9.86270523071289,100.0,1534.0924072265625,79.0,6.0
companyID_resid_totalPrice,3382.0,7.0,12.152566909790039,66.0,1214.284912109375,101.0,7.0
legs0_segments0_cabinClass,34.0,164.0,159.85354614257812,7.0,16067.2919921875,7.0,7.0
companyID_resid_total_num_transfers,286.0,105.0,81.83551788330078,8.0,10200.0966796875,11.0,8.0
price_minus_fee_rank,3205.0,8.0,8.964299201965332,137.0,834.3007202148438,132.0,8.0
pricingInfo_isAccessTP,395.0,88.0,23.945844650268555,21.0,12820.6416015625,8.0,8.0
price_per_fee_rank,3189.0,9.0,7.968543529510498,180.0,698.2875366210938,146.0,9.0
legs0_mean_cabin,15.0,179.0,55.451602935791016,9.0,9524.5556640625,13.0,9.0
has_access_tp,196.0,115.0,30.871315002441406,14.0,12728.044921875,9.0,9.0
companyID_resid_legs1_departureAt_hour,3136.0,10.0,12.463128089904785,60.0,2957.841796875,40.0,10.0
legs1_segments0_baggageAllowance_weightMeasurementType,7.0,188.0,50.14145278930664,10.0,578.4905395507812,170.0,10.0
legs0_max_duration_cabin,7.0,189.0,49.10504913330078,11.0,12064.8251953125,10.0,10.0
price_per_duration,3131.0,11.0,10.61211109161377,81.0,1547.216064453125,78.0,11.0
legs0_departureAt_business_time,362.0,92.0,20.349689483642578,28.0,10023.2060546875,12.0,12.0
baggage_total_rank,654.0,68.0,48.00409698486328,12.0,6753.21044921875,15.0,12.0
legs0_segments0_flightNumber,2930.0,12.0,8.867124557495117,142.0,1122.1136474609375,108.0,12.0
legs0_segments0_baggageAllowance_quantity,196.0,114.0,37.93112564086914,13.0,6447.662109375,16.0,13.0
price_per_fee,2706.0,13.0,10.393794059753418,85.0,1394.487548828125,92.0,13.0
group_size,2680.0,14.0,8.304877281188965,170.0,623.2665405273438,156.0,14.0
legs0_segments1_departureFrom_airport_iata,2.0,206.0,12.74437427520752,57.0,8002.49951171875,14.0,14.0
companyID_resid_taxes,2679.0,15.0,9.385634422302246,117.0,1038.1910400390625,114.0,15.0
companyID_resid_cabin_class,983.0,54.0,25.56182098388672,15.0,5090.00927734375,19.0,15.0
both_legs_carrier_all_same,156.0,126.0,25.35951805114746,16.0,6018.728515625,17.0,16.0
days_before_departure,2646.0,16.0,8.52330493927002,164.0,755.270751953125,138.0,16.0
price_per_tax,2629.0,17.0,8.963020324707031,138.0,727.3826904296875,142.0,17.0
legs0_segments1_cabinClass,9.0,185.0,13.778843879699707,49.0,5676.4072265625,18.0,18.0
companyID_mode_has_transfer,8.0,187.0,24.980745315551758,18.0,1577.8162841796875,76.0,18.0
all_view_diff_mean,2470.0,18.0,9.062396049499512,130.0,935.0010986328125,122.0,18.0
total_weighted_mean_cabin,131.0,131.0,24.623119354248047,19.0,3090.1630859375,38.0,19.0
leg0_view_diff_mean,2431.0,19.0,8.7749662399292,150.0,759.0496215820312,137.0,19.0
total_fees,404.0,87.0,24.053876876831055,20.0,3534.1826171875,28.0,20.0
legs0_segments0_operatingCarrier_code_in_ff,147.0,128.0,10.543180465698242,82.0,5016.91943359375,20.0,20.0
companyID_resid_legs0_duration,2415.0,20.0,9.515069007873535,111.0,1222.8421630859375,100.0,20.0
free_exchange,45.0,157.0,20.7367000579834,26.0,4948.27587890625,21.0,21.0
companyID_resid_legs1_duration,2222.0,21.0,9.479082107543945,113.0,1253.3526611328125,97.0,21.0
legs0_arrivalAt_hour,2185.0,22.0,10.11925220489502,95.0,1790.4150390625,64.0,22.0
free_cancel,66.0,146.0,20.15756607055664,29.0,4158.412109375,22.0,22.0
legs1_segments1_seatsAvailable,9.0,184.0,23.53900909423828,22.0,608.4931030273438,162.0,22.0
total_duration,1033.0,53.0,22.76142120361328,23.0,3483.619140625,29.0,23.0
legs1_segments1_key_view_count,10.0,182.0,10.884465217590332,72.0,4030.07275390625,23.0,23.0
legs0_departureAt_hour,2082.0,23.0,10.340316772460938,87.0,2534.512451171875,46.0,23.0
duration_ratio,2082.0,24.0,8.814204216003418,145.0,1054.91455078125,113.0,24.0
companyID_mode_cabin_class,70.0,144.0,21.31589698791504,24.0,788.2483520507812,136.0,24.0
total_fees_rank,562.0,78.0,12.215129852294922,65.0,3811.873779296875,24.0,24.0
companyID_loo_selected_count,2067.0,25.0,8.098140716552734,177.0,640.3134155273438,153.0,25.0
legs1_segments1_baggageAllowance_weightMeasurementType,3.0,197.0,21.183820724487305,25.0,1571.11865234375,77.0,25.0
legs0_segments0_key_view_count,593.0,73.0,19.62564468383789,30.0,3778.3544921875,25.0,25.0
legs0_departureAt_day_period,266.0,108.0,14.763033866882324,43.0,3665.4970703125,26.0,26.0
log_price,1882.0,26.0,8.885444641113281,141.0,617.82666015625,159.0,26.0
price_minus_fee,1875.0,27.0,9.034223556518555,133.0,588.37353515625,169.0,27.0
legs0_segments0_baggageAllowance_weightMeasurementType,12.0,180.0,20.3504581451416,27.0,975.290771484375,120.0,27.0
legs1_departureAt_day_period,195.0,116.0,10.86065673828125,74.0,3579.338134765625,27.0,27.0
companyID_total_occurrences,1860.0,28.0,8.82902717590332,144.0,690.6318359375,149.0,28.0
companyID_loo_mean_legs0_departureAt_hour,1850.0,29.0,9.167476654052734,125.0,695.904296875,148.0,29.0
legs1_segments0_flightNumber,1831.0,30.0,9.32450008392334,120.0,986.9776611328125,118.0,30.0
legs1_departureAt_hour,1582.0,39.0,12.014542579650879,68.0,3437.325927734375,30.0,30.0
leg1_flight_view_count,549.0,79.0,15.672259330749512,37.0,3366.56689453125,31.0,31.0
companyID_loo_mean_taxes,1823.0,31.0,8.96144962310791,139.0,635.7103881835938,155.0,31.0
total_num_transfers,2.0,205.0,18.812969207763672,31.0,1520.9713134765625,82.0,31.0
legs1_segments0_baggageAllowance_quantity,177.0,118.0,18.06242561340332,32.0,2871.153564453125,41.0,32.0
legs1_main_carrier,158.0,125.0,10.434157371520996,84.0,3278.981689453125,32.0,32.0
leg1_view_diff_mean,1782.0,32.0,10.297257423400879,89.0,1759.2611083984375,65.0,32.0
companyID_loo_mean_legs0_arrivalAt_hour,1750.0,33.0,8.924678802490234,140.0,621.5061645507812,157.0,33.0
miniRules1_monetaryAmount,310.0,98.0,10.268131256103516,90.0,3244.208984375,33.0,33.0
legs1_segments1_duration,26.0,170.0,17.29336166381836,33.0,1901.626708984375,60.0,33.0
companyID_loo_mean_legs1_departureAt_hour,1740.0,34.0,8.778820991516113,149.0,655.4716186523438,151.0,34.0
baggage_total,306.0,99.0,17.232563018798828,34.0,3169.56884765625,35.0,34.0
isAccess3D,213.0,112.0,9.575321197509766,109.0,3243.64013671875,34.0,34.0
companyID_loo_mean_legs1_arrivalAt_hour,1705.0,35.0,9.32725715637207,119.0,636.057861328125,154.0,35.0
isVip,290.0,103.0,16.661436080932617,35.0,1128.2435302734375,107.0,35.0
companyID_loo_mean_totalPrice,1677.0,36.0,10.339757919311523,88.0,993.4308471679688,116.0,36.0
has_fees,27.0,168.0,14.69637393951416,44.0,3168.668701171875,36.0,36.0
legs1_segments1_duration_rank,46.0,155.0,15.887742042541504,36.0,206.13157653808594,198.0,36.0
legs1_segments0_marketingCarrier_code,90.0,138.0,15.642821311950684,38.0,3160.483642578125,37.0,37.0
companyID_loo_mean_total_num_transfers,1662.0,37.0,8.604283332824707,158.0,615.3269653320312,160.0,37.0
tax_rate,1644.0,38.0,8.568660736083984,159.0,874.3565063476562,128.0,38.0
legs1_segments0_key_view_count,570.0,77.0,15.590936660766602,39.0,2383.29833984375,49.0,39.0
legs1_duration,439.0,85.0,15.139695167541504,41.0,3074.54345703125,39.0,39.0
companyID_loo_mean_cabin_class,1580.0,40.0,9.968947410583496,97.0,594.5157470703125,166.0,40.0
has_baggage,59.0,147.0,15.472164154052734,40.0,2048.916748046875,55.0,40.0
legs0_segments0_seatsAvailable,1495.0,41.0,7.931249141693115,185.0,446.6944274902344,185.0,41.0
legs0_segments1_seatsAvailable,9.0,183.0,14.998441696166992,42.0,1598.49365234375,74.0,42.0
group_size_log,1475.0,42.0,8.56235122680664,160.0,530.4917602539062,176.0,42.0
companyID_loo_mean_legs1_duration,1459.0,43.0,8.666263580322266,156.0,649.33642578125,152.0,43.0
leg0_flight_view_count,670.0,65.0,14.465770721435547,46.0,2742.16455078125,43.0,43.0
legs0_arrivalAt_day_period,240.0,111.0,12.084680557250977,67.0,2621.311767578125,44.0,44.0
