feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
companyID_resid_legs0_departureAt_hour,8978.0,0.0,9.101570129394531,105.0,2920.98974609375,62.0,0.0
total_is_min_transfers,86.0,157.0,1166.99755859375,0.0,84858.375,0.0,0.0
companyID_resid_legs0_arrivalAt_hour,8910.0,1.0,9.472900390625,94.0,2485.84521484375,80.0,1.0
total_num_transfers_rank,146.0,141.0,1001.4198608398438,1.0,84011.6953125,1.0,1.0
legs0_num_transfers_rank,47.0,173.0,671.0748901367188,2.0,45436.7109375,4.0,2.0
legs0_is_min_transfers,17.0,191.0,590.5919799804688,4.0,52987.1875,2.0,2.0
price_percentile,7877.0,2.0,11.747957229614258,57.0,3034.456298828125,60.0,2.0
legs1_is_min_transfers,14.0,194.0,651.4534912109375,3.0,47905.8828125,3.0,3.0
price_from_median_zscore,7434.0,3.0,14.428069114685059,39.0,2799.35693359375,68.0,3.0
price_per_duration_rank,7174.0,4.0,8.330021858215332,150.0,1523.6038818359375,118.0,4.0
legs1_num_transfers_rank,15.0,192.0,544.6017456054688,5.0,34631.1953125,5.0,5.0
companyID_resid_totalPrice,6627.0,5.0,9.706648826599121,90.0,2766.999755859375,70.0,5.0
companyID_resid_total_num_transfers,547.0,108.0,132.3470001220703,6.0,13465.6884765625,13.0,6.0
totalPrice_rank,6363.0,6.0,10.799193382263184,72.0,1801.1246337890625,102.0,6.0
both_legs_carrier_all_same,199.0,134.0,46.6920051574707,10.0,28160.21875,6.0,6.0
both_legs_direct,7.0,202.0,83.20069885253906,7.0,26253.84765625,7.0,7.0
price_per_duration,6324.0,7.0,10.61021614074707,73.0,2556.554931640625,77.0,7.0
pricingInfo_isAccessTP,644.0,101.0,23.18351936340332,21.0,21999.76171875,8.0,8.0
price_minus_fee_rank,6201.0,8.0,10.121685028076172,80.0,1409.589111328125,125.0,8.0
total_num_transfers,14.0,193.0,50.213348388671875,8.0,17008.07421875,10.0,8.0
baggage_total_rank,937.0,82.0,47.10771942138672,9.0,11726.66015625,15.0,9.0
legs0_segments0_flightNumber,6066.0,9.0,8.019351959228516,169.0,1681.4105224609375,108.0,9.0
has_access_tp,403.0,116.0,30.34941864013672,15.0,20263.150390625,9.0,9.0
price_per_fee_rank,5994.0,10.0,7.629038333892822,178.0,1353.6343994140625,128.0,10.0
group_size,5456.0,11.0,7.443110942840576,188.0,653.0225830078125,182.0,11.0
legs1_segments0_baggageAllowance_weightMeasurementType,5.0,204.0,36.83723068237305,11.0,1375.0341796875,127.0,11.0
legs0_weighted_mean_cabin,35.0,177.0,27.66302490234375,16.0,15004.232421875,11.0,11.0
free_exchange,97.0,151.0,31.84527587890625,12.0,12817.962890625,14.0,12.0
legs1_max_duration_cabin,17.0,190.0,25.191255569458008,18.0,14789.1474609375,12.0,12.0
price_per_fee,5440.0,12.0,11.116310119628906,68.0,2814.91259765625,67.0,12.0
companyID_resid_legs1_arrivalAt_hour,5368.0,13.0,8.996296882629395,110.0,2834.181884765625,66.0,13.0
total_weighted_mean_cabin,107.0,149.0,31.465822219848633,13.0,10749.6826171875,16.0,13.0
has_fees,57.0,169.0,31.1541805267334,14.0,8163.78466796875,22.0,14.0
companyID_resid_taxes,5233.0,14.0,8.473997116088867,139.0,1751.2568359375,106.0,14.0
price_per_tax,5170.0,15.0,8.412150382995605,147.0,1045.8785400390625,159.0,15.0
companyID_resid_legs1_departureAt_hour,5067.0,16.0,10.58692455291748,74.0,4085.327880859375,42.0,16.0
total_duration,2074.0,49.0,26.59706687927246,17.0,6241.8359375,28.0,17.0
total_duration_fastest,308.0,124.0,17.93140411376953,27.0,10568.474609375,17.0,17.0
leg0_view_diff_mean,4993.0,17.0,8.181696891784668,161.0,1336.5523681640625,129.0,17.0
companyID_resid_legs0_duration,4957.0,18.0,8.593897819519043,131.0,2329.80859375,86.0,18.0
legs1_weighted_mean_cabin,29.0,180.0,17.058317184448242,30.0,9976.15625,18.0,18.0
days_before_departure,4946.0,19.0,8.105367660522461,167.0,1237.8568115234375,138.0,19.0
