feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
companyID_resid_legs0_arrivalAt_hour,22056.0,0.0,10.000008583068848,88.0,5404.88427734375,56.0,0.0
total_is_min_transfers,140.0,182.0,3475.874267578125,0.0,147073.890625,0.0,0.0
total_num_transfers_rank,280.0,167.0,2294.3447265625,1.0,129773.203125,1.0,1.0
companyID_resid_legs0_departureAt_hour,21102.0,1.0,9.494806289672852,94.0,6203.47412109375,47.0,1.0
price_percentile,20003.0,2.0,20.59996795654297,33.0,5013.98828125,61.0,2.0
legs0_num_transfers_rank,145.0,181.0,2103.259765625,3.0,76655.453125,2.0,2.0
legs0_is_min_transfers,70.0,195.0,2205.21533203125,2.0,68648.6328125,3.0,2.0
price_from_median_zscore,19442.0,3.0,15.659073829650879,44.0,3671.744384765625,93.0,3.0
free_exchange,268.0,169.0,416.13525390625,4.0,67642.46875,4.0,4.0
companyID_resid_totalPrice,18074.0,4.0,11.974990844726562,66.0,5978.1669921875,50.0,4.0
pricingInfo_isAccessTP,1154.0,119.0,52.59059143066406,15.0,63664.421875,5.0,5.0
companyID_mode_has_transfer,424.0,158.0,243.15597534179688,5.0,9305.154296875,25.0,5.0
price_per_duration,17049.0,5.0,12.137275695800781,64.0,4737.51123046875,67.0,5.0
companyID_resid_taxes,14597.0,6.0,8.794844627380371,119.0,6064.08056640625,49.0,6.0
companyID_mode_transfer_num,428.0,157.0,150.06663513183594,6.0,6481.693359375,43.0,6.0
has_access_tp,738.0,134.0,60.10676956176758,13.0,49651.46875,6.0,6.0
price_per_tax,14413.0,7.0,7.900121688842773,166.0,1474.646240234375,197.0,7.0
legs1_is_min_transfers,81.0,192.0,134.64691162109375,7.0,30963.271484375,7.0,7.0
isAccess3D,843.0,127.0,14.268115997314453,51.0,30224.775390625,8.0,8.0
free_cancel,337.0,164.0,97.77836608886719,8.0,15261.6484375,15.0,8.0
legs0_segments0_flightNumber,14350.0,8.0,8.108999252319336,154.0,2388.73681640625,128.0,8.0
legs1_num_transfers_rank,132.0,183.0,84.97142028808594,9.0,17778.09375,13.0,9.0
price_per_fee,14239.0,9.0,11.96549129486084,67.0,5034.8115234375,60.0,9.0
