feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
companyID_resid_legs1_arrivalAt_hour,1947.0,0.0,12.05687141418457,54.0,1204.0743408203125,53.0,0.0
legs0_segments0_baggageAllowance_quantity,89.0,108.0,227.23793029785156,0.0,9010.3203125,6.0,0.0
legs0_num_transfers_rank,7.0,166.0,25.860864639282227,19.0,11548.9365234375,0.0,0.0
baggage_total,125.0,90.0,157.7460479736328,1.0,9261.3974609375,4.0,1.0
companyID_resid_legs0_departureAt_hour,1821.0,1.0,11.24026107788086,61.0,1501.708251953125,45.0,1.0
legs1_is_min_transfers,5.0,170.0,50.169090270996094,5.0,11163.369140625,1.0,1.0
legs1_segments0_baggageAllowance_quantity,78.0,114.0,104.0776138305664,2.0,7648.642578125,9.0,2.0
companyID_resid_legs0_arrivalAt_hour,1772.0,2.0,10.249643325805664,73.0,845.4064331054688,74.0,2.0
total_is_min_transfers,51.0,125.0,53.195777893066406,3.0,10311.3203125,2.0,2.0
companyID_resid_legs1_departureAt_hour,1738.0,3.0,16.76544761657715,32.0,1727.3148193359375,39.0,3.0
total_num_transfers_rank,90.0,107.0,37.33970642089844,9.0,10158.357421875,3.0,3.0
baggage_total_rank,329.0,57.0,51.25452423095703,4.0,4806.62744140625,12.0,4.0
price_percentile,1656.0,4.0,11.756999015808105,58.0,1309.0,49.0,4.0
price_from_median_zscore,1535.0,5.0,11.831596374511719,57.0,982.2242431640625,65.0,5.0
legs0_mean_cabin,12.0,153.0,36.073116302490234,13.0,9174.2978515625,5.0,5.0
companyID_resid_totalPrice,1466.0,6.0,10.42913818359375,70.0,721.6058959960938,79.0,6.0
both_legs_direct,2.0,182.0,49.39042663574219,6.0,3143.017578125,21.0,6.0
legs1_mean_cabin,6.0,168.0,40.77526092529297,7.0,4515.3720703125,14.0,7.0
legs1_segments0_flightNumber,1389.0,7.0,10.27340316772461,72.0,910.2725219726562,69.0,7.0
legs0_is_min_transfers,3.0,176.0,19.98942756652832,24.0,8902.1650390625,7.0,7.0
price_per_duration_rank,1315.0,8.0,8.758962631225586,119.0,608.7393798828125,89.0,8.0
free_exchange,13.0,151.0,40.34574508666992,8.0,7908.5029296875,8.0,8.0
legs0_segments0_flightNumber,1307.0,9.0,10.078930854797363,76.0,751.1533203125,77.0,9.0
legs0_weighted_mean_cabin,28.0,136.0,36.91229248046875,10.0,7374.20849609375,10.0,10.0
totalPrice_rank,1290.0,10.0,10.468392372131348,69.0,636.075927734375,84.0,10.0
legs0_departureAt_business_time,164.0,77.0,23.562763214111328,21.0,5512.9931640625,11.0,11.0
price_minus_fee_rank,1269.0,11.0,9.002379417419434,108.0,620.9271850585938,88.0,11.0
legs0_segments1_seatsAvailable,2.0,180.0,36.54020690917969,11.0,1594.3775634765625,41.0,11.0
legs0_segments1_key_view_count,12.0,154.0,36.234859466552734,12.0,814.4573364257812,75.0,12.0
price_per_fee_rank,1256.0,12.0,8.215903282165527,154.0,586.5780639648438,97.0,12.0
legs0_segments1_arrivalTo_airport_city_iata,4.0,172.0,30.2038516998291,17.0,4713.99072265625,13.0,13.0
price_per_tax,1241.0,13.0,9.49237060546875,90.0,570.2090454101562,99.0,13.0
legs1_segments0_baggageAllowance_weightMeasurementType,1.0,185.0,35.58708572387695,14.0,182.3812713623047,173.0,14.0
price_per_duration,1233.0,14.0,11.441940307617188,60.0,1200.9739990234375,54.0,14.0
price_per_fee,1175.0,15.0,9.628634452819824,85.0,640.9415893554688,83.0,15.0
legs0_max_duration_cabin,12.0,152.0,33.93000030517578,15.0,4449.6328125,15.0,15.0
legs1_weighted_mean_cabin,7.0,164.0,24.215818405151367,20.0,4349.169921875,16.0,16.0
companyID_resid_taxes,1165.0,16.0,9.945452690124512,78.0,631.0267944335938,86.0,16.0
