feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs0_segments0_flightNumber,7476.0,0.0,4.026442527770996,127.0,845.4810180664062,57.0,0.0
total_num_transfers_rank,106.0,119.0,358.03546142578125,1.0,39941.3203125,0.0,0.0
total_is_min_transfers,30.0,140.0,382.9537658691406,0.0,39593.0625,1.0,0.0
duration_percentile,6124.0,1.0,4.284658908843994,108.0,636.7415771484375,90.0,1.0
legs1_is_min_transfers,1.0,184.0,47.67596435546875,4.0,39498.92578125,2.0,2.0
legs1_num_transfers_rank,10.0,155.0,156.3650665283203,2.0,38550.4296875,3.0,2.0
price_per_duration,5961.0,2.0,4.34065055847168,99.0,660.0202026367188,84.0,2.0
legs0_num_transfers_rank,21.0,145.0,51.733089447021484,3.0,35845.734375,5.0,3.0
price_per_fee_rank,5850.0,3.0,3.8911728858947754,137.0,461.52197265625,126.0,3.0
price_minus_fee_rank,5831.0,4.0,4.094162464141846,123.0,571.5535278320312,106.0,4.0
legs0_is_min_transfers,7.0,164.0,23.576745986938477,5.0,37137.76953125,4.0,4.0
price_per_duration_rank,5759.0,5.0,4.208039283752441,115.0,647.591064453125,88.0,5.0
price_rank_times_duration_rank,5759.0,6.0,4.677247524261475,81.0,699.3748168945312,81.0,6.0
legs0_weighted_mean_cabin,10.0,154.0,19.993873596191406,6.0,14640.326171875,6.0,6.0
legs0_max_duration_cabin,10.0,153.0,14.389215469360352,7.0,9356.0810546875,8.0,7.0
price_ratio_group_max,5709.0,7.0,3.9541680812835693,134.0,475.5741271972656,124.0,7.0
has_access_tp,82.0,122.0,8.599128723144531,27.0,9397.353515625,7.0,7.0
days_before_departure,5446.0,8.0,4.208613872528076,114.0,465.2079162597656,125.0,8.0
both_legs_carrier_all_same,153.0,112.0,14.203575134277344,8.0,5008.15087890625,12.0,8.0
pricingInfo_isAccessTP,544.0,83.0,12.136528015136719,10.0,8530.94140625,9.0,9.0
legs0_segments0_baggageAllowance_quantity,166.0,110.0,12.565603256225586,9.0,3173.326171875,15.0,9.0
price_from_median_zscore,5384.0,9.0,4.045966148376465,126.0,526.25927734375,115.0,9.0
legs0_arrivalAt_hour,5384.0,10.0,4.387441635131836,98.0,813.3733520507812,61.0,10.0
legs0_segments0_operatingCarrier_code_in_ff,230.0,99.0,5.2222113609313965,65.0,5797.861328125,10.0,10.0
legs0_departureAt_hour,5343.0,11.0,4.597165107727051,84.0,1154.2393798828125,36.0,11.0
legs0_segments0_cabinClass,16.0,148.0,11.988959312438965,12.0,5673.283203125,11.0,11.0
is_popular_route,37.0,137.0,12.027886390686035,11.0,494.9830017089844,120.0,11.0
companyID,5240.0,12.0,4.745668888092041,78.0,538.2922973632812,109.0,12.0
