feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs1_segments0_flightNumber,3633.0,0.0,3.8716840744018555,102.0,504.747802734375,48.0,0.0
total_is_min_transfers,12.0,131.0,87.35699462890625,0.0,13149.734375,0.0,0.0
total_num_transfers_rank,49.0,110.0,64.35685729980469,1.0,11752.7001953125,1.0,1.0
legs0_segments0_flightNumber,3554.0,1.0,3.764230728149414,108.0,377.23883056640625,76.0,1.0
legs0_weighted_mean_cabin,18.0,123.0,11.024473190307617,14.0,8436.763671875,2.0,2.0
price_minus_fee_rank,2784.0,2.0,3.9589436054229736,98.0,436.8744201660156,58.0,2.0
has_baggage,7.0,138.0,45.423519134521484,2.0,1687.947509765625,16.0,2.0
baggage_total,103.0,96.0,31.93646240234375,3.0,3226.474853515625,7.0,3.0
legs1_segments0_marketingCarrier_code,18.0,124.0,14.481096267700195,7.0,7098.06201171875,3.0,3.0
price_ratio_group_max,2745.0,3.0,3.8812105655670166,99.0,383.303955078125,74.0,3.0
baggage_total_rank,413.0,58.0,29.08442497253418,4.0,2811.93017578125,9.0,4.0
legs1_main_carrier,109.0,94.0,13.910350799560547,9.0,5226.9609375,4.0,4.0
companyID,2642.0,4.0,4.345911026000977,73.0,318.9356384277344,103.0,4.0
legs0_mean_cabin,5.0,142.0,17.93459701538086,5.0,4709.4716796875,5.0,5.0
price_per_fee_rank,2433.0,5.0,3.6967804431915283,114.0,345.7657470703125,92.0,5.0
legs1_mean_cabin,1.0,151.0,3.3376917839050293,126.0,3440.046875,6.0,6.0
price_per_duration,2391.0,6.0,4.7448601722717285,51.0,506.5661926269531,47.0,6.0
total_fees,110.0,93.0,14.872679710388184,6.0,1682.7392578125,17.0,6.0
price_per_duration_rank,2376.0,7.0,3.9703481197357178,97.0,344.0662536621094,93.0,7.0
legs1_max_duration_cabin,2.0,148.0,14.454939842224121,8.0,2674.76806640625,10.0,8.0
legs1_weighted_mean_cabin,4.0,144.0,9.029207229614258,19.0,3171.31640625,8.0,8.0
price_rank_times_duration_rank,2357.0,8.0,5.224533557891846,39.0,674.527099609375,34.0,8.0
legs1_departureAt_hour,2334.0,9.0,4.647758483886719,58.0,642.4609985351562,37.0,9.0
price_percentile,2313.0,10.0,4.654189586639404,57.0,486.5277099609375,50.0,10.0
miniRules0_monetaryAmount,106.0,95.0,13.723872184753418,10.0,2246.841796875,11.0,10.0
total_num_transfers,1.0,152.0,13.211917877197266,11.0,831.4949951171875,29.0,11.0
legs1_arrivalAt_hour,2269.0,11.0,4.816957950592041,49.0,666.6846923828125,35.0,11.0
pricingInfo_isAccessTP,292.0,68.0,5.918859958648682,31.0,1855.032958984375,12.0,12.0
days_before_departure,2255.0,12.0,3.8777191638946533,101.0,250.837890625,117.0,12.0
legs1_segments1_duration_rank,12.0,130.0,12.294838905334473,12.0,157.65853881835938,135.0,12.0
has_access_tp,51.0,108.0,4.895383834838867,47.0,1809.7247314453125,13.0,13.0
legs0_departureAt_hour,2199.0,13.0,4.90847110748291,46.0,833.34130859375,28.0,13.0
total_weighted_mean_cabin,40.0,114.0,11.355599403381348,13.0,1153.7022705078125,21.0,13.0
legs0_departureAt_business_time,289.0,69.0,6.585537910461426,24.0,1752.64599609375,14.0,14.0
price_from_median_zscore,2184.0,14.0,4.0749640464782715,92.0,433.0602722167969,60.0,14.0
duration_percentile,2162.0,15.0,4.213086128234863,81.0,350.6439208984375,89.0,15.0
both_legs_carrier_all_same,23.0,121.0,10.757353782653809,15.0,1733.7872314453125,15.0,15.0
legs0_arrivalAt_hour,2121.0,16.0,4.1138787269592285,86.0,452.6927490234375,54.0,16.0
legs0_segments0_baggageAllowance_quantity,62.0,103.0,10.751450538635254,16.0,1208.0361328125,20.0,16.0
legs1_segments0_cabinClass,10.0,134.0,9.668848037719727,17.0,610.585205078125,42.0,17.0
log_price_times_rank,2069.0,17.0,3.9744045734405518,96.0,401.55267333984375,70.0,17.0
legs0_num_transfers_rank,1.0,153.0,9.345468521118164,18.0,139.4609375,140.0,18.0
duration_ratio_group_max,1876.0,18.0,4.1444854736328125,84.0,338.1009216308594,96.0,18.0
legs0_departureAt_day_period,113.0,91.0,6.6684393882751465,22.0,1605.3917236328125,18.0,18.0
price_per_fee,1858.0,19.0,5.193699359893799,40.0,493.8088073730469,49.0,19.0
legs1_segments1_seatsAvailable,1.0,150.0,3.644010543823242,118.0,1410.5975341796875,19.0,19.0
legs0_segments0_seatsAvailable,1841.0,20.0,3.3336880207061768,127.0,223.0077667236328,123.0,20.0
legs0_segments0_marketingCarrier_code_in_ff,6.0,140.0,7.6905670166015625,20.0,191.39344787597656,130.0,20.0
price_per_tax,1726.0,21.0,4.396369457244873,68.0,373.39617919921875,79.0,21.0
legs1_arrivalAt_day_period,85.0,98.0,7.329184055328369,21.0,1054.5498046875,22.0,21.0
legs1_segments0_seatsAvailable,1615.0,22.0,3.2001218795776367,134.0,221.36740112304688,124.0,22.0
legs0_main_carrier,51.0,109.0,3.6993536949157715,113.0,1034.00341796875,23.0,23.0
total_fees_rank,251.0,78.0,6.618785381317139,23.0,783.9599609375,31.0,23.0
totalPrice_rank,1583.0,23.0,4.669538497924805,55.0,579.4004516601562,43.0,23.0
duration_ratio,1511.0,24.0,3.6923694610595703,115.0,356.3970947265625,85.0,24.0
log_price_dev_times_cabin,644.0,48.0,6.550591468811035,25.0,981.741943359375,24.0,24.0
miniRules1_monetaryAmount,128.0,88.0,5.291161060333252,37.0,891.4583129882812,25.0,25.0
log_duration_times_rank,1374.0,25.0,4.111961841583252,87.0,385.10162353515625,72.0,25.0
log_price_times_ratio,1350.0,26.0,4.450221061706543,65.0,392.77191162109375,71.0,26.0
legs0_arrivalAt_day_period,113.0,92.0,4.250263214111328,79.0,864.6744995117188,26.0,26.0
legs0_segments1_flightNumber,33.0,117.0,6.419932842254639,26.0,324.35321044921875,99.0,26.0
log_price_times_isVip,301.0,67.0,6.186548709869385,27.0,750.5269165039062,32.0,27.0
legs1_segments0_departureFrom_airport_iata,254.0,77.0,5.179203987121582,41.0,844.4244995117188,27.0,27.0
price_ratio_times_duration_ratio,1348.0,27.0,5.369576930999756,36.0,519.8576049804688,45.0,27.0
duration_ratio_group_mean,1220.0,28.0,5.142313480377197,42.0,625.1677856445312,38.0,28.0
legs0_segments0_arrivalTo_airport_iata,196.0,83.0,6.132411479949951,28.0,662.0323486328125,36.0,28.0
days_between_departure_arrival,1203.0,29.0,6.053842544555664,29.0,617.8079833984375,39.0,29.0
legs1_segments0_operatingCarrier_code,63.0,102.0,6.0028486251831055,30.0,343.7012939453125,94.0,30.0
is_max_duration_cabin_same,17.0,125.0,5.272659778594971,38.0,813.515869140625,30.0,30.0
price_minus_fee,1196.0,30.0,4.627310276031494,59.0,416.4017333984375,63.0,30.0
log_price,1190.0,31.0,4.358729362487793,70.0,409.45416259765625,65.0,31.0
price_dev_times_cabin,983.0,35.0,5.870641231536865,32.0,616.0758056640625,40.0,32.0
price_minus_group_mean,1101.0,32.0,4.721122741699219,53.0,447.9813232421875,56.0,32.0
price_rank,328.0,63.0,5.835429668426514,33.0,682.941162109375,33.0,33.0
corporateTariffCode,1049.0,33.0,4.111629486083984,88.0,320.13519287109375,100.0,33.0
duration_minus_group_mean,989.0,34.0,3.8312206268310547,104.0,406.6877136230469,69.0,34.0
legs0_duration,119.0,90.0,5.611923694610596,34.0,352.6261291503906,87.0,34.0
isVip,34.0,115.0,5.588665962219238,35.0,422.7246398925781,61.0,35.0
tax_rate,967.0,36.0,4.47525691986084,63.0,462.2879333496094,52.0,36.0
price_ratio_group_mean,913.0,37.0,3.727374315261841,111.0,407.14666748046875,68.0,37.0
log_duration_minus_group_mean,843.0,38.0,4.273567199707031,78.0,338.76019287109375,95.0,38.0
duration_dev_times_cabin,749.0,39.0,4.853375434875488,48.0,433.366455078125,59.0,39.0
log_price_minus_group_mean,741.0,40.0,4.932967662811279,44.0,458.7992248535156,53.0,40.0
log_duration_times_ratio,698.0,45.0,4.804752826690674,50.0,613.2813110351562,41.0,41.0
legs0_segments0_aircraft_code,729.0,41.0,3.3214635848999023,129.0,409.0033874511719,66.0,41.0
taxes,718.0,42.0,4.6191792488098145,60.0,407.7974853515625,67.0,42.0
unmatched_duration_rank,716.0,43.0,3.8786654472351074,100.0,236.64878845214844,121.0,43.0
