feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_is_min_transfers,0,0.0,0.0,0.0,0.0,0.0,0.0
legs0_segments0_flightNumber,0,0.0,0.0,1.0,0.25,1.0,0.0
total_num_transfers_rank,1,1.0,1.0,0.0,0.75,1.0,0.0
legs0_num_transfers_rank,2,2.0,1.0,2.0,1.75,2.0,1.0
legs0_departureAt_hour,1,1.0,2.0,7.0,2.75,7.0,1.0
companyID,4,3.0,4.0,2.0,3.25,4.0,2.0
legs0_arrivalAt_hour,2,2.0,1.0,9.0,3.5,9.0,1.0
pricingInfo_isAccessTP,3,4.0,6.0,8.0,5.25,8.0,3.0
legs0_segments0_baggageAllowance_quantity,5,9.0,7.0,3.0,6.0,9.0,3.0
both_legs_carrier_all_same,9,5.0,4.0,6.0,6.0,9.0,4.0
price_ratio_group_max,11,6.0,5.0,4.0,6.5,11.0,4.0
legs0_mean_cabin,9,3.0,4.0,10.0,6.5,10.0,3.0
days_before_departure,5,5.0,7.0,10.0,6.75,10.0,5.0
has_access_tp,3,5.0,5.0,15.0,7.0,15.0,3.0
price_per_fee_rank,12,8.0,6.0,6.0,8.0,12.0,6.0
price_minus_fee_rank,21,7.0,3.0,5.0,9.0,21.0,3.0
duration_percentile,6,4.0,9.0,18.0,9.25,18.0,4.0
price_per_duration,3,9.0,8.0,22.0,10.5,22.0,3.0
price_rank_times_duration_rank,10,10.0,10.0,15.0,11.25,15.0,10.0
price_per_fee,7,12.0,11.0,16.0,11.5,16.0,7.0
price_percentile,8,13.0,14.0,12.0,11.75,14.0,8.0
legs0_weighted_mean_cabin,22,15.0,8.0,3.0,12.0,22.0,3.0
legs1_segments0_baggageAllowance_quantity,15,16.0,5.0,12.0,12.0,16.0,5.0
price_per_duration_rank,13,11.0,12.0,13.0,12.25,13.0,11.0
total_weighted_mean_cabin,8,6.0,14.0,22.0,12.5,22.0,6.0
has_baggage,7,17.0,11.0,16.0,12.75,17.0,7.0
legs1_departureAt_hour,20,16.0,15.0,3.0,13.5,20.0,3.0
miniRules1_statusInfos,13,18.0,19.0,9.0,14.75,19.0,9.0
totalPrice_rank_normalized,6,10.0,26.0,18.0,15.0,26.0,6.0
baggage_total,23,19.0,14.0,7.0,15.75,23.0,7.0
price_per_tax,9,14.0,21.0,20.0,16.0,21.0,9.0
totalPrice_percentile_X_total_duration_percentile,17,15.0,19.0,16.0,16.75,19.0,15.0
legs0_segments0_seatsAvailable,31,18.0,13.0,11.0,18.25,31.0,11.0
legs1_main_carrier,36,13.0,21.0,6.0,19.0,36.0,6.0
totalPrice_rank_normalized_X_total_duration_rank_normalized,18,17.0,18.0,23.0,19.0,23.0,17.0
totalPrice_smoothed_zscore_X_totalPrice_percentile,14,19.0,25.0,19.0,19.25,25.0,14.0
legs1_segments0_marketingCarrier_code,26,19.0,28.0,5.0,19.5,28.0,5.0
legs0_main_carrier,28,27.0,15.0,8.0,19.5,28.0,8.0
legs1_departureAt_day_period,19,12.0,12.0,36.0,19.75,36.0,12.0
log_price_times_rank,16,20.0,20.0,24.0,20.0,24.0,16.0
legs0_segments0_operatingCarrier_code_in_ff,21,10.0,7.0,45.0,20.75,45.0,7.0
isVip,15,12.0,30.0,29.0,21.5,30.0,12.0
duration_ratio_group_max,19,16.0,24.0,27.0,21.5,27.0,16.0
