feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,min_rank
price_per_fee,1779,0,162549.55806159973,2,0
total_is_min_transfers,73,17,484589.3178348541,0,0
total_num_transfers_rank,103,16,412727.42714595795,1,1
price_per_duration,1572,1,132229.59255599976,3,1
legs0_segments0_flightNumber,1487,2,86169.3763551712,6,2
price_per_tax,1469,3,77070.44340991974,7,3
price_from_median_zscore,886,7,121969.29643344879,4,4
companyID,1321,4,55707.55508041382,9,4
price_percentile,1122,5,105525.24892425537,5,5
price_per_duration_rank,888,6,67554.77896308899,8,6
legs0_arrivalAt_hour,786,8,43623.0196056366,10,8
legs0_departureAt_hour,766,9,34222.14173698425,14,9
price_per_fee_rank,667,10,42109.14429950714,11,10
days_before_departure,657,11,21710.026396751404,17,11
price_minus_fee_rank,657,12,35919.00199890137,13,12
has_access_tp,246,13,36609.46602630615,12,12
both_legs_carrier_all_same,245,14,14418.949737548828,18,14
legs0_mean_cabin,195,15,26162.244055747986,15,15
legs0_num_transfers_rank,26,19,24806.868936538696,16,16
pricingInfo_isAccessTP,55,18,6482.088021278381,19,18
