feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
companyID,15565.0,0,8.976178169250488,58,3053.012451171875,65,0
total_is_min_transfers,249.0,69,2882.271240234375,0,237080.984375,0,0
price_percentile,15105.0,1,15.72610092163086,20,7833.9140625,27,1
total_num_transfers_rank,155.0,74,423.7350158691406,1,108527.6015625,1,1
legs0_weighted_mean_cabin,113.0,76,72.2292709350586,2,25563.880859375,7,2
legs0_segments0_operatingCarrier_code_in_ff,678.0,62,13.394392967224121,26,67350.6484375,2,2
price_from_median_zscore,15076.0,2,14.2240629196167,23,4154.423828125,50,2
pricingInfo_isAccessTP,198.0,72,51.4466438293457,3,64133.3125,3,3
price_per_duration,14914.0,3,12.42085075378418,32,4127.77685546875,51,3
price_per_duration_rank,13801.0,4,8.399365425109863,62,3691.614013671875,57,4
has_access_tp,1300.0,58,49.74348068237305,4,60240.34375,4,4
legs0_max_duration_cabin,98.0,77,15.466170310974121,21,55091.96875,5,5
both_legs_carrier_all_same,241.0,70,46.5754280090332,5,16954.423828125,10,5
days_before_departure,13061.0,5,6.927599906921387,76,2005.5968017578125,76,5
legs0_segments0_baggageAllowance_quantity,1684.0,56,41.685855865478516,6,20856.693359375,8,6
legs0_segments0_cabinClass,161.0,73,28.701566696166992,7,32866.67578125,6,6
legs0_segments0_flightNumber,12742.0,6,8.250789642333984,64,4090.596435546875,53,6
price_minus_fee_rank,11911.0,7,7.1421895027160645,72,1940.892578125,77,7
total_weighted_mean_cabin,528.0,64,25.997514724731445,8,10719.9443359375,17,8
legs0_departureAt_hour,11650.0,8,9.973010063171387,46,4922.15771484375,42,8
leg1_view_diff_mean,4479.0,38,9.974530220031738,45,19025.953125,9,9
legs0_mean_cabin,275.0,68,25.656219482421875,9,12368.1396484375,14,9
price_per_fee_rank,11584.0,9,7.134266376495361,73,2258.4189453125,73,9
totalPrice_rank,11503.0,10,10.968819618225098,39,3931.15771484375,55,10
miniRules1_monetaryAmount,1938.0,51,24.748781204223633,10,14378.728515625,13,10
unmatched_duration,5044.0,30,11.336749076843262,38,15981.779296875,11,11
unmatched_duration_rank,4665.0,35,21.427173614501953,11,8375.9326171875,24,11
price_per_tax,11405.0,11,7.204778671264648,70,2092.40234375,75,11
price_per_fee,11281.0,12,15.249659538269043,22,4864.064453125,43,12
baggage_total,1283.0,59,19.885522842407227,12,6914.443359375,32,12
legs1_max_duration_cabin,54.0,78,7.121132850646973,74,14569.2314453125,12,12
legs0_arrivalAt_hour,11116.0,13,9.547114372253418,53,4069.766845703125,54,13
isVip,1109.0,60,19.6899471282959,13,5649.779296875,41,13
leg0_view_diff_mean,8659.0,14,9.055013656616211,56,10639.404296875,18,14
leg0_flight_view_count,4578.0,36,18.487825393676758,14,7799.24951171875,28,14
total_fees,2319.0,50,17.699281692504883,15,7280.6357421875,31,15
legs0_duration,5135.0,28,16.214725494384766,17,11722.208984375,15,15
log_price,8591.0,15,7.7828803062438965,66,3120.40576171875,64,15
leg0_view_norm,3058.0,45,16.312219619750977,16,6014.75341796875,37,16
corporateTariffCode,6698.0,21,13.168532371520996,28,11479.0537109375,16,16
all_view_diff_mean,8170.0,16,8.958769798278809,59,6575.0205078125,35,16
price_minus_fee,8140.0,17,8.198105812072754,65,3185.472900390625,61,17
legs0_main_carrier,1855.0,53,15.81061840057373,18,5943.2939453125,38,18
duration_ratio,7674.0,18,8.403204917907715,61,4541.90771484375,47,18
legs1_segments0_key_view_count,2704.0,46,12.530250549316406,30,10492.677734375,19,19
legs1_segments0_flightNumber,7206.0,19,7.702381610870361,67,3733.230712890625,56,19
all_flight_view_count,4750.0,33,15.747900009155273,19,6856.984375,33,19
legs1_segments0_baggageAllowance_quantity,399.0,65,12.907939910888672,29,10032.171875,20,20
legs1_departureAt_hour,6782.0,20,11.847518920898438,35,7668.96337890625,30,20
legs0_segments0_operatingCarrier_code,1687.0,55,13.287190437316895,27,9758.6689453125,21,21
legs0_segments0_seatsAvailable,6527.0,22,6.073569297790527,78,2391.230712890625,70,22
legs1_segments0_cabinClass,16.0,79,12.383912086486816,33,9337.205078125,22,22
legs1_arrivalAt_hour,6393.0,23,9.518985748291016,54,4101.45947265625,52,23
legs1_duration,2594.0,47,9.343422889709473,55,8637.5859375,23,23
legs1_main_carrier,209.0,71,13.90733528137207,24,8167.9833984375,25,24
searchRoute,6093.0,24,9.010210037231445,57,2496.57470703125,69,24
taxes,6016.0,25,9.669768333435059,49,2654.212646484375,67,25
total_duration_rank,5467.0,26,13.678790092468262,25,4691.6943359375,46,25
legs1_segments0_marketingCarrier_code,1002.0,61,12.175582885742188,34,8053.28515625,26,26
all_flight_view_count_rank,5451.0,27,7.162137031555176,71,1708.4716796875,79,27
leg1_view_norm,1444.0,57,10.466002464294434,43,7767.88427734375,29,29
days_between_departure_arrival,5055.0,29,10.905901908874512,40,4468.23046875,48,29
legs0_segments0_aircraft_code,4906.0,31,8.368790626525879,63,3360.73681640625,60,31
baggage_total_rank,2502.0,49,12.47929859161377,31,5757.38427734375,39,31
legs0_segments0_duration,4785.0,32,11.401010513305664,37,3155.574951171875,62,32
total_duration,4681.0,34,10.06272029876709,44,2598.813720703125,68,34
legs1_mean_cabin,145.0,75,5.510354518890381,79,6704.138671875,34,34
leg1_flight_view_count,1934.0,52,11.63960075378418,36,3128.224365234375,63,36
legs0_departureAt_day_period,633.0,63,10.57828426361084,42,6158.1572265625,36,36
legs0_segments0_key_view_count,4531.0,37,10.686860084533691,41,3595.725341796875,58,37
tax_rate,4455.0,39,9.562413215637207,51,4205.0927734375,49,39
legs0_segments0_duration_rank,4333.0,40,7.092966556549072,75,2335.731201171875,72,40
legs1_departureAt_day_period,292.0,67,9.54727840423584,52,5677.5029296875,40,40
legs0_departureAt_weekday,4064.0,41,7.509806156158447,69,1839.3653564453125,78,41
legs0_arrivalAt_weekday,4004.0,42,7.532169818878174,68,2346.951416015625,71,42
legs0_duration_rank,3476.0,43,9.950056076049805,47,3052.899658203125,66,43
legs1_arrivalAt_day_period,304.0,66,9.943498611450195,48,4771.2861328125,44,44
legs1_segments0_seatsAvailable,3425.0,44,6.239387512207031,77,2106.341552734375,74,44
total_fees_rank,2504.0,48,9.644464492797852,50,4714.66845703125,45,45
legs0_departureAt_business_time,1719.0,54,8.768946647644043,60,3490.4296875,59,54
