feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
companyID,10005.0,0,9.94528865814209,76,3672.740478515625,83,0
total_is_min_transfers,191.0,107,3481.304931640625,0,275288.90625,0,0
duration_percentile,9748.0,1,9.715033531188965,79,5076.96044921875,66,1
total_num_transfers_rank,109.0,114,1250.3255615234375,1,128223.84375,1,1
legs0_segments0_flightNumber,9739.0,2,9.887434959411621,78,11467.869140625,25,2
is_cheapest,9.0,119,78.83065032958984,2,44934.11328125,5,2
has_access_tp,907.0,86,56.97044372558594,4,86763.84375,2,2
price_per_duration,9724.0,3,14.497848510742188,34,5135.64111328125,65,3
legs0_num_transfers_rank,195.0,106,72.04022216796875,3,70675.6640625,3,3
pricingInfo_isAccessTP,215.0,103,48.47922897338867,5,69740.375,4,4
price_percentile,9090.0,4,10.986058235168457,60,14794.6171875,16,4
legs0_arrivalAt_hour,9060.0,5,10.136056900024414,71,4422.08349609375,73,5
price_rank_times_duration_rank,9009.0,6,13.536382675170898,41,4541.28515625,71,6
legs0_mean_cabin,95.0,115,44.17363357543945,6,36299.39453125,6,6
legs0_segments0_baggageAllowance_quantity,1272.0,77,43.12800216674805,7,24468.00390625,10,7
isAccess3D,212.0,104,24.31209373474121,14,34108.66015625,7,7
days_before_departure,8780.0,7,7.964500427246094,108,2864.407958984375,104,7
both_legs_carrier_all_same,274.0,101,35.23772048950195,8,25201.791015625,9,8
legs0_departureAt_hour,8704.0,8,10.882784843444824,61,6209.34521484375,52,8
legs0_segments0_operatingCarrier_code_in_ff,370.0,99,11.430667877197266,55,33519.1171875,8,8
has_baggage,507.0,96,30.910320281982422,9,11278.841796875,26,9
price_from_median_zscore,8651.0,9,10.061446189880371,74,3565.714599609375,86,9
is_popular_route,197.0,105,29.00067901611328,10,14727.607421875,18,10
price_ratio_group_max,7982.0,10,7.682473659515381,113,2644.122314453125,109,10
price_per_fee,7615.0,11,17.228317260742188,22,6907.54345703125,42,11
legs0_segments0_cabinClass,120.0,113,16.0095157623291,28,23598.419921875,11,11
miniRules1_statusInfos,406.0,98,28.668752670288086,11,5730.55224609375,57,11
legs1_max_duration_cabin,36.0,116,9.546159744262695,83,19527.544921875,12,12
price_per_tax,7189.0,12,7.857008457183838,111,2103.76025390625,114,12
legs0_weighted_mean_cabin,183.0,108,28.020259857177734,12,9063.6484375,30,12
legs1_segments0_baggageAllowance_quantity,264.0,102,17.05452537536621,24,17069.791015625,13,13
price_per_duration_rank,7105.0,13,10.426985740661621,65,5426.60400390625,60,13
total_weighted_mean_cabin,437.0,97,25.9689884185791,13,14765.4951171875,17,13
price_per_fee_rank,7061.0,14,8.25875186920166,102,2857.985595703125,105,14
miniRules1_monetaryAmount,1512.0,71,23.080583572387695,17,15623.287109375,14,14
corporateTariffCode,4716.0,26,13.798410415649414,40,15511.5947265625,15,15
duration_ratio_group_max,6958.0,15,9.484971046447754,85,2720.771484375,107,15
baggage_total,731.0,89,24.043842315673828,15,8229.8291015625,34,15
log_price_times_rank,6844.0,16,9.891576766967773,77,3590.191162109375,85,16
price_minus_group_mean,3766.0,40,23.996994018554688,16,8586.0107421875,33,16
price_minus_fee_rank,6441.0,17,8.472789764404297,101,2864.92626953125,103,17
price_ratio_times_duration_ratio,6223.0,18,7.974388122558594,107,3769.191162109375,81,18
total_fees,1693.0,67,22.693817138671875,18,6894.873046875,43,18
duration_minus_group_mean,4052.0,34,20.42094612121582,19,8941.3740234375,32,19
log_price,6055.0,19,8.83313274383545,95,3457.77978515625,89,19
total_fees_rank,1665.0,68,10.164899826049805,70,13682.033203125,19,19
ratio_max_times_isVip,1267.0,78,17.676084518432617,20,4316.84130859375,74,20
legs1_segments0_cabinClass,9.0,118,12.234699249267578,47,13639.728515625,20,20
log_duration_times_rank,5862.0,20,7.654868125915527,114,2381.40771484375,112,20
price_dev_times_cabin,4336.0,31,17.674985885620117,21,3191.16943359375,98,21
legs1_departureAt_hour,4740.0,25,13.51257038116455,43,13610.853515625,21,21
duration_ratio,5562.0,21,8.855603218078613,93,5195.2470703125,64,21
legs1_departureAt_day_period,301.0,100,11.456581115722656,54,12905.47265625,22,22
log_price_times_ratio,5470.0,22,17.073760986328125,23,6279.46240234375,50,22
log_price_times_isVip,1303.0,75,9.612722396850586,82,12592.6904296875,23,23
price_minus_fee,5176.0,23,9.657960891723633,80,3456.517333984375,90,23
totalPrice_rank,4936.0,24,15.848737716674805,30,6837.6962890625,44,24
legs0_duration,3685.0,41,15.394761085510254,31,12204.2734375,24,24
unmatched_duration_rank,3143.0,46,17.0262508392334,25,7310.478515625,39,25
price_rank,1086.0,84,16.80103874206543,26,7235.4287109375,40,26
legs1_segments0_flightNumber,4653.0,27,9.05423641204834,89,5635.64453125,58,27
log_duration_minus_group_mean,3210.0,45,16.45848274230957,27,4898.31396484375,68,27
legs0_segments0_operatingCarrier_code,1346.0,74,13.807202339172363,39,10198.3603515625,27,27
duration_ratio_group_mean,4611.0,28,8.794051170349121,97,3500.18115234375,88,28
legs1_duration,1537.0,70,9.530887603759766,84,9835.2265625,28,28
legs1_main_carrier,167.0,110,13.095651626586914,44,9215.75390625,29,29
taxes,4443.0,29,10.34797477722168,67,3369.790771484375,92,29
log_price_dev_times_cabin,3569.0,42,15.979329109191895,29,5417.134765625,61,29
searchRoute,4397.0,30,8.999597549438477,90,1992.615234375,115,30
log_price_minus_group_mean,3355.0,43,12.037076950073242,49,9021.61328125,31,31
total_duration_rank,2232.0,56,15.369102478027344,32,4689.6513671875,69,32
legs1_arrivalAt_hour,4214.0,32,10.5208101272583,64,5561.75927734375,59,32
duration_dev_times_cabin,3001.0,47,14.770026206970215,33,6435.71875,47,33
unmatched_duration,4104.0,33,11.54896354675293,53,6428.28955078125,48,33
price_ratio_group_mean,4028.0,35,8.164809226989746,105,4496.0498046875,72,35
legs1_departureAt_business_time,727.0,90,10.863788604736328,62,8051.60986328125,35,35
isVip,127.0,112,14.363069534301758,35,1757.7047119140625,117,35
legs0_segments0_duration,4001.0,36,10.570962905883789,63,3292.94091796875,94,36
legs1_segments0_marketingCarrier_code,672.0,93,12.525989532470703,45,7797.458984375,36,36
legs0_arrivalAt_day_period,537.0,95,14.050751686096191,36,3516.498779296875,87,36
legs0_segments0_seatsAvailable,3982.0,37,7.169561386108398,115,5814.533203125,56,37
legs1_segments0_operatingCarrier_code,723.0,91,11.025979042053223,58,7710.94189453125,37,37
legs0_main_carrier,1558.0,69,13.974223136901855,37,5818.876953125,55,37
legs0_matched_duration_sum_rank,1804.0,62,10.10912036895752,73,7563.04931640625,38,38
days_between_departure_arrival,3342.0,44,13.934779167175293,38,6715.64453125,46,38
