feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,240.0,147,4023.876220703125,0,366960.0,0,0
price_percentile,34766.0,0,15.688483238220215,37,5744.37939453125,56,0
price_per_duration,30358.0,1,11.430730819702148,57,4359.7646484375,79,1
total_num_transfers_rank,267.0,146,2410.984375,1,225286.65625,1,1
legs0_num_transfers_rank,113.0,156,1394.7496337890625,2,185842.140625,2,2
price_from_median_zscore,29206.0,2,17.519886016845703,34,4756.8896484375,72,2
legs0_segments0_flightNumber,28228.0,3,8.607434272766113,124,3076.590576171875,106,3
legs0_is_min_transfers,284.0,143,1032.6705322265625,3,149012.375,3,3
legs1_num_transfers_rank,201.0,151,234.35206604003906,5,81600.7109375,4,4
free_exchange,404.0,139,285.3863220214844,4,61178.48046875,8,4
price_per_duration_rank,25737.0,4,9.399235725402832,97,4345.30126953125,80,4
legs0_departureAt_hour,25370.0,5,9.563913345336914,92,5008.466796875,71,5
has_access_tp,863.0,131,72.30650329589844,7,78424.6640625,5,5
pricingInfo_isAccessTP,1662.0,113,57.573787689208984,9,77813.59375,6,6
legs1_is_min_transfers,85.0,157,185.2586669921875,6,70540.9140625,7,6
legs0_arrivalAt_hour,25316.0,6,9.403643608093262,96,3770.29638671875,88,6
totalPrice_rank,24499.0,7,12.686132431030273,46,4087.246337890625,82,7
legs0_segments0_cabinClass,275.0,145,60.54404830932617,8,38834.9375,9,8
price_per_fee,24167.0,8,11.591367721557617,56,5506.41162109375,60,8
price_per_tax,23398.0,9,8.06861400604248,148,1801.3499755859375,153,9
legs0_max_duration_cabin,325.0,142,36.28715896606445,15,38023.9765625,10,10
total_duration_fastest,1382.0,116,54.07301330566406,10,9776.7724609375,32,10
days_before_departure,23082.0,10,8.271729469299316,143,2684.447509765625,116,10
price_per_fee_rank,22931.0,11,8.491333961486816,130,1818.209716796875,151,11
is_major_carrier,665.0,135,52.40924072265625,11,10829.7685546875,30,11
legs0_segments0_operatingCarrier_code_in_ff,988.0,127,9.121094703674316,106,34846.94921875,11,11
legs0_mean_cabin,724.0,134,46.90817642211914,12,14465.29296875,21,12
legs1_segments0_cabinClass,54.0,159,9.259634971618652,103,34732.984375,12,12
log_price,22055.0,12,8.793736457824707,115,2266.57958984375,131,12
free_cancel,610.0,137,41.63001251220703,13,8157.78369140625,36,13
isAccess3D,1011.0,126,20.13248634338379,25,31338.70703125,13,13
price_minus_fee_rank,21850.0,13,8.372993469238281,139,2142.880615234375,137,13
legs1_departureAt_day_period,2296.0,106,11.937663078308105,50,18804.212890625,14,14
legs0_weighted_mean_cabin,397.0,140,37.97121810913086,14,16553.595703125,19,14
group_size,19647.0,14,8.538857460021973,127,2720.564453125,114,14
price_minus_fee,19500.0,15,8.652565002441406,121,2945.00390625,107,15
has_fees,202.0,150,28.376142501831055,18,18641.2109375,15,15
total_weighted_mean_cabin,1042.0,125,30.793350219726562,16,17601.85546875,17,16
