feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
legs0_segments0_flightNumber,36024.0,0,8.517928123474121,91,3067.392333984375,69,0
total_is_min_transfers,298.0,90,2643.301025390625,0,315866.03125,0,0
price_percentile,35653.0,1,15.585811614990234,28,5271.060546875,49,1
total_num_transfers_rank,285.0,91,2297.92626953125,1,173344.5625,1,1
price_per_duration,35126.0,2,12.037904739379883,42,4520.5634765625,53,2
legs0_num_transfers_rank,170.0,97,1169.0255126953125,2,123566.1328125,2,2
legs0_is_min_transfers,319.0,88,1145.2100830078125,3,122534.3359375,3,3
price_from_median_zscore,32947.0,3,14.27068042755127,32,4404.56884765625,54,3
legs1_num_transfers_rank,261.0,92,218.12069702148438,4,68986.4375,6,4
price_per_duration_rank,32862.0,4,9.129399299621582,72,3126.862060546875,68,4
has_access_tp,935.0,79,56.471744537353516,9,87422.8671875,4,4
pricingInfo_isAccessTP,1671.0,73,62.15050506591797,8,72544.8359375,5,5
free_exchange,523.0,86,188.75592041015625,5,44088.5078125,9,5
price_per_tax,29538.0,5,8.312405586242676,93,1729.484130859375,99,5
legs1_is_min_transfers,149.0,98,87.41407012939453,6,48903.89453125,8,6
legs0_departureAt_hour,29279.0,6,9.478766441345215,64,4329.93359375,55,6
legs0_segments0_operatingCarrier_code_in_ff,1362.0,74,15.076730728149414,29,52273.59765625,7,7
free_cancel,803.0,81,68.92926788330078,7,10354.1962890625,26,7
days_before_departure,28538.0,7,8.063640594482422,98,2218.825927734375,86,7
price_per_fee,28230.0,8,12.02243709564209,43,4783.43798828125,52,8
price_per_fee_rank,28039.0,9,8.959338188171387,76,2074.624267578125,90,9
isAccess3D,1257.0,76,15.886039733886719,27,29592.12109375,10,10
legs0_weighted_mean_cabin,666.0,84,53.188926696777344,10,23428.873046875,13,10
legs0_arrivalAt_hour,27608.0,10,9.311796188354492,68,3918.26806640625,59,10
totalPrice_rank,26556.0,11,13.180548667907715,34,4916.7861328125,51,11
legs0_segments0_cabinClass,254.0,93,52.83332824707031,11,29148.197265625,11,11
legs0_max_duration_cabin,319.0,89,43.109107971191406,12,27313.68359375,12,12
price_minus_fee_rank,25926.0,12,8.66935920715332,84,2104.562255859375,88,12
legs0_mean_cabin,718.0,82,41.497589111328125,13,12423.78515625,22,13
all_view_diff_mean,25136.0,13,9.024158477783203,75,3695.188720703125,62,13
log_price,24358.0,14,8.683405876159668,83,1944.3804931640625,93,14
total_num_transfers,700.0,83,34.991455078125,14,8486.1767578125,31,14
legs1_max_duration_cabin,145.0,99,8.86639404296875,78,18571.0,14,14
legs0_segments0_baggageAllowance_quantity,3828.0,64,33.76921463012695,15,15823.7509765625,16,15
group_size,23758.0,15,8.226747512817383,96,2510.2822265625,77,15
total_weighted_mean_cabin,1033.0,77,31.952335357666016,16,16370.91796875,15,15
leg0_view_diff_mean,23123.0,16,9.630426406860352,63,3739.4541015625,61,16
has_fees,245.0,94,26.042375564575195,17,14006.9287109375,19,17
price_minus_fee,22758.0,17,8.51884937286377,90,2244.272705078125,85,17
