feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,282.0,142,3452.11669921875,0,329961.0625,0,0
price_percentile,34435.0,0,15.92394733428955,36,5909.8876953125,56,0
price_per_duration,31118.0,1,11.39529037475586,59,4557.75341796875,77,1
total_num_transfers_rank,275.0,144,2354.525634765625,1,220475.609375,1,1
legs0_is_min_transfers,265.0,147,1113.54443359375,2,147662.625,2,2
price_from_median_zscore,29566.0,2,17.590913772583008,30,4505.62841796875,78,2
legs0_segments0_flightNumber,28566.0,3,8.568955421447754,123,2994.373779296875,106,3
legs0_num_transfers_rank,145.0,154,1093.193603515625,3,114826.2734375,3,3
pricingInfo_isAccessTP,1522.0,115,65.99559783935547,8,91299.5546875,4,4
price_per_duration_rank,26055.0,4,9.279481887817383,102,3961.64453125,85,4
free_exchange,430.0,139,271.8556213378906,4,53213.6640625,8,4
legs0_arrivalAt_hour,25607.0,5,9.34342098236084,97,3695.15087890625,91,5
has_access_tp,876.0,130,72.14444732666016,7,85253.140625,5,5
legs1_num_transfers_rank,234.0,150,204.10150146484375,5,60927.078125,7,5
totalPrice_rank,25454.0,6,12.311688423156738,48,3807.925537109375,88,6
legs1_is_min_transfers,98.0,157,162.41336059570312,6,72038.2578125,6,6
legs0_departureAt_hour,25413.0,7,9.458291053771973,95,5047.2119140625,67,7
days_before_departure,23925.0,8,8.279297828674316,140,2704.700927734375,114,8
legs0_segments0_cabinClass,277.0,143,57.14531326293945,9,38884.0,9,9
price_per_fee,23808.0,9,11.69211483001709,53,5442.42724609375,60,9
is_major_carrier,635.0,136,52.24425506591797,10,9278.3388671875,33,10
legs0_max_duration_cabin,274.0,145,44.299495697021484,13,33697.125,10,10
price_per_tax,23540.0,10,7.998380184173584,148,1765.878173828125,149,10
total_duration_fastest,1370.0,117,52.24050521850586,11,10566.787109375,29,11
log_price,22703.0,11,8.854724884033203,110,2100.50537109375,139,11
legs0_segments0_operatingCarrier_code_in_ff,985.0,127,10.538028717041016,73,30609.9296875,11,11
legs0_mean_cabin,745.0,134,47.05485153198242,12,16205.849609375,20,12
isAccess3D,1062.0,125,18.928159713745117,29,25496.353515625,12,12
price_per_fee_rank,22650.0,12,8.505865097045898,127,1994.375244140625,147,12
legs1_segments0_cabinClass,62.0,158,8.205233573913574,144,23569.3125,13,13
price_minus_fee_rank,22160.0,13,8.449457168579102,131,2053.3671875,141,13
group_size,20510.0,14,8.558197021484375,124,2496.07373046875,123,14
miniRules1_monetaryAmount,3394.0,88,19.329679489135742,28,18011.48046875,14,14
free_cancel,589.0,137,42.67308044433594,14,7103.849609375,46,14
legs0_segments0_baggageAllowance_quantity,3360.0,89,28.161230087280273,17,17834.767578125,15,15
price_minus_fee,19440.0,15,8.51877498626709,126,2734.5341796875,113,15
legs0_weighted_mean_cabin,395.0,141,32.63731384277344,15,14852.517578125,22,15
leg0_view_diff_mean,18707.0,16,8.846013069152832,111,4225.1845703125,81,16
has_fees,204.0,151,29.626728057861328,16,17396.341796875,17,16
legs1_max_duration_cabin,129.0,155,14.188695907592773,42,17788.5625,16,16
all_view_diff_mean,18101.0,17,8.945204734802246,107,3459.6943359375,96,17
total_weighted_mean_cabin,1046.0,126,25.86089324951172,18,15937.0771484375,21,18
both_legs_carrier_all_same,683.0,135,22.39729118347168,23,17137.419921875,18,18
companyID_loo_mean_legs0_departureAt_hour,17840.0,18,9.4902982711792,94,2784.95263671875,110,18
legs1_departureAt_day_period,2378.0,106,12.414030075073242,47,16454.0546875,19,19
legs0_duration_fastest,1361.0,118,24.53306770324707,19,3726.4423828125,89,19
tax_rate,17761.0,19,8.394136428833008,133,2426.595458984375,126,19
companyID_loo_mean_legs0_arrivalAt_hour,17514.0,20,8.932929992675781,108,2487.848876953125,124,20
