feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,302.0,102,3105.66064453125,0,320944.28125,0,0
price_per_duration,37994.0,0,11.408823013305664,50,4420.1123046875,55,0
price_from_median_zscore,35915.0,1,13.796124458312988,35,4226.287109375,58,1
total_num_transfers_rank,309.0,101,1963.517333984375,1,167874.078125,1,1
legs0_is_min_transfers,364.0,100,1159.1502685546875,2,152469.609375,2,2
price_percentile,34339.0,2,15.82251262664795,29,5349.5654296875,43,2
price_per_tax,31926.0,3,8.435697555541992,97,1842.8048095703125,107,3
legs1_is_min_transfers,206.0,104,268.6907958984375,3,83192.1328125,4,3
pricingInfo_isAccessTP,1244.0,87,102.01958465576172,6,143127.15625,3,3
both_legs_direct,167.0,106,241.17355346679688,4,20953.890625,9,4
legs0_segments0_flightNumber,31914.0,4,8.444587707519531,95,3078.59033203125,74,4
free_exchange,473.0,97,223.28353881835938,5,54067.8125,5,5
legs0_arrivalAt_hour,31160.0,5,9.389878273010254,72,3645.410888671875,65,5
price_per_duration_rank,30788.0,6,9.54828929901123,68,3879.3701171875,62,6
legs0_weighted_mean_cabin,1382.0,86,50.38785934448242,9,33813.04296875,6,6
total_num_transfers,216.0,103,67.19615173339844,7,11484.7978515625,20,7
price_per_fee,30440.0,7,10.48920726776123,58,4796.28173828125,53,7
legs1_arrivalAt_day_period,4267.0,68,17.045562744140625,26,30456.251953125,7,7
free_cancel,719.0,94,61.49625778198242,8,7599.15576171875,29,8
legs0_departureAt_hour,29330.0,8,9.724625587463379,65,5220.013671875,45,8
isAccess3D,1617.0,84,14.668258666992188,33,27331.05078125,8,8
price_minus_fee,28744.0,9,8.852741241455078,87,2407.197509765625,88,9
days_before_departure,27044.0,10,8.135385513305664,104,2375.69384765625,89,10
has_fees,428.0,99,26.68044662475586,14,19669.29296875,10,10
is_major_carrier,946.0,91,48.36727523803711,10,8683.275390625,24,10
legs1_weighted_mean_cabin,605.0,95,17.74665641784668,25,19498.7109375,11,11
total_duration_fastest,1850.0,82,43.17302322387695,11,7308.712890625,30,11
totalPrice_rank,26460.0,11,12.775970458984375,40,4268.923828125,57,11
group_size,26310.0,12,8.970426559448242,80,2479.8134765625,87,12
legs0_segments0_baggageAllowance_weightMeasurementType,170.0,105,37.61225128173828,12,5954.681640625,39,12
legs1_departureAt_day_period,4916.0,62,14.848997116088867,31,18888.353515625,12,12
legs0_segments0_baggageAllowance_quantity,4354.0,67,35.88515090942383,13,17149.23046875,14,13
both_legs_carrier_all_same,838.0,93,24.349504470825195,15,17939.3515625,13,13
price_per_fee_rank,26106.0,13,8.44272518157959,96,1989.9033203125,104,13
price_minus_fee_rank,24943.0,14,8.959855079650879,81,2212.95263671875,97,14
miniRules1_monetaryAmount,4635.0,66,18.610965728759766,22,14988.0439453125,15,15
leg0_view_diff_mean,24086.0,15,9.43839168548584,71,3463.209716796875,68,15
all_view_diff_mean,22824.0,16,8.984758377075195,79,3324.37060546875,72,16
legs0_duration_fastest,1582.0,85,22.674097061157227,16,3944.208984375,60,16
has_baggage,1884.0,81,19.849626541137695,21,13860.89453125,16,16
is_max_duration_cabin_same,159.0,107,8.432936668395996,98,12958.9619140625,17,17
companyID_loo_mean_legs0_departureAt_hour,20607.0,17,9.347103118896484,73,2654.962646484375,82,17
miniRules1_statusInfos,1639.0,83,22.034746170043945,17,8244.88671875,26,17
legs1_departureAt_business_time,2676.0,76,12.43879222869873,43,12937.4365234375,18,18
isVip,2174.0,79,21.13455581665039,18,8480.2421875,25,18
duration_ratio,19192.0,18,8.34388256072998,100,3407.483642578125,70,18
miniRules0_monetaryAmount,3984.0,71,20.72447395324707,19,4962.14892578125,50,19
is_popular_route,130.0,108,14.692567825317383,32,12567.1123046875,19,19
companyID_loo_mean_legs0_arrivalAt_hour,19116.0,19,8.90872573852539,84,2746.2685546875,78,19
legs0_is_direct,24.0,111,20.1669979095459,20,6034.79345703125,38,20
companyID_loo_mean_totalPrice,18237.0,20,11.241090774536133,53,3511.459228515625,66,20
corporateTariffCode,9631.0,49,11.53915786743164,49,10727.876953125,21,21
tax_rate,18192.0,21,8.307379722595215,101,2565.4658203125,85,21
