feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,691.0,132,313.8222351074219,0,28740.76171875,2,0
total_num_transfers_rank,387.0,145,268.9300842285156,1,31386.400390625,0,0
price_percentile,16362.0,0,10.382763862609863,53,3459.945068359375,54,0
legs1_is_min_transfers,145.0,156,26.8909854888916,22,30026.4765625,1,1
price_from_median_zscore,15361.0,1,13.903396606445312,40,4309.41015625,39,1
ordinal,14331.0,2,127.85696411132812,4,8082.5625,16,2
total_num_transfers,144.0,157,223.73365783691406,2,9398.8349609375,13,2
MinTime,360.0,148,131.16268920898438,3,15629.9638671875,9,3
legs0_num_transfers_rank,186.0,154,118.94285583496094,5,21376.9609375,3,3
pricingInfo_price,12935.0,3,7.4870123863220215,94,1369.0123291015625,140,3
price_per_tax,12596.0,4,7.358279705047607,103,1326.98193359375,147,4
legs0_is_min_transfers,367.0,147,115.51557159423828,6,18226.4296875,4,4
legs0_departureAt_hour,12242.0,5,9.412290573120117,64,3445.90087890625,55,5
both_legs_carrier_all_same,721.0,131,30.10068702697754,17,16384.49609375,5,5
legs0_segments0_cabinClass,311.0,150,32.412803649902344,15,16381.6201171875,6,6
legs0_segments0_flightNumber,12231.0,6,7.860365867614746,83,1673.04248046875,120,6
group_size,11275.0,9,93.7918930053711,7,7498.5966796875,20,7
legs0_segments0_baggageAllowance_quantity,3444.0,63,66.11198425292969,10,16308.224609375,7,7
totalPrice_rank,11651.0,7,47.37262725830078,11,3963.197998046875,45,7
days_before_departure,11276.0,8,6.730523586273193,142,2335.80712890625,81,8
category,2449.0,84,74.39803314208984,8,15974.443359375,8,8
group_size_log,6132.0,40,69.46675109863281,9,7708.8564453125,19,9
BestPriceDirect,479.0,141,27.13243865966797,20,11316.5048828125,10,10
legs0_arrivalAt_hour,10814.0,10,8.53294563293457,73,2759.906005859375,72,10
transfer_duration_rank,2490.0,82,27.037433624267578,21,10207.8125,11,11
companyID_loo_mean_legs0_departureAt_hour,10062.0,11,7.660220623016357,88,1572.1611328125,127,11
legs0_max_duration_cabin,371.0,146,37.623451232910156,12,8024.6650390625,17,12
legs0_weighted_mean_cabin,440.0,144,34.32402420043945,14,10104.3408203125,12,12
yearOfBirth,9721.0,12,6.375589370727539,152,1223.10302734375,152,12
legs0_mean_cabin,581.0,136,35.57855224609375,13,8197.3359375,15,13
companyID_loo_mean_cabin_class,9348.0,13,7.866763591766357,82,1809.3519287109375,111,13
corporateTariffCode,9269.0,14,8.82767391204834,70,2934.080810546875,70,14
miniRules0_statusInfos,990.0,123,17.4499568939209,29,9171.2822265625,14,14
leg0_view_diff_mean,9210.0,15,7.551918983459473,91,2416.5859375,80,15
baggage_total,1429.0,108,30.96892547607422,16,4795.99169921875,32,16
tax_rate,9140.0,16,6.970209121704102,128,1632.061279296875,123,16
all_view_diff_mean,9133.0,17,7.911727428436279,81,3092.348876953125,65,17
companyID_loo_mean_totalPrice,8932.0,18,9.512640953063965,63,2154.381591796875,97,18
transfer_duration_total,4575.0,48,19.717775344848633,26,7871.80078125,18,18
legs1_segments0_baggageAllowance_quantity,842.0,128,29.945030212402344,18,6406.8427734375,22,18
legs0_duration_fastest,1028.0,122,29.072235107421875,19,5010.46240234375,30,19
companyID_loo_mean_taxes,8719.0,19,7.11956262588501,117,1355.31298828125,142,19
price_per_duration_rank,8714.0,20,7.7287750244140625,86,1832.8065185546875,108,20
total_weighted_mean_cabin,1036.0,121,23.902515411376953,24,7394.01123046875,21,21
companyID_loo_mean_legs1_duration,8605.0,21,7.2489519119262695,111,1468.107666015625,135,21
companyID_total_occurrences,8386.0,22,7.388493537902832,100,1613.81640625,124,22
legs1_departureAt_hour,7699.0,27,12.651774406433105,42,6207.54931640625,23,23
price_per_duration,8378.0,23,7.279901504516602,109,2188.28955078125,91,23
is_major_carrier,659.0,133,25.086027145385742,23,5491.94140625,27,23
companyID_loo_mean_legs0_arrivalAt_hour,8356.0,24,7.145423889160156,116,1729.0506591796875,118,24
