feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,347.0,146,3310.149169921875,0,346466.84375,0,0
price_per_duration_rank,32595.0,0,9.834159851074219,89,2855.823974609375,97,0
legs0_is_min_transfers,253.0,151,1742.40478515625,1,234200.9375,1,1
price_per_duration,28730.0,1,13.822907447814941,42,6551.20703125,50,1
price_from_median_zscore,28063.0,2,11.6043701171875,61,3143.857666015625,93,2
legs1_is_min_transfers,258.0,150,224.51914978027344,2,111467.546875,2,2
both_legs_direct,167.0,154,215.38243103027344,3,7784.12353515625,42,3
pricingInfo_isAccessTP,1624.0,115,60.39269256591797,9,85508.4296875,3,3
price_minus_fee_rank,27155.0,3,22.49757194519043,23,4406.46142578125,72,3
price_per_fee_rank,26819.0,4,10.879531860351562,71,2595.432373046875,104,4
free_exchange,423.0,143,174.122802734375,4,42615.37890625,5,4
has_access_tp,865.0,131,62.90980529785156,8,80529.7578125,4,4
price_percentile,26758.0,5,13.792901039123535,43,6287.06787109375,51,5
total_num_transfers,199.0,152,167.43373107910156,5,9035.6572265625,32,5
legs0_num_transfers_rank,1264.0,122,150.9762725830078,6,17897.990234375,10,6
isAccess3D,1308.0,120,15.126275062561035,37,35981.26171875,6,6
totalPrice_rank,26037.0,6,14.289483070373535,40,3714.846435546875,83,6
total_num_transfers_rank,1284.0,121,112.16954803466797,7,13713.8349609375,19,7
legs0_segments0_flightNumber,25837.0,7,8.553569793701172,134,2987.62890625,96,7
legs0_max_duration_cabin,319.0,148,34.32466506958008,17,30855.583984375,7,7
legs0_departureAt_hour,24550.0,8,10.154269218444824,83,5035.244140625,64,8
legs1_segments0_cabinClass,91.0,159,9.613306999206543,95,24506.55859375,8,8
group_size,24447.0,9,8.711730003356934,126,2401.823486328125,114,9
legs0_segments0_cabinClass,334.0,147,41.35453414916992,13,21136.076171875,9,9
days_before_departure,23240.0,10,8.298515319824219,141,2525.77392578125,106,10
is_major_carrier,634.0,138,55.3958854675293,10,7438.82177734375,44,10
legs0_segments0_baggageAllowance_quantity,2740.0,98,26.615949630737305,20,17731.833984375,11,11
legs0_mean_cabin,464.0,142,54.7850227355957,11,16967.150390625,13,11
legs0_arrivalAt_hour,23154.0,11,9.206437110900879,104,3800.474853515625,81,11
price_per_tax,23049.0,12,8.364205360412598,139,1786.9388427734375,146,12
free_cancel,548.0,141,46.562347412109375,12,7868.95166015625,40,12
both_legs_carrier_all_same,796.0,134,22.823806762695312,22,17291.90234375,12,12
price_per_fee,22196.0,13,10.275222778320312,81,4346.58935546875,73,13
log_price,21309.0,14,8.634201049804688,128,2024.1805419921875,135,14
total_duration_fastest,1938.0,109,39.60090255737305,14,8071.01806640625,38,14
legs0_segments0_operatingCarrier_code_in_ff,1058.0,127,9.352574348449707,103,15423.640625,14,14
has_baggage,739.0,136,22.128965377807617,25,14812.7548828125,15,15
total_duration_rank,19012.0,15,10.48887825012207,77,2038.9970703125,134,15
legs0_segments2_duration_rank,560.0,140,35.01304626464844,15,12054.1806640625,23,15
miniRules1_monetaryAmount,2940.0,95,18.356849670410156,29,14564.8955078125,16,16
unmatched_duration_rank,18734.0,16,11.371865272521973,66,2755.169677734375,100,16
total_weighted_mean_cabin,981.0,129,34.64453887939453,16,14316.521484375,17,16
leg0_view_diff_mean,18455.0,17,9.190357208251953,107,4749.37939453125,68,17
companyID_loo_mean_legs0_arrivalAt_hour,18149.0,18,9.191274642944336,106,2521.90869140625,107,18
legs1_mean_cabin,165.0,155,9.620768547058105,94,14234.0458984375,18,18
legs0_weighted_mean_cabin,698.0,137,32.14078903198242,18,12614.71484375,20,18
legs1_num_transfers_rank,786.0,135,30.426807403564453,19,10900.1875,29,19
companyID_loo_mean_legs0_departureAt_hour,17824.0,19,9.404596328735352,101,2736.26025390625,101,19
price_minus_fee,17653.0,20,8.390783309936523,138,2338.865966796875,118,20
tax_rate,16946.0,21,8.466082572937012,137,2265.039794921875,123,21
legs0_segments0_baggageAllowance_weightMeasurementType,108.0,158,24.885372161865234,21,3885.841064453125,77,21
legs1_departureAt_day_period,2499.0,103,12.62464714050293,51,12592.02734375,21,21
companyID_loo_mean_total_num_transfers,16302.0,22,8.793187141418457,121,1853.6038818359375,140,22
legs1_departureAt_hour,11163.0,46,11.813810348510742,59,12391.7431640625,22,22
companyID_loo_mean_cabin_class,16179.0,23,10.618088722229004,75,2593.26611328125,105,23
legs1_max_duration_cabin,115.0,157,12.575332641601562,52,11773.6328125,24,24
all_view_diff_mean,16127.0,24,9.198643684387207,105,3808.08740234375,80,24
has_fees,148.0,156,22.2718563079834,24,4005.730224609375,75,24
legs0_duration,12131.0,40,13.610095024108887,44,11633.404296875,25,25
companyID_loo_mean_totalPrice,16070.0,25,11.037911415100098,69,3825.0390625,79,25
companyID_loo_selected_count,15584.0,26,9.653873443603516,92,2808.3720703125,98,26
legs0_duration_fastest,1807.0,113,21.557222366333008,26,2227.541259765625,126,26
legs1_weighted_mean_cabin,186.0,153,10.072125434875488,84,11609.3916015625,26,26
isVip,1811.0,112,20.995101928710938,27,8390.0126953125,35,27
legs1_departureAt_business_time,1502.0,116,13.351766586303711,46,11445.3212890625,27,27
companyID_loo_mean_taxes,15479.0,27,9.4103364944458,100,2014.1136474609375,136,27
companyID_loo_mean_legs1_arrivalAt_hour,15083.0,28,8.790210723876953,122,2370.4775390625,115,28
